alpha_value	best_score_threshold	interactome_edge_size	pathway_edge_size
0.1	990	3304	84
0.2	800	27857	122
0.3	509	73416	157
0.4	509	73416	157
0.5	509	73416	157
0.6	509	73416	157
0.7	509	73416	157
0.8	230	266888	180
0.9	230	266888	180
