PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
ACVR1	in-complex-with	ACVR2A	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1	in-complex-with	ACVR2B	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1	in-complex-with	AMHR2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	ACVR2A	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	ACVR2B	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	AMHR2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP10	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP15	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP4	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP5	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP6	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP7	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP8A	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMP8B	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	BMPR2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF10	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF11	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF15	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF5	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF6	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1B	in-complex-with	GDF7	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
