id	uniprot
ACVRL1	P37023
ATF2	P15336
BMP10	O95393
BMPR2	Q13873
AMHR2	Q16671
MSTN	O14793
CITED1	Q99966
ZFYVE9	O95405
CITED2	Q99967
MAP3K7CL	P57077
BMP15	O95972
EP300	Q09472
SNIP1	Q8TAD8
MAP3K7	O43318
JUNB	P17275
HRAS	P01112
ACVR1	Q04771
LEFTY1	O75610
FOXH1	O75593
TGFBR1	P36897
TGFBR2	P37173
ZFYVE16	Q7Z3T8
FKBP2	P26885
ACVR1B	P36896
MAPK9	P45984
MAPK8	P45983
NRAS	P01111
ACVR1C	Q8NER5
RRAS	P10301
MAPK1	P28482
SKIL	P12757
LEFTY2	O00292
MAPK3	P27361
SMAD2	Q15796
GDF10	P55107
SMAD1	Q15797
GDF11	O95390
SMAD4	Q13485
TGFB2	P61812
JUN	P05412
CREBBP	Q92793
SMAD3	P84022
JUND	P17535
SMURF2	Q9HAU4
GDF15	Q99988
TGFB3	P10600
SMURF1	Q9HCE7
GDF2	Q9UK05
BMP8A	Q7Z5Y6
SMAD9	O15198
GDF1	P27539
BMP8B	P34820
INHBB	P09529
GDF3	Q9NR23
INHBA	P08476
GDF6	Q6KF10
MAPK14	Q16539
SMAD6	O43541
GDF5	P43026
INHBC	P55103
ACVR2B	Q13705
SMAD5	Q99717
BMP7	P18075
MAPK12	P53778
ACVR2A	P27037
BMP6	P22004
MAPK13	O15264
GDF7	Q7Z4P5
INHBE	P58166
BMP5	P22003
SMAD7	O15105
MAPK10	P53779
BMP4	P12644
FKBP1A	P62942
FOSL1	P15407
SKI	P12755
GDF9	O60383
MAPK11	Q15759
BMP3	P12645
BMP2	P12643
BMP1	P13497
GDNF	P39905
BAMBI	Q13145
FKBP1C	Q5VVH2
FKBP1B	P68106
TLL2	Q9Y6L7
TLL1	O43897
TAB1	Q15750
BMPR1B	O00238
NODAL	Q96S42
BMPR1A	P36894
DCP1B	Q8IZD4
