id	uniprot	string	ensembl
FZD10	Q9ULW2	9606.ENSP00000229030	ENSG00000111432
CELSR1	Q9NYQ6	9606.ENSP00000262738	ENSG00000075275
CELSR2	Q9HCU4	9606.ENSP00000271332	ENSG00000143126
CELSR3	Q9NYQ7	9606.ENSP00000164024	ENSG00000008300
FZD1	Q9UP38	9606.ENSP00000287934	ENSG00000157240
FZD3	Q9NPG1	9606.ENSP00000240093	ENSG00000104290
FZD2	Q14332	9606.ENSP00000323901	ENSG00000180340
FZD5	Q13467	9606.ENSP00000354607	ENSG00000163251
FZD4	Q9ULV1	9606.ENSP00000434034	ENSG00000174804
FZD7	O75084	9606.ENSP00000286201	ENSG00000155760
FZD6	O60353	9606.ENSP00000351605	ENSG00000164930
FZD9	O00144	9606.ENSP00000345785	ENSG00000188763
FZD8	Q9H461	9606.ENSP00000363826	ENSG00000177283
EGFR	P00533	9606.ENSP00000275493	ENSG00000146648
ERBB3	P21860	9606.ENSP00000267101	ENSG00000065361
ERBB4	Q15303	9606.ENSP00000342235	ENSG00000178568
ERBB2	P04626	9606.ENSP00000269571	ENSG00000141736
