id	uniprot	string	ensembl
PCDH11Y	Q9BZA8	NA	ENSG00000099715
CTNND2	Q9UQB3	9606.ENSP00000307134	ENSG00000169862
CTNND1	O60716	9606.ENSP00000382004	ENSG00000198561
PCDH11X	Q9BZA7	9606.ENSP00000362186	ENSG00000102290
FZD10	Q9ULW2	9606.ENSP00000229030	ENSG00000111432
CELSR1	Q9NYQ6	9606.ENSP00000262738	ENSG00000075275
CDH9	Q9ULB4	9606.ENSP00000231021	ENSG00000113100
CELSR2	Q9HCU4	9606.ENSP00000271332	ENSG00000143126
CDH8	P55286	9606.ENSP00000462701	ENSG00000150394
ACTB	P60709	9606.ENSP00000494750	ENSG00000075624
ACTG2	P63267	9606.ENSP00000386857	ENSG00000163017
CELSR3	Q9NYQ7	9606.ENSP00000164024	ENSG00000008300
CDH7	Q9ULB5	9606.ENSP00000381058	ENSG00000081138
ACTG1	P63261	9606.ENSP00000458162	ENSG00000184009
ACTG1	P63261	9606.ENSP00000458162	ENSG00000291420
CDH6	P55285	9606.ENSP00000265071	ENSG00000113361
CDH5	P33151	9606.ENSP00000497290	ENSG00000179776
CDH4	P55283	9606.ENSP00000484928	ENSG00000179242
CDH3	P22223	9606.ENSP00000264012	ENSG00000062038
CDH2	P19022	9606.ENSP00000269141	ENSG00000170558
CDH1	P12830	9606.ENSP00000261769	ENSG00000039068
PCDHAC2	Q9Y5I4	9606.ENSP00000289269	ENSG00000243232
PCDHAC2	Q9Y5I4	9606.ENSP00000289269	ENSG00000291668
PCDHAC1	Q9H158	9606.ENSP00000253807	ENSG00000248383
PCDHAC1	Q9H158	9606.ENSP00000253807	ENSG00000291670
WNT5B	Q9H1J7	9606.ENSP00000380379	ENSG00000111186
CSNK2A3	Q8NEV1	9606.ENSP00000473553	ENSG00000254598
CSNK2A2	P19784	9606.ENSP00000262506	ENSG00000070770
WNT5A	P41221	9606.ENSP00000264634	ENSG00000114251
PCDHA13	Q9Y5I0	9606.ENSP00000289272	ENSG00000239389
PCDHA13	Q9Y5I0	9606.ENSP00000289272	ENSG00000291666
PCDHA12	Q9UN75	9606.ENSP00000381628	ENSG00000251664
