string1	string2
9606.ENSP00000442656	9606.ENSP00000384625
9606.ENSP00000442656	9606.ENSP00000384625
9606.ENSP00000243349	9606.ENSP00000384625
9606.ENSP00000243349	9606.ENSP00000384625
9606.ENSP00000345767	9606.ENSP00000262320
9606.ENSP00000345767	9606.ENSP00000359206
9606.ENSP00000345767	9606.ENSP00000369126
9606.ENSP00000345767	9606.ENSP00000261798
9606.ENSP00000345767	9606.ENSP00000381531
9606.ENSP00000345767	9606.ENSP00000380044
9606.ENSP00000345767	9606.ENSP00000255641
9606.ENSP00000345767	9606.ENSP00000353904
9606.ENSP00000345767	9606.ENSP00000495360
9606.ENSP00000345767	9606.ENSP00000265094
9606.ENSP00000345767	9606.ENSP00000324806
9606.ENSP00000345767	9606.ENSP00000418447
9606.ENSP00000345767	9606.ENSP00000221138
9606.ENSP00000345767	9606.ENSP00000261461
9606.ENSP00000345767	9606.ENSP00000164133
9606.ENSP00000345767	9606.ENSP00000412324
9606.ENSP00000345767	9606.ENSP00000417963
9606.ENSP00000345767	9606.ENSP00000337641
9606.ENSP00000320485	9606.ENSP00000234739
9606.ENSP00000320485	9606.ENSP00000262367
9606.ENSP00000320485	9606.ENSP00000495360
9606.ENSP00000320485	9606.ENSP00000263253
9606.ENSP00000320485	9606.ENSP00000265165
9606.ENSP00000320485	9606.ENSP00000302327
9606.ENSP00000320485	9606.ENSP00000357442
9606.ENSP00000320485	9606.ENSP00000305769
9606.ENSP00000320485	9606.ENSP00000341551
9606.ENSP00000320485	9606.ENSP00000441954
9606.ENSP00000320485	9606.ENSP00000282111
9606.ENSP00000320485	9606.ENSP00000486891
9606.ENSP00000311538	9606.ENSP00000369126
9606.ENSP00000311538	9606.ENSP00000261798
9606.ENSP00000311538	9606.ENSP00000381531
9606.ENSP00000311538	9606.ENSP00000380044
9606.ENSP00000311538	9606.ENSP00000255641
9606.ENSP00000311538	9606.ENSP00000353904
9606.ENSP00000311538	9606.ENSP00000262506
9606.ENSP00000311538	9606.ENSP00000473553
9606.ENSP00000311538	9606.ENSP00000365042
9606.ENSP00000311538	9606.ENSP00000337439
9606.ENSP00000311538	9606.ENSP00000368166
9606.ENSP00000311538	9606.ENSP00000005340
9606.ENSP00000311538	9606.ENSP00000316054
9606.ENSP00000311538	9606.ENSP00000324806
9606.ENSP00000409581	9606.ENSP00000369126
9606.ENSP00000409581	9606.ENSP00000261798
9606.ENSP00000409581	9606.ENSP00000381531
9606.ENSP00000409581	9606.ENSP00000380044
9606.ENSP00000409581	9606.ENSP00000255641
9606.ENSP00000409581	9606.ENSP00000353904
9606.ENSP00000409581	9606.ENSP00000262506
9606.ENSP00000409581	9606.ENSP00000473553
9606.ENSP00000409581	9606.ENSP00000365042
9606.ENSP00000409581	9606.ENSP00000337439
9606.ENSP00000409581	9606.ENSP00000368166
9606.ENSP00000409581	9606.ENSP00000005340
9606.ENSP00000409581	9606.ENSP00000316054
9606.ENSP00000409581	9606.ENSP00000324806
9606.ENSP00000403701	9606.ENSP00000369126
