protein1	protein2	score
9606.ENSP00000253796	9606.ENSP00000478725	800
9606.ENSP00000319240	9606.ENSP00000266735	800
9606.ENSP00000318297	9606.ENSP00000484789	800
9606.ENSP00000454836	9606.ENSP00000362105	800
9606.ENSP00000436049	9606.ENSP00000318646	800
9606.ENSP00000258821	9606.ENSP00000222247	800
9606.ENSP00000252602	9606.ENSP00000317376	800
9606.ENSP00000274712	9606.ENSP00000296215	800
9606.ENSP00000441273	9606.ENSP00000339835	800
9606.ENSP00000285298	9606.ENSP00000449884	800
9606.ENSP00000484841	9606.ENSP00000302968	800
9606.ENSP00000312066	9606.ENSP00000463379	800
9606.ENSP00000424328	9606.ENSP00000315397	800
9606.ENSP00000323065	9606.ENSP00000320567	800
9606.ENSP00000261245	9606.ENSP00000293777	800
9606.ENSP00000472469	9606.ENSP00000333948	800
9606.ENSP00000312311	9606.ENSP00000242257	800
9606.ENSP00000347168	9606.ENSP00000345837	800
9606.ENSP00000363746	9606.ENSP00000477848	800
9606.ENSP00000363313	9606.ENSP00000356541	800
9606.ENSP00000266544	9606.ENSP00000441126	800
9606.ENSP00000283875	9606.ENSP00000265350	800
9606.ENSP00000410758	9606.ENSP00000300413	800
9606.ENSP00000481646	9606.ENSP00000360365	800
9606.ENSP00000489317	9606.ENSP00000484095	800
9606.ENSP00000261245	9606.ENSP00000265350	800
9606.ENSP00000449328	9606.ENSP00000353741	800
9606.ENSP00000405674	9606.ENSP00000318646	800
9606.ENSP00000388337	9606.ENSP00000250498	800
9606.ENSP00000347168	9606.ENSP00000272317	800
9606.ENSP00000199320	9606.ENSP00000296792	800
9606.ENSP00000257829	9606.ENSP00000363746	800
9606.ENSP00000475615	9606.ENSP00000297151	800
9606.ENSP00000356205	9606.ENSP00000334448	800
9606.ENSP00000292907	9606.ENSP00000317159	800
9606.ENSP00000244537	9606.ENSP00000233331	800
9606.ENSP00000382646	9606.ENSP00000360107	800
9606.ENSP00000366974	9606.ENSP00000482438	800
9606.ENSP00000307889	9606.ENSP00000369965	800
9606.ENSP00000479461	9606.ENSP00000320485	800
9606.ENSP00000351137	9606.ENSP00000339090	800
9606.ENSP00000366974	9606.ENSP00000370193	800
9606.ENSP00000352119	9606.ENSP00000483117	800
9606.ENSP00000385479	9606.ENSP00000355657	800
9606.ENSP00000320567	9606.ENSP00000258383	800
9606.ENSP00000306397	9606.ENSP00000233627	800
9606.ENSP00000269305	9606.ENSP00000484658	800
9606.ENSP00000362744	9606.ENSP00000434056	800
9606.ENSP00000361209	9606.ENSP00000207457	800
9606.ENSP00000308717	9606.ENSP00000288937	800
9606.ENSP00000419740	9606.ENSP00000338057	800
9606.ENSP00000386717	9606.ENSP00000302886	800
9606.ENSP00000417559	9606.ENSP00000420311	800
9606.ENSP00000262962	9606.ENSP00000362803	800
9606.ENSP00000215565	9606.ENSP00000425759	800
9606.ENSP00000292907	9606.ENSP00000354728	800
9606.ENSP00000399982	9606.ENSP00000342889	800
9606.ENSP00000467262	9606.ENSP00000354499	800
9606.ENSP00000361206	9606.ENSP00000418008	800
9606.ENSP00000262962	9606.ENSP00000266735	800
9606.ENSP00000464342	9606.ENSP00000225726	800
9606.ENSP00000366974	9606.ENSP00000282892	800
9606.ENSP00000314193	9606.ENSP00000383949	800
9606.ENSP00000471455	9606.ENSP00000429374	800
9606.ENSP00000216252	9606.ENSP00000368881	800
9606.ENSP00000351492	9606.ENSP00000393388	800
9606.ENSP00000449396	9606.ENSP00000481486	800
9606.ENSP00000420311	9606.ENSP00000267884	800
9606.ENSP00000346050	9606.ENSP00000499067	800
9606.ENSP00000263694	9606.ENSP00000262415	800
9606.ENSP00000219252	9606.ENSP00000481486	800
9606.ENSP00000319104	9606.ENSP00000480960	800
9606.ENSP00000252996	9606.ENSP00000362948	800
9606.ENSP00000272091	9606.ENSP00000236273	800
9606.ENSP00000461879	9606.ENSP00000263205	800
9606.ENSP00000345917	9606.ENSP00000494697	800
9606.ENSP00000359339	9606.ENSP00000484638	800
9606.ENSP00000259469	9606.ENSP00000265245	800
9606.ENSP00000296417	9606.ENSP00000221859	800
9606.ENSP00000292035	9606.ENSP00000265963	800
9606.ENSP00000376472	9606.ENSP00000420641	800
9606.ENSP00000274242	9606.ENSP00000265245	800
9606.ENSP00000199814	9606.ENSP00000296581	800
9606.ENSP00000276533	9606.ENSP00000216225	800
9606.ENSP00000239165	9606.ENSP00000399808	800
9606.ENSP00000339063	9606.ENSP00000309830	800
9606.ENSP00000473980	9606.ENSP00000315397	800
9606.ENSP00000377486	9606.ENSP00000316598	800
9606.ENSP00000354687	9606.ENSP00000354728	800
9606.ENSP00000298310	9606.ENSP00000259469	800
9606.ENSP00000359859	9606.ENSP00000377486	800
9606.ENSP00000259037	9606.ENSP00000497587	800
9606.ENSP00000474412	9606.ENSP00000248572	800
9606.ENSP00000346015	9606.ENSP00000298310	800
9606.ENSP00000249373	9606.ENSP00000478725	800
9606.ENSP00000420311	9606.ENSP00000346012	800
9606.ENSP00000323720	9606.ENSP00000265963	800
9606.ENSP00000348924	9606.ENSP00000464357	800
9606.ENSP00000453801	9606.ENSP00000292614	800
9606.ENSP00000463379	9606.ENSP00000413436	800
