protein1	protein2	score
9606.ENSP00000457728	9606.ENSP00000324741	509
9606.ENSP00000167586	9606.ENSP00000497641	509
9606.ENSP00000393241	9606.ENSP00000264995	509
9606.ENSP00000428223	9606.ENSP00000360525	509
9606.ENSP00000364976	9606.ENSP00000378529	509
9606.ENSP00000313007	9606.ENSP00000497641	509
9606.ENSP00000246194	9606.ENSP00000341826	509
9606.ENSP00000254480	9606.ENSP00000264515	509
9606.ENSP00000345179	9606.ENSP00000356969	509
9606.ENSP00000360922	9606.ENSP00000352021	509
9606.ENSP00000225792	9606.ENSP00000359645	509
9606.ENSP00000325266	9606.ENSP00000238497	509
9606.ENSP00000358953	9606.ENSP00000312439	509
9606.ENSP00000217901	9606.ENSP00000270538	509
9606.ENSP00000325074	9606.ENSP00000380746	509
9606.ENSP00000251871	9606.ENSP00000418960	509
9606.ENSP00000359680	9606.ENSP00000255608	509
9606.ENSP00000363270	9606.ENSP00000324741	509
9606.ENSP00000381009	9606.ENSP00000366950	509
9606.ENSP00000283632	9606.ENSP00000252809	509
9606.ENSP00000360525	9606.ENSP00000270625	509
9606.ENSP00000363079	9606.ENSP00000290541	509
9606.ENSP00000325266	9606.ENSP00000359958	509
9606.ENSP00000393312	9606.ENSP00000356713	509
9606.ENSP00000421380	9606.ENSP00000428137	509
9606.ENSP00000347055	9606.ENSP00000497733	509
9606.ENSP00000360525	9606.ENSP00000336799	509
9606.ENSP00000377262	9606.ENSP00000416959	509
9606.ENSP00000342216	9606.ENSP00000216259	509
9606.ENSP00000375080	9606.ENSP00000418647	509
9606.ENSP00000497641	9606.ENSP00000252244	509
9606.ENSP00000263063	9606.ENSP00000254799	509
9606.ENSP00000446007	9606.ENSP00000360525	509
9606.ENSP00000364801	9606.ENSP00000360525	509
9606.ENSP00000339191	9606.ENSP00000346671	509
9606.ENSP00000356671	9606.ENSP00000377446	509
9606.ENSP00000414906	9606.ENSP00000369473	509
9606.ENSP00000382241	9606.ENSP00000244096	509
9606.ENSP00000380054	9606.ENSP00000365757	509
9606.ENSP00000246662	9606.ENSP00000497641	509
9606.ENSP00000325448	9606.ENSP00000286428	509
9606.ENSP00000463784	9606.ENSP00000360525	509
9606.ENSP00000476369	9606.ENSP00000400906	509
9606.ENSP00000479964	9606.ENSP00000494831	509
9606.ENSP00000269397	9606.ENSP00000367705	509
9606.ENSP00000329452	9606.ENSP00000385757	509
9606.ENSP00000360671	9606.ENSP00000360525	509
9606.ENSP00000363079	9606.ENSP00000318177	509
9606.ENSP00000309334	9606.ENSP00000360525	509
9606.ENSP00000359098	9606.ENSP00000379784	509
9606.ENSP00000497004	9606.ENSP00000262395	509
9606.ENSP00000392678	9606.ENSP00000363993	509
9606.ENSP00000382250	9606.ENSP00000371451	509
9606.ENSP00000301653	9606.ENSP00000497641	509
9606.ENSP00000360525	9606.ENSP00000346027	509
9606.ENSP00000493389	9606.ENSP00000274137	509
9606.ENSP00000306003	9606.ENSP00000356319	509
9606.ENSP00000282397	9606.ENSP00000400010	509
9606.ENSP00000360525	9606.ENSP00000491215	509
9606.ENSP00000441214	9606.ENSP00000296930	509
9606.ENSP00000269397	9606.ENSP00000233630	509
9606.ENSP00000473290	9606.ENSP00000255078	509
9606.ENSP00000480364	9606.ENSP00000298317	509
9606.ENSP00000402935	9606.ENSP00000361518	509
9606.ENSP00000417175	9606.ENSP00000351138	509
9606.ENSP00000363680	9606.ENSP00000440984	509
9606.ENSP00000219478	9606.ENSP00000268655	509
9606.ENSP00000254480	9606.ENSP00000264331	509
9606.ENSP00000261475	9606.ENSP00000355250	509
9606.ENSP00000378857	9606.ENSP00000222005	509
9606.ENSP00000298910	9606.ENSP00000346001	510
9606.ENSP00000401980	9606.ENSP00000425107	510
9606.ENSP00000384273	9606.ENSP00000370408	510
9606.ENSP00000377797	9606.ENSP00000498596	510
9606.ENSP00000285407	9606.ENSP00000349156	510
9606.ENSP00000270586	9606.ENSP00000266087	510
9606.ENSP00000263377	9606.ENSP00000358799	510
9606.ENSP00000313811	9606.ENSP00000305372	510
9606.ENSP00000262435	9606.ENSP00000324806	510
9606.ENSP00000329102	9606.ENSP00000267163	510
9606.ENSP00000451828	9606.ENSP00000259371	510
9606.ENSP00000340648	9606.ENSP00000278616	510
9606.ENSP00000288221	9606.ENSP00000428417	510
9606.ENSP00000357000	9606.ENSP00000352925	510
9606.ENSP00000229795	9606.ENSP00000453095	510
9606.ENSP00000441543	9606.ENSP00000478783	510
9606.ENSP00000303373	9606.ENSP00000309262	510
9606.ENSP00000258201	9606.ENSP00000348461	510
9606.ENSP00000363868	9606.ENSP00000262554	510
9606.ENSP00000400333	9606.ENSP00000416293	510
9606.ENSP00000361626	9606.ENSP00000216122	510
9606.ENSP00000376889	9606.ENSP00000263795	510
9606.ENSP00000391490	9606.ENSP00000375978	510
9606.ENSP00000367545	9606.ENSP00000267163	510
9606.ENSP00000298910	9606.ENSP00000381216	510
9606.ENSP00000368880	9606.ENSP00000312987	510
9606.ENSP00000247970	9606.ENSP00000418960	510
9606.ENSP00000351905	9606.ENSP00000335153	510
9606.ENSP00000340648	9606.ENSP00000356421	510
