id	uniprot	string	ensembl
EHF	Q9NZC4	9606.ENSP00000435835	ENSG00000135373
ELK1	P19419	9606.ENSP00000366182	ENSG00000126767
ETS1	P14921	9606.ENSP00000376436	ENSG00000134954
ELK4	P28324	9606.ENSP00000350681	ENSG00000158711
MYC	P01106	9606.ENSP00000478887	ENSG00000136997
ERF	P50548	9606.ENSP00000222329	ENSG00000105722
ERG	P11308	9606.ENSP00000414150	ENSG00000157554
STAT5A	P42229	9606.ENSP00000341208	ENSG00000126561
STAT5B	P51692	9606.ENSP00000293328	ENSG00000173757
JUN	P05412	9606.ENSP00000360266	ENSG00000177606
FLI1	Q01543	9606.ENSP00000433488	ENSG00000151702
FEV	Q99581	9606.ENSP00000295727	ENSG00000163497
GABPA	Q06546	9606.ENSP00000346886	ENSG00000154727
FOS	P01100	9606.ENSP00000306245	ENSG00000170345
ETV3	P41162	9606.ENSP00000357175	ENSG00000117036
ELF1	P32519	9606.ENSP00000239882	ENSG00000120690
ELF2	Q15723	9606.ENSP00000368868	ENSG00000109381
ELF3	P78545	9606.ENSP00000352673	ENSG00000163435
ELF4	Q99607	9606.ENSP00000311280	ENSG00000102034
ELF5	Q9UKW6	9606.ENSP00000311010	ENSG00000135374
SRF	P11831	9606.ENSP00000265354	ENSG00000112658
STAT4	Q14765	9606.ENSP00000351255	ENSG00000138378
STAT6	P42226	9606.ENSP00000300134	ENSG00000166888
SPDEF	O95238	9606.ENSP00000363149	ENSG00000124664
STAT1	P42224	9606.ENSP00000354394	ENSG00000115415
STAT2	P52630	9606.ENSP00000315768	ENSG00000170581
STAT3	P40763	9606.ENSP00000264657	ENSG00000168610
USF2	Q15853	9606.ENSP00000222305	ENSG00000105698
