id	uniprot	string	ensembl
EHF	Q9NZC4	9606.ENSP00000435835	ENSG00000135373
ARAF	P10398	9606.ENSP00000290277	ENSG00000078061
ELK1	P19419	9606.ENSP00000366182	ENSG00000126767
ETS1	P14921	9606.ENSP00000376436	ENSG00000134954
RPS6KA4	O75676	9606.ENSP00000333896	ENSG00000162302
ELK4	P28324	9606.ENSP00000350681	ENSG00000158711
RPS6KA3	P51812	9606.ENSP00000368884	ENSG00000177189
RPS6KA6	Q9UK32	9606.ENSP00000262752	ENSG00000072133
ARHGAP42	A6NI28	9606.ENSP00000298815	ENSG00000165895
RPS6KA5	O75582	9606.ENSP00000479667	ENSG00000100784
OPHN1	O60890	9606.ENSP00000347710	ENSG00000079482
RPS6KA2	Q15349	9606.ENSP00000422435	ENSG00000071242
GRAP2	O75791	9606.ENSP00000339186	ENSG00000100351
AKT2	P31751	9606.ENSP00000375892	ENSG00000105221
MYC	P01106	9606.ENSP00000478887	ENSG00000136997
RPS6KA1	Q15418	9606.ENSP00000435412	ENSG00000117676
RPS6KA1	Q15418	9606.ENSP00000435412	ENSG00000281877
MAP3K4	Q9Y6R4	9606.ENSP00000375986	ENSG00000085511
PDGFRB	P09619	9606.ENSP00000261799	ENSG00000113721
PDGFRA	P16234	9606.ENSP00000257290	ENSG00000134853
MAP2K1	Q02750	9606.ENSP00000302486	ENSG00000169032
MAP2K2	P36507	9606.ENSP00000262948	ENSG00000126934
PRKCA	P17252	9606.ENSP00000408695	ENSG00000154229
PDGFRL	Q15198	9606.ENSP00000444211	ENSG00000104213
MAPKAPK2	P49137	9606.ENSP00000356070	ENSG00000162889
ERF	P50548	9606.ENSP00000222329	ENSG00000105722
ERG	P11308	9606.ENSP00000414150	ENSG00000157554
RAF1	P04049	9606.ENSP00000401888	ENSG00000132155
SHC2	P98077	9606.ENSP00000264554	ENSG00000129946
SHC3	Q92529	9606.ENSP00000364995	ENSG00000148082
SHC1	P29353	9606.ENSP00000401303	ENSG00000160691
PDGFB	P01127	9606.ENSP00000330382	ENSG00000100311
ITPR1	Q14643	9606.ENSP00000306253	ENSG00000150995
PDGFA	P04085	9606.ENSP00000346508	ENSG00000197461
ITPR2	Q14571	9606.ENSP00000370744	ENSG00000123104
PIK3R3	Q92569	9606.ENSP00000262741	ENSG00000117461
ITPR3	Q14573	9606.ENSP00000363435	ENSG00000096433
PIK3R2	O00459	9606.ENSP00000222254	ENSG00000105647
PIK3R1	P27986	9606.ENSP00000428056	ENSG00000145675
ARHGAP15	Q53QZ3	9606.ENSP00000295095	ENSG00000075884
PIK3R5	Q8WYR1	9606.ENSP00000392812	ENSG00000141506
ARHGAP12	Q8IWW6	9606.ENSP00000345808	ENSG00000165322
PLCG2	P16885	9606.ENSP00000482457	ENSG00000197943
PLCG1	P19174	9606.ENSP00000244007	ENSG00000124181
SRGAP3	O43295	9606.ENSP00000373347	ENSG00000196220
SRGAP1	Q7Z6B7	9606.ENSP00000347198	ENSG00000196935
STAT5A	P42229	9606.ENSP00000341208	ENSG00000126561
STAT5B	P51692	9606.ENSP00000293328	ENSG00000173757
JUN	P05412	9606.ENSP00000360266	ENSG00000177606
BRAF	P15056	9606.ENSP00000419060	ENSG00000157764
ARHGAP26	Q9UNA1	9606.ENSP00000274498	ENSG00000145819
FLI1	Q01543	9606.ENSP00000433488	ENSG00000151702
FEV	Q99581	9606.ENSP00000295727	ENSG00000163497
GRB2	P62993	9606.ENSP00000376345	ENSG00000177885
GRAP	Q13588	9606.ENSP00000284154	ENSG00000154016
ARHGAP9	Q9BRR9	9606.ENSP00000499232	ENSG00000123329
GSK3B	P49841	9606.ENSP00000324806	ENSG00000082701
GSK3A	P49840	9606.ENSP00000222330	ENSG00000105723
ARHGAP8	P85298	9606.ENSP00000374424	ENSG00000241484
ARHGAP1	Q07960	9606.ENSP00000310491	ENSG00000175220
PIK3CD	O00329	9606.ENSP00000366563	ENSG00000171608
PIK3CB	P42338	9606.ENSP00000501150	ENSG00000051382
ARHGAP5	Q13017	9606.ENSP00000371897	ENSG00000100852
ARHGAP6	O43182	9606.ENSP00000338967	ENSG00000047648
RERG	Q96A58	9606.ENSP00000256953	ENSG00000134533
PIK3CG	P48736	9606.ENSP00000419260	ENSG00000105851
ARHGAP4	P98171	9606.ENSP00000359045	ENSG00000089820
IKBKB	O14920	9606.ENSP00000430684	ENSG00000104365
NCK2	O43639	9606.ENSP00000233154	ENSG00000071051
JAK2	O60674	9606.ENSP00000371067	ENSG00000096968
JAK3	P52333	9606.ENSP00000432511	ENSG00000105639
HRAS	P01112	9606.ENSP00000407586	ENSG00000174775
HRAS	P01112	9606.ENSP00000407586	ENSG00000276536
NINL	Q9Y2I6	9606.ENSP00000278886	ENSG00000101004
