string1	string2
9606.ENSP00000375892	9606.ENSP00000359424
9606.ENSP00000375892	9606.ENSP00000359424
9606.ENSP00000375892	9606.ENSP00000363779
9606.ENSP00000375892	9606.ENSP00000363779
9606.ENSP00000375892	9606.ENSP00000222330
9606.ENSP00000375892	9606.ENSP00000222330
9606.ENSP00000375892	9606.ENSP00000324806
9606.ENSP00000375892	9606.ENSP00000324806
9606.ENSP00000375892	9606.ENSP00000430684
9606.ENSP00000375892	9606.ENSP00000430684
9606.ENSP00000375892	9606.ENSP00000278886
9606.ENSP00000375892	9606.ENSP00000278886
9606.ENSP00000375892	9606.ENSP00000371472
9606.ENSP00000375892	9606.ENSP00000371472
9606.ENSP00000290277	9606.ENSP00000302486
9606.ENSP00000290277	9606.ENSP00000302486
9606.ENSP00000290277	9606.ENSP00000262948
9606.ENSP00000290277	9606.ENSP00000262948
9606.ENSP00000419060	9606.ENSP00000302486
9606.ENSP00000419060	9606.ENSP00000302486
9606.ENSP00000419060	9606.ENSP00000262948
9606.ENSP00000419060	9606.ENSP00000262948
9606.ENSP00000262995	9606.ENSP00000407586
9606.ENSP00000262995	9606.ENSP00000358548
9606.ENSP00000262995	9606.ENSP00000333547
9606.ENSP00000262995	9606.ENSP00000256953
9606.ENSP00000262995	9606.ENSP00000401303
9606.ENSP00000262995	9606.ENSP00000264554
9606.ENSP00000262995	9606.ENSP00000364995
9606.ENSP00000262995	9606.ENSP00000384675
9606.ENSP00000262995	9606.ENSP00000216373
9606.ENSP00000354952	9606.ENSP00000407586
9606.ENSP00000354952	9606.ENSP00000358548
9606.ENSP00000354952	9606.ENSP00000333547
9606.ENSP00000354952	9606.ENSP00000256953
9606.ENSP00000354952	9606.ENSP00000401303
9606.ENSP00000354952	9606.ENSP00000264554
9606.ENSP00000354952	9606.ENSP00000364995
9606.ENSP00000354952	9606.ENSP00000384675
9606.ENSP00000354952	9606.ENSP00000216373
9606.ENSP00000339186	9606.ENSP00000407586
9606.ENSP00000339186	9606.ENSP00000358548
9606.ENSP00000339186	9606.ENSP00000333547
9606.ENSP00000339186	9606.ENSP00000256953
9606.ENSP00000339186	9606.ENSP00000401303
9606.ENSP00000339186	9606.ENSP00000264554
9606.ENSP00000339186	9606.ENSP00000364995
9606.ENSP00000339186	9606.ENSP00000384675
9606.ENSP00000339186	9606.ENSP00000216373
9606.ENSP00000284154	9606.ENSP00000407586
9606.ENSP00000284154	9606.ENSP00000358548
9606.ENSP00000284154	9606.ENSP00000333547
9606.ENSP00000284154	9606.ENSP00000256953
9606.ENSP00000284154	9606.ENSP00000401303
9606.ENSP00000284154	9606.ENSP00000264554
9606.ENSP00000284154	9606.ENSP00000364995
9606.ENSP00000284154	9606.ENSP00000384675
9606.ENSP00000284154	9606.ENSP00000216373
9606.ENSP00000376345	9606.ENSP00000407586
9606.ENSP00000376345	9606.ENSP00000358548
9606.ENSP00000376345	9606.ENSP00000333547
9606.ENSP00000376345	9606.ENSP00000256953
9606.ENSP00000376345	9606.ENSP00000401303
9606.ENSP00000376345	9606.ENSP00000264554
9606.ENSP00000376345	9606.ENSP00000364995
9606.ENSP00000376345	9606.ENSP00000384675
9606.ENSP00000376345	9606.ENSP00000216373
9606.ENSP00000407586	9606.ENSP00000290277
9606.ENSP00000407586	9606.ENSP00000419060
9606.ENSP00000407586	9606.ENSP00000401888
9606.ENSP00000499900	9606.ENSP00000354394
9606.ENSP00000499900	9606.ENSP00000354394
9606.ENSP00000499900	9606.ENSP00000315768
9606.ENSP00000499900	9606.ENSP00000315768
9606.ENSP00000499900	9606.ENSP00000264657
9606.ENSP00000499900	9606.ENSP00000264657
9606.ENSP00000499900	9606.ENSP00000351255
9606.ENSP00000499900	9606.ENSP00000351255
9606.ENSP00000499900	9606.ENSP00000341208
9606.ENSP00000499900	9606.ENSP00000341208
9606.ENSP00000499900	9606.ENSP00000293328
9606.ENSP00000499900	9606.ENSP00000293328
9606.ENSP00000499900	9606.ENSP00000300134
9606.ENSP00000499900	9606.ENSP00000300134
9606.ENSP00000371067	9606.ENSP00000354394
9606.ENSP00000371067	9606.ENSP00000354394
9606.ENSP00000371067	9606.ENSP00000315768
9606.ENSP00000371067	9606.ENSP00000315768
9606.ENSP00000371067	9606.ENSP00000264657
9606.ENSP00000371067	9606.ENSP00000264657
9606.ENSP00000371067	9606.ENSP00000351255
9606.ENSP00000371067	9606.ENSP00000351255
9606.ENSP00000371067	9606.ENSP00000341208
9606.ENSP00000371067	9606.ENSP00000341208
9606.ENSP00000371067	9606.ENSP00000293328
9606.ENSP00000371067	9606.ENSP00000293328
9606.ENSP00000371067	9606.ENSP00000300134
9606.ENSP00000371067	9606.ENSP00000300134
9606.ENSP00000432511	9606.ENSP00000354394
9606.ENSP00000432511	9606.ENSP00000354394
9606.ENSP00000432511	9606.ENSP00000315768
9606.ENSP00000432511	9606.ENSP00000315768
9606.ENSP00000432511	9606.ENSP00000264657
9606.ENSP00000432511	9606.ENSP00000264657
9606.ENSP00000432511	9606.ENSP00000351255
9606.ENSP00000432511	9606.ENSP00000351255
