id	uniprot	string	ensembl
GSK3B	P49841	9606.ENSP00000324806	ENSG00000082701
CREBBP	Q92793	9606.ENSP00000262367	ENSG00000005339
CSNK1A1	P48729	9606.ENSP00000261798	ENSG00000113712
FBXW11	Q9UKB1	9606.ENSP00000265094	ENSG00000072803
PTCH1	Q13635	9606.ENSP00000332353	ENSG00000185920
CSNK1E	P49674	9606.ENSP00000380044	ENSG00000213923
GLI1	P08151	9606.ENSP00000228682	ENSG00000111087
GLI3	P10071	9606.ENSP00000379258	ENSG00000106571
SHH	Q15465	9606.ENSP00000297261	ENSG00000164690
SMO	Q99835	9606.ENSP00000249373	ENSG00000128602
PRKAR1B	P31321	9606.ENSP00000385749	ENSG00000188191
STK36	Q9NRP7	9606.ENSP00000295709	ENSG00000163482
PRKAR2B	P31323	9606.ENSP00000265717	ENSG00000005249
PRKAR1A	P10644	9606.ENSP00000376475	ENSG00000108946
PRKAR2A	P13861	9606.ENSP00000265563	ENSG00000114302
SUFU	Q9UMX1	9606.ENSP00000358918	ENSG00000107882
UBR5	O95071	9606.ENSP00000429084	ENSG00000104517
BTRC	Q9Y297	9606.ENSP00000359206	ENSG00000166167
CSNK1A1L	Q8N752	9606.ENSP00000369126	ENSG00000180138
