id	uniprot	string	ensembl
IRS1	P35568	9606.ENSP00000304895	ENSG00000169047
PDPK1	O15530	9606.ENSP00000344220	ENSG00000140992
INSR	P06213	9606.ENSP00000303830	ENSG00000171105
INSRR	P14616	9606.ENSP00000357178	ENSG00000027644
IGF2	P01344	9606.ENSP00000391826	ENSG00000167244
IRS4	O14654	9606.ENSP00000361202	ENSG00000133124
INPPL1	O15357	9606.ENSP00000298229	ENSG00000165458
PTEN	P60484	9606.ENSP00000361021	ENSG00000171862
PTEN	P60484	9606.ENSP00000361021	ENSG00000284792
TSC2	P49815	9606.ENSP00000219476	ENSG00000103197
IRS2	Q9Y4H2	9606.ENSP00000365016	ENSG00000185950
TPTE	P56180	9606.ENSP00000484403	ENSG00000274391
TSC1	Q92574	9606.ENSP00000298552	ENSG00000165699
IGF1	P05019	9606.ENSP00000376637	ENSG00000017427
IGF2R	P11717	9606.ENSP00000349437	ENSG00000197081
INS	P01308	9606.ENSP00000380432	ENSG00000254647
IGF1R	P08069	9606.ENSP00000497069	ENSG00000140443
PIK3CA	P42336	9606.ENSP00000263967	ENSG00000121879
