protein1	protein2	score
9606.ENSP00000441543	9606.ENSP00000394394	801
9606.ENSP00000483236	9606.ENSP00000396160	801
9606.ENSP00000302783	9606.ENSP00000309132	801
9606.ENSP00000363043	9606.ENSP00000308548	801
9606.ENSP00000441543	9606.ENSP00000271308	801
9606.ENSP00000300651	9606.ENSP00000417235	801
9606.ENSP00000409231	9606.ENSP00000324318	801
9606.ENSP00000360672	9606.ENSP00000363921	801
9606.ENSP00000441543	9606.ENSP00000414359	801
9606.ENSP00000318297	9606.ENSP00000384198	801
9606.ENSP00000357297	9606.ENSP00000355759	801
9606.ENSP00000497444	9606.ENSP00000303634	801
9606.ENSP00000359910	9606.ENSP00000441543	801
9606.ENSP00000369716	9606.ENSP00000440542	801
9606.ENSP00000216455	9606.ENSP00000441543	801
9606.ENSP00000363822	9606.ENSP00000347358	801
9606.ENSP00000348461	9606.ENSP00000316338	801
9606.ENSP00000258080	9606.ENSP00000477613	801
9606.ENSP00000428982	9606.ENSP00000326767	801
9606.ENSP00000357008	9606.ENSP00000361725	801
9606.ENSP00000441543	9606.ENSP00000223321	801
9606.ENSP00000263857	9606.ENSP00000361446	801
9606.ENSP00000360305	9606.ENSP00000252699	801
9606.ENSP00000318297	9606.ENSP00000331310	801
9606.ENSP00000217195	9606.ENSP00000326031	801
9606.ENSP00000360485	9606.ENSP00000366488	801
9606.ENSP00000358867	9606.ENSP00000325941	801
9606.ENSP00000298159	9606.ENSP00000458162	801
9606.ENSP00000370258	9606.ENSP00000216190	801
9606.ENSP00000306894	9606.ENSP00000456340	801
9606.ENSP00000365720	9606.ENSP00000466542	801
9606.ENSP00000377060	9606.ENSP00000209875	801
9606.ENSP00000497260	9606.ENSP00000232564	801
9606.ENSP00000497069	9606.ENSP00000258149	801
9606.ENSP00000355249	9606.ENSP00000364519	801
9606.ENSP00000441543	9606.ENSP00000259457	801
9606.ENSP00000398495	9606.ENSP00000477613	801
9606.ENSP00000243903	9606.ENSP00000262238	801
9606.ENSP00000306866	9606.ENSP00000324560	801
9606.ENSP00000262193	9606.ENSP00000441543	801
9606.ENSP00000315564	9606.ENSP00000428489	801
9606.ENSP00000354206	9606.ENSP00000357644	801
9606.ENSP00000261692	9606.ENSP00000369716	801
9606.ENSP00000351446	9606.ENSP00000356480	801
9606.ENSP00000359837	9606.ENSP00000307684	801
9606.ENSP00000352925	9606.ENSP00000307684	801
9606.ENSP00000355325	9606.ENSP00000441543	801
9606.ENSP00000264108	9606.ENSP00000480826	801
9606.ENSP00000270586	9606.ENSP00000441543	801
9606.ENSP00000262741	9606.ENSP00000501150	801
9606.ENSP00000302625	9606.ENSP00000495360	801
9606.ENSP00000300935	9606.ENSP00000369538	801
9606.ENSP00000478927	9606.ENSP00000342235	802
9606.ENSP00000369162	9606.ENSP00000393241	802
9606.ENSP00000369162	9606.ENSP00000296674	802
9606.ENSP00000369162	9606.ENSP00000470972	802
9606.ENSP00000369162	9606.ENSP00000498019	802
9606.ENSP00000394417	9606.ENSP00000374212	802
9606.ENSP00000346027	9606.ENSP00000345917	802
9606.ENSP00000339186	9606.ENSP00000377633	802
9606.ENSP00000303015	9606.ENSP00000339834	802
9606.ENSP00000219097	9606.ENSP00000393139	802
9606.ENSP00000294053	9606.ENSP00000366819	802
9606.ENSP00000369162	9606.ENSP00000379888	802
9606.ENSP00000369162	9606.ENSP00000362744	802
9606.ENSP00000392617	9606.ENSP00000490491	802
9606.ENSP00000435777	9606.ENSP00000369162	802
9606.ENSP00000363389	9606.ENSP00000260327	802
9606.ENSP00000352925	9606.ENSP00000314806	802
9606.ENSP00000341208	9606.ENSP00000369134	802
9606.ENSP00000497594	9606.ENSP00000261303	802
9606.ENSP00000308750	9606.ENSP00000437659	802
9606.ENSP00000308873	9606.ENSP00000418695	802
9606.ENSP00000369424	9606.ENSP00000496168	802
9606.ENSP00000388107	9606.ENSP00000244537	802
9606.ENSP00000480987	9606.ENSP00000209728	802
9606.ENSP00000369162	9606.ENSP00000481646	802
9606.ENSP00000264606	9606.ENSP00000379287	802
9606.ENSP00000318646	9606.ENSP00000369162	802
9606.ENSP00000343896	9606.ENSP00000231509	802
9606.ENSP00000264110	9606.ENSP00000264716	802
9606.ENSP00000347684	9606.ENSP00000483921	802
9606.ENSP00000219905	9606.ENSP00000216237	802
9606.ENSP00000307004	9606.ENSP00000358262	802
9606.ENSP00000369162	9606.ENSP00000375632	802
9606.ENSP00000369162	9606.ENSP00000369757	802
9606.ENSP00000238156	9606.ENSP00000264639	802
9606.ENSP00000357051	9606.ENSP00000359233	802
9606.ENSP00000369162	9606.ENSP00000272317	802
