protein1	protein2	score
9606.ENSP00000259469	9606.ENSP00000369757	901
9606.ENSP00000470972	9606.ENSP00000359345	901
9606.ENSP00000369162	9606.ENSP00000278572	901
9606.ENSP00000281031	9606.ENSP00000369176	901
9606.ENSP00000360492	9606.ENSP00000356972	901
9606.ENSP00000449328	9606.ENSP00000296674	901
9606.ENSP00000301585	9606.ENSP00000419370	901
9606.ENSP00000325690	9606.ENSP00000254810	901
9606.ENSP00000435777	9606.ENSP00000359345	901
9606.ENSP00000345957	9606.ENSP00000362744	901
9606.ENSP00000346012	9606.ENSP00000466010	901
9606.ENSP00000369162	9606.ENSP00000367806	901
9606.ENSP00000369162	9606.ENSP00000385958	901
9606.ENSP00000408979	9606.ENSP00000414982	901
9606.ENSP00000431240	9606.ENSP00000278572	901
9606.ENSP00000388107	9606.ENSP00000303373	901
9606.ENSP00000306330	9606.ENSP00000003084	901
9606.ENSP00000324124	9606.ENSP00000293860	901
9606.ENSP00000254810	9606.ENSP00000440542	901
9606.ENSP00000359345	9606.ENSP00000362744	901
9606.ENSP00000300151	9606.ENSP00000361084	901
9606.ENSP00000435777	9606.ENSP00000262584	901
9606.ENSP00000354525	9606.ENSP00000354580	901
9606.ENSP00000435777	9606.ENSP00000301364	901
9606.ENSP00000354525	9606.ENSP00000357823	901
9606.ENSP00000354580	9606.ENSP00000333401	901
9606.ENSP00000259469	9606.ENSP00000393241	901
9606.ENSP00000305790	9606.ENSP00000215793	901
9606.ENSP00000369162	9606.ENSP00000435096	901
9606.ENSP00000389103	9606.ENSP00000420311	901
9606.ENSP00000435777	9606.ENSP00000463842	901
9606.ENSP00000346088	9606.ENSP00000413436	901
9606.ENSP00000346050	9606.ENSP00000463784	901
9606.ENSP00000357823	9606.ENSP00000288937	901
9606.ENSP00000291700	9606.ENSP00000435412	901
9606.ENSP00000357178	9606.ENSP00000303830	901
9606.ENSP00000369162	9606.ENSP00000472985	901
9606.ENSP00000223324	9606.ENSP00000308275	901
9606.ENSP00000389351	9606.ENSP00000354739	901
9606.ENSP00000494697	9606.ENSP00000386717	901
9606.ENSP00000259457	9606.ENSP00000215071	901
9606.ENSP00000463784	9606.ENSP00000418082	901
9606.ENSP00000481646	9606.ENSP00000379506	901
9606.ENSP00000377486	9606.ENSP00000308897	901
9606.ENSP00000311430	9606.ENSP00000498019	901
9606.ENSP00000418447	9606.ENSP00000429065	901
9606.ENSP00000300413	9606.ENSP00000392094	901
9606.ENSP00000370625	9606.ENSP00000348089	901
9606.ENSP00000418287	9606.ENSP00000387471	901
9606.ENSP00000358151	9606.ENSP00000388107	901
9606.ENSP00000464813	9606.ENSP00000418082	902
9606.ENSP00000263754	9606.ENSP00000244537	902
9606.ENSP00000311430	9606.ENSP00000428223	902
9606.ENSP00000311430	9606.ENSP00000378163	902
9606.ENSP00000460348	9606.ENSP00000254193	902
9606.ENSP00000335153	9606.ENSP00000269305	902
9606.ENSP00000363018	9606.ENSP00000420311	902
9606.ENSP00000296102	9606.ENSP00000484903	902
9606.ENSP00000265062	9606.ENSP00000334642	902
9606.ENSP00000414321	9606.ENSP00000346050	902
9606.ENSP00000316032	9606.ENSP00000382779	902
9606.ENSP00000370938	9606.ENSP00000357047	902
9606.ENSP00000449328	9606.ENSP00000348849	902
9606.ENSP00000464813	9606.ENSP00000447001	902
9606.ENSP00000470972	9606.ENSP00000413436	902
9606.ENSP00000490491	9606.ENSP00000449396	902
9606.ENSP00000348849	9606.ENSP00000418082	902
9606.ENSP00000431822	9606.ENSP00000369757	902
9606.ENSP00000386717	9606.ENSP00000339063	902
9606.ENSP00000359345	9606.ENSP00000403172	902
9606.ENSP00000296102	9606.ENSP00000473980	902
9606.ENSP00000296043	9606.ENSP00000340989	902
9606.ENSP00000346027	9606.ENSP00000463842	903
9606.ENSP00000399457	9606.ENSP00000244763	903
9606.ENSP00000250495	9606.ENSP00000268717	903
9606.ENSP00000339001	9606.ENSP00000258091	903
9606.ENSP00000054666	9606.ENSP00000222812	903
9606.ENSP00000233468	9606.ENSP00000393388	903
9606.ENSP00000352252	9606.ENSP00000260947	903
9606.ENSP00000292408	9606.ENSP00000431254	903
9606.ENSP00000309334	9606.ENSP00000362744	903
9606.ENSP00000346196	9606.ENSP00000355046	903
9606.ENSP00000259469	9606.ENSP00000435096	903
9606.ENSP00000419881	9606.ENSP00000336701	903
9606.ENSP00000321744	9606.ENSP00000216639	903
9606.ENSP00000225430	9606.ENSP00000339795	903
9606.ENSP00000246071	9606.ENSP00000393388	903
9606.ENSP00000291295	9606.ENSP00000489829	903
9606.ENSP00000383333	9606.ENSP00000352252	903
9606.ENSP00000346027	9606.ENSP00000466010	903
9606.ENSP00000354742	9606.ENSP00000352627	903
9606.ENSP00000379506	9606.ENSP00000375730	903
9606.ENSP00000362744	9606.ENSP00000346015	903
9606.ENSP00000209873	9606.ENSP00000382779	903
9606.ENSP00000462468	9606.ENSP00000346839	903
9606.ENSP00000362036	9606.ENSP00000254928	903
9606.ENSP00000386717	9606.ENSP00000348849	903
9606.ENSP00000356480	9606.ENSP00000233630	903
9606.ENSP00000352252	9606.ENSP00000483345	903
9606.ENSP00000405330	9606.ENSP00000340989	903
9606.ENSP00000332790	9606.ENSP00000254810	903
9606.ENSP00000254480	9606.ENSP00000371638	903
9606.ENSP00000254508	9606.ENSP00000382779	903
9606.ENSP00000276390	9606.ENSP00000490083	903
9606.ENSP00000470972	9606.ENSP00000309334	903
9606.ENSP00000423563	9606.ENSP00000377001	903
9606.ENSP00000499501	9606.ENSP00000384490	903
9606.ENSP00000423563	9606.ENSP00000479284	903
9606.ENSP00000489829	9606.ENSP00000499797	903
9606.ENSP00000339001	9606.ENSP00000275603	903
9606.ENSP00000352252	9606.ENSP00000417980	903
9606.ENSP00000321744	9606.ENSP00000273853	903
9606.ENSP00000284981	9606.ENSP00000468897	903
9606.ENSP00000342374	9606.ENSP00000335321	903
9606.ENSP00000388107	9606.ENSP00000345195	903
9606.ENSP00000429374	9606.ENSP00000447001	903
9606.ENSP00000358155	9606.ENSP00000321744	903
9606.ENSP00000250457	9606.ENSP00000437955	903
9606.ENSP00000478771	9606.ENSP00000388107	903
9606.ENSP00000263754	9606.ENSP00000269305	903
9606.ENSP00000495273	9606.ENSP00000311430	903
9606.ENSP00000478771	9606.ENSP00000315112	903
9606.ENSP00000358262	9606.ENSP00000352627	903
9606.ENSP00000500990	9606.ENSP00000291295	903
9606.ENSP00000379873	9606.ENSP00000420127	903
9606.ENSP00000482063	9606.ENSP00000356480	903
9606.ENSP00000478501	9606.ENSP00000378529	903
9606.ENSP00000361918	9606.ENSP00000392094	903
9606.ENSP00000198767	9606.ENSP00000465099	903
9606.ENSP00000339795	9606.ENSP00000296674	903
9606.ENSP00000494831	9606.ENSP00000393388	903
9606.ENSP00000348849	9606.ENSP00000222247	903
9606.ENSP00000405330	9606.ENSP00000418960	903
9606.ENSP00000495273	9606.ENSP00000470972	903
9606.ENSP00000370938	9606.ENSP00000263205	903
9606.ENSP00000225430	9606.ENSP00000359345	903
9606.ENSP00000435777	9606.ENSP00000464813	903
9606.ENSP00000379287	9606.ENSP00000003084	903
9606.ENSP00000361930	9606.ENSP00000003084	903
9606.ENSP00000351185	9606.ENSP00000254719	903
9606.ENSP00000463784	9606.ENSP00000369757	904
9606.ENSP00000354633	9606.ENSP00000359531	904
9606.ENSP00000439020	9606.ENSP00000261597	904
9606.ENSP00000382177	9606.ENSP00000261890	904
9606.ENSP00000339795	9606.ENSP00000413436	904
9606.ENSP00000296684	9606.ENSP00000215565	904
9606.ENSP00000282516	9606.ENSP00000372689	904
9606.ENSP00000463842	9606.ENSP00000225430	904
9606.ENSP00000315379	9606.ENSP00000262633	904
9606.ENSP00000225430	9606.ENSP00000418082	904
9606.ENSP00000497733	9606.ENSP00000268182	904
9606.ENSP00000494697	9606.ENSP00000348849	904
9606.ENSP00000354633	9606.ENSP00000377969	904
9606.ENSP00000301457	9606.ENSP00000233627	904
9606.ENSP00000465099	9606.ENSP00000415536	904
9606.ENSP00000236273	9606.ENSP00000400591	904
9606.ENSP00000259895	9606.ENSP00000230354	904
9606.ENSP00000272645	9606.ENSP00000470252	904
9606.ENSP00000495273	9606.ENSP00000298283	904
9606.ENSP00000309830	9606.ENSP00000341885	904
9606.ENSP00000354739	9606.ENSP00000359345	904
9606.ENSP00000259895	9606.ENSP00000461879	904
9606.ENSP00000283875	9606.ENSP00000354633	904
9606.ENSP00000254810	9606.ENSP00000352119	904
9606.ENSP00000269601	9606.ENSP00000393388	904
9606.ENSP00000352252	9606.ENSP00000307208	904
9606.ENSP00000290663	9606.ENSP00000272645	904
9606.ENSP00000244537	9606.ENSP00000352119	904
9606.ENSP00000372445	9606.ENSP00000254928	904
9606.ENSP00000309334	9606.ENSP00000386717	904
9606.ENSP00000355050	9606.ENSP00000351137	904
9606.ENSP00000302160	9606.ENSP00000363313	904
9606.ENSP00000497587	9606.ENSP00000281031	904
9606.ENSP00000386419	9606.ENSP00000446093	904
9606.ENSP00000259895	9606.ENSP00000359531	904
9606.ENSP00000303373	9606.ENSP00000352119	904
9606.ENSP00000365477	9606.ENSP00000274458	904
9606.ENSP00000266735	9606.ENSP00000469468	904
