protein1	protein2	score
P84077	P84085	711
P84085	P18085	780
Q02790	Q92990	836
P07900	Q02790	857
Q02790	P42345	900
Q9NZ52	P20645	960
P67870	P12830	846
Q8TDW7	P00533	846
Q9Y5F7	P16591	846
P55283	P35222	846
Q9UBC1	O14920	846
Q562R1	Q9Y5E3	846
P12931	Q9UN74	846
P63261	Q9Y5E3	846
P68133	P19784	846
Q13546	P01375	846
P62736	O60245	846
Q07889	Q01344	846
P55290	Q9UQB3	846
P63261	P55289	846
Q9Y5F0	O60716	846
Q08334	Q9NPF7	846
P04626	Q9Y5E3	846
Q9UM47	Q86X95	846
P25024	P42336	846
Q562R1	P22223	846
Q13546	Q12851	846
Q8TD08	Q15418	846
P09544	Q9H461	846
Q9H6Q3	Q08334	846
P16591	Q9BYE9	846
Q15303	Q9ULB4	846
Q16659	P42229	846
P51828	O14775	846
Q9H251	P16591	846
Q02156	Q13546	846
Q9UHF4	P05112	846
P18031	Q9Y5G2	846
Q9UN74	P04626	846
Q9Y618	Q04721	846
Q9Y5G7	O60716	846
P19784	Q96JP9	846
Q9HCU4	Q8NEV1	846
P26951	Q07890	846
P63261	Q9Y5F8	846
P00533	Q9HC56	846
Q9Y5G6	P16591	846
Q9Y5H0	P00533	846
P31751	P46527	846
P13232	P42336	846
Q9UN70	P42685	846
Q86UP0	P42685	846
P49674	Q9UMX1	846
P60568	P25025	846
P35225	P42338	846
Q8TAB3	Q562R1	846
Q9Y5H4	P60709	846
Q99466	Q06330	846
P01374	P19438	846
P04626	Q9Y5E5	846
Q15628	Q04759	846
Q9Y5E8	Q9UQB3	846
P04626	P12830	846
Q13651	P05231	846
Q9UP38	P56706	846
Q9BZA7	P21860	846
P13232	Q9Y4H2	846
Q9ULB4	P16591	846
Q14116	Q08334	846
P19022	Q9UQB3	846
Q8TAB3	P63267	846
P12931	O95206	846
P18031	Q9Y5E9	846
P01112	Q8WV28	846
Q9UN74	P60709	846
Q13489	P42574	846
P18031	Q9HCL0	846
Q14116	P42701	846
P06241	Q9Y5H1	846
Q9Y5F9	Q9UQB3	846
Q9H159	P61160	846
Q9Y5G8	P19784	846
Q9UN70	P00533	846
P01374	Q13546	846
P11717	P20718	846
Q15303	Q9Y5E2	846
Q9H461	O00744	846
Q16659	P42226	846
P35222	Q9UJU2	846
Q9UN73	Q15303	846
P22301	P29353	846
Q9UHF4	Q9Y4H2	846
Q9Y5E3	O60716	846
P25024	P40933	846
Q9UN74	P35222	846
P35222	Q9ULB5	846
P42685	O60330	846
P68032	Q9UJ99	846
P63261	Q9Y5H1	846
P68032	Q8NEV1	846
Q9Y4H2	P01583	846
P62736	Q9Y5H9	846
P42685	Q9UN72	846
P19784	Q8N6Y1	846
Q9Y5F6	P04626	846
P21860	Q9UN72	846
P35222	Q15303	846
Q9Y5G7	P19784	846
P46531	Q06330	846
Q9Y4H2	Q9HBE4	846
P67870	P60709	846
P60568	P14784	846
P31751	P49841	846
P40259	Q8WV28	846
P05231	Q07889	846
P35222	Q9Y5I3	846
P35222	Q9HCS4	846
P63267	P16591	846
Q9UP38	P56703	846
Q9UN74	Q8NEV1	846
P12931	P55285	846
P25024	P05113	846
P60568	Q9H6Q3	846
Q9Y5H6	O60716	846
P13861	P10071	846
P60709	Q9Y5H9	846
P00533	P22223	846
P12931	P55286	846
Q9ULV1	O14905	846
P35568	P29353	846
Q9UQB3	Q9UN67	846
P63261	P55285	846
Q562R1	P55285	846
Q02750	P10398	846
Q8NEV1	Q9Y5E3	846
P42685	Q9Y5E2	846
Q14627	P25025	846
Q99665	P42336	846
Q9HCL0	P00533	846
P63267	Q9ULB4	846
P67870	Q8TDW7	846
Q14573	Q07889	846
P04626	Q9Y5E8	846
Q13261	P15248	846
Q07889	P29353	846
P60568	P42336	846
P13232	P25025	846
O00144	O00744	846
P68133	P55290	846
P00533	Q9Y5F1	846
Q562R1	Q14517	846
O00755	Q9ULW2	846
Q08334	P40933	846
Q9H6Q3	Q99665	846
Q9UP38	P56704	846
P26951	Q08334	846
Q9Y4H2	Q13261	846
O00329	P07948	846
P04626	P60709	846
P60568	Q9Y4H2	846
P35222	P55289	846
P35222	Q9Y5G3	846
Q07812	Q16611	846
Q04721	Q9BYC5	846
P68133	P35222	846
Q9Y5H6	Q15303	846
Q9NPF7	Q9HBE4	846
P16591	Q96JQ0	846
P63261	Q08174	846
P18031	P61160	846
P01111	Q8WV28	846
P12931	Q9Y5H5	846
P12931	Q9Y5F2	846
P63261	Q9Y5G5	846
P35568	P42701	846
Q9UBI6	P13945	846
P11912	P43405	846
P01112	P36507	846
Q9Y5I3	Q8NEV1	846
Q8NEV1	Q9Y5F7	846
P35568	Q99665	846
P17947	Q13164	846
Q9H158	Q15303	846
P00533	Q9Y5H5	846
P00533	Q9Y5F2	846
P68133	O60330	846
Q562R1	Q9Y5H3	846
P12830	Q8NEV1	846
P35222	Q9NPG1	846
P68133	Q9Y5H7	846
Q9Y5G8	Q9UQB3	846
Q93098	Q14332	846
Q9H461	Q9Y6F9	846
P01112	P04049	846
O95071	P10071	846
Q9HCL0	P60709	846
P67870	P19022	846
Q9Y5E6	Q8NEV1	846
P21860	Q96JQ0	846
P08887	P25025	846
Q15303	Q9ULB5	846
P63267	Q9BZA7	846
Q9Y297	Q9UMX1	846
Q9H6Q3	Q07889	846
P63267	Q9Y5E4	846
P15153	Q9Y2U5	846
P35222	P63267	846
P35222	Q08174	846
Q13651	P01583	846
Q13467	P56703	846
P27361	P01100	846
P12931	Q9Y5E7	846
P63261	Q9HCL0	846
P40189	P78552	846
Q9UHF4	P22301	846
P40259	Q06187	846
P62736	Q9Y5I4	846
P42685	Q8N6Y1	846
P19784	Q9UN72	846
Q8TDW7	P61160	846
Q8TAB3	O60716	846
P18031	Q9HBT6	846
P13232	Q9H6Q3	846
P78504	Q9NYJ7	846
Q15303	Q9Y6N8	846
P63261	Q9Y5E7	846
P05198	P42574	846
P60568	P29353	846
P42338	Q15628	846
Q14116	Q9H6Q3	846
P35222	Q9Y5H9	846
P08151	Q13635	846
Q99759	P45984	846
P35222	Q9Y5H6	846
P62736	Q9Y5E8	846
Q9Y5H8	P21860	846
P63000	Q99759	846
Q86UP0	P68133	846
Q9ULB5	P16591	846
Q14116	Q9NPF7	846
P68032	Q08174	846
P55286	Q9UQB3	846
P55291	P00533	846
P12931	Q9UN67	846
P78552	P42336	846
Q9H461	P41221	846
Q13546	P48736	846
P60709	O60245	846
P06241	Q9Y5I4	846
P19838	P25963	846
P24723	O14920	846
P60709	Q9Y5H5	846
P60709	Q9Y5F2	846
P00533	Q9Y6N8	846
Q9Y5G8	P42685	846
P62879	P51828	846
P12931	P55291	846
P51692	Q13164	846
P25025	Q13261	846
P06241	Q9Y5H2	846
P08887	P05113	846
P19022	P63267	846
P63261	Q9Y5H7	846
P68032	Q9Y5F8	846
P35568	Q01344	846
P08575	P07948	846
P62736	O75309	846
P35222	Q9HC56	846
Q07890	P42701	846
P19784	Q9UN71	846
P68032	Q9Y5E4	846
P06241	Q9Y5E8	846
P46734	Q99683	846
P62993	Q05655	846
P42338	O15530	846
O75084	O00755	846
P68133	Q9Y5F1	846
P00533	P55290	846
Q9Y5F6	P00533	846
P63267	Q8N6Y1	846
P08887	P10145	846
P13232	P25024	846
P18031	Q9Y5I4	846
P35225	P78552	846
P19438	Q06643	846
P05231	P52333	846
Q8NEV1	Q9Y5E2	846
P42685	Q9Y5E3	846
Q9NYQ6	P21860	846
Q9Y5G2	Q562R1	846
Q9NR61	Q04721	846
P31749	P42336	846
P60709	Q9UN71	846
Q9H158	Q9UQB3	846
Q12933	P17252	846
P19784	P55285	846
P25963	Q04864	846
P12931	Q9Y5I3	846
O60716	Q9UN72	846
P60568	Q08334	846
