protein1	protein2	score
Q02790	P42345	900
Q9NZ52	P20645	960
P67870	P12830	930
Q8TDW7	P00533	930
Q9Y5F7	P16591	930
P55283	P35222	930
Q9UBC1	O14920	930
Q562R1	Q9Y5E3	930
P12931	Q9UN74	930
P63261	Q9Y5E3	930
P68133	P19784	930
Q13546	P01375	930
P62736	O60245	930
Q07889	Q01344	930
P55290	Q9UQB3	930
P63261	P55289	930
Q9Y5F0	O60716	930
Q08334	Q9NPF7	930
P04626	Q9Y5E3	930
Q9UM47	Q86X95	930
P25024	P42336	930
Q562R1	P22223	930
Q13546	Q12851	930
Q8TD08	Q15418	930
P09544	Q9H461	930
Q9H6Q3	Q08334	930
P16591	Q9BYE9	930
Q15303	Q9ULB4	930
Q16659	P42229	930
P51828	O14775	930
Q9H251	P16591	930
Q02156	Q13546	930
Q9UHF4	P05112	930
P18031	Q9Y5G2	930
Q9UN74	P04626	930
Q9Y618	Q04721	930
Q9Y5G7	O60716	930
P19784	Q96JP9	930
Q9HCU4	Q8NEV1	930
P26951	Q07890	930
P63261	Q9Y5F8	930
P00533	Q9HC56	930
Q9Y5G6	P16591	930
Q9Y5H0	P00533	930
P31751	P46527	930
P13232	P42336	930
Q9UN70	P42685	930
Q86UP0	P42685	930
P49674	Q9UMX1	930
P60568	P25025	930
P35225	P42338	930
Q8TAB3	Q562R1	930
Q9Y5H4	P60709	930
Q99466	Q06330	930
P01374	P19438	930
P04626	Q9Y5E5	930
Q15628	Q04759	930
Q9Y5E8	Q9UQB3	930
P04626	P12830	930
Q13651	P05231	930
Q9UP38	P56706	930
Q9BZA7	P21860	930
P13232	Q9Y4H2	930
Q9ULB4	P16591	930
Q14116	Q08334	930
P19022	Q9UQB3	930
Q8TAB3	P63267	930
P12931	O95206	930
P18031	Q9Y5E9	930
P01112	Q8WV28	930
Q9UN74	P60709	930
Q13489	P42574	930
P18031	Q9HCL0	930
Q14116	P42701	930
P06241	Q9Y5H1	930
Q9Y5F9	Q9UQB3	930
Q9H159	P61160	930
Q9Y5G8	P19784	930
Q9UN70	P00533	930
P01374	Q13546	930
P11717	P20718	930
Q15303	Q9Y5E2	930
Q9H461	O00744	930
Q16659	P42226	930
P35222	Q9UJU2	930
Q9UN73	Q15303	930
P22301	P29353	930
Q9UHF4	Q9Y4H2	930
Q9Y5E3	O60716	930
P25024	P40933	930
Q9UN74	P35222	930
P35222	Q9ULB5	930
P42685	O60330	930
P68032	Q9UJ99	930
P63261	Q9Y5H1	930
P68032	Q8NEV1	930
Q9Y4H2	P01583	930
P62736	Q9Y5H9	930
P42685	Q9UN72	930
P19784	Q8N6Y1	930
Q9Y5F6	P04626	930
P21860	Q9UN72	930
P35222	Q15303	930
Q9Y5G7	P19784	930
P46531	Q06330	930
Q9Y4H2	Q9HBE4	930
P67870	P60709	930
P60568	P14784	930
P31751	P49841	930
P40259	Q8WV28	930
P05231	Q07889	930
P35222	Q9Y5I3	930
P35222	Q9HCS4	930
P63267	P16591	930
Q9UP38	P56703	930
Q9UN74	Q8NEV1	930
P12931	P55285	930
P25024	P05113	930
P60568	Q9H6Q3	930
Q9Y5H6	O60716	930
P13861	P10071	930
P60709	Q9Y5H9	930
P00533	P22223	930
P12931	P55286	930
Q9ULV1	O14905	930
P35568	P29353	930
Q9UQB3	Q9UN67	930
P63261	P55285	930
Q562R1	P55285	930
Q02750	P10398	930
Q8NEV1	Q9Y5E3	930
P42685	Q9Y5E2	930
Q14627	P25025	930
Q99665	P42336	930
Q9HCL0	P00533	930
P63267	Q9ULB4	930
P67870	Q8TDW7	930
Q14573	Q07889	930
P04626	Q9Y5E8	930
Q13261	P15248	930
Q07889	P29353	930
P60568	P42336	930
P13232	P25025	930
O00144	O00744	930
P68133	P55290	930
P00533	Q9Y5F1	930
Q562R1	Q14517	930
O00755	Q9ULW2	930
Q08334	P40933	930
Q9H6Q3	Q99665	930
Q9UP38	P56704	930
P26951	Q08334	930
Q9Y4H2	Q13261	930
O00329	P07948	930
P04626	P60709	930
P60568	Q9Y4H2	930
P35222	P55289	930
P35222	Q9Y5G3	930
Q07812	Q16611	930
Q04721	Q9BYC5	930
P68133	P35222	930
Q9Y5H6	Q15303	930
Q9NPF7	Q9HBE4	930
P16591	Q96JQ0	930
P63261	Q08174	930
P18031	P61160	930
P01111	Q8WV28	930
P12931	Q9Y5H5	930
P12931	Q9Y5F2	930
P63261	Q9Y5G5	930
P35568	P42701	930
Q9UBI6	P13945	930
P11912	P43405	930
P01112	P36507	930
Q9Y5I3	Q8NEV1	930
Q8NEV1	Q9Y5F7	930
P35568	Q99665	930
P17947	Q13164	930
Q9H158	Q15303	930
P00533	Q9Y5H5	930
P00533	Q9Y5F2	930
P68133	O60330	930
Q562R1	Q9Y5H3	930
P12830	Q8NEV1	930
P35222	Q9NPG1	930
P68133	Q9Y5H7	930
Q9Y5G8	Q9UQB3	930
