protein1	protein2	score
P55851	Q9UBG3	400
Q9UBK9	P30876	400
Q7L5Y9	Q96GD4	400
O43353	O94905	400
Q96A33	P58753	400
Q9BX46	Q14134	400
Q96PP8	Q9BZB8	400
O95147	Q86SJ6	400
Q13546	Q96AX9	400
Q8N8N0	O95859	400
Q6ZNF0	Q96PC2	400
O14639	O14936	400
O43567	P59780	400
Q15750	P32121	400
Q9NX47	P56589	400
P01106	P54198	400
P32249	Q53FV1	400
Q9Y6K9	Q15311	400
Q7Z4V5	O76039	400
P01106	Q9P275	400
P28562	P53778	400
O60462	O95156	400
Q8TEY7	Q99675	400
Q9H814	Q13595	400
P43657	P11532	400
Q9H3Z4	Q9UL15	400
Q9Y4F1	P18827	400
Q5JSZ5	Q9NZB2	400
P12314	P43405	400
Q14318	P08238	400
P51508	Q2TBA0	400
P51956	Q9BVA0	400
P08253	P56817	400
Q9BWU1	Q96DY7	400
P50613	P23193	400
O60285	O60237	400
Q13541	O43683	400
Q9ULV4	P36873	400
Q86TJ2	Q92830	400
Q9NP81	Q96EF6	400
Q9H672	Q9BWP8	400
Q06787	H7C0V5	400
P35914	P13196	400
P62851	Q14498	400
P48634	Q9HBD1	400
Q86SG5	Q9BQ50	400
Q9H582	Q6IQ32	400
P21802	Q9GZV9	400
Q9UL15	Q9UF47	400
O95817	Q15427	400
Q70CQ3	P02746	400
Q86UY6	O75367	400
P27816	O75385	400
P35221	P32121	400
O95816	Q8WW22	400
P20774	Q05707	400
Q8IXW5	Q9Y230	400
O00267	Q9BZJ0	400
Q9Y2D5	P21333	400
P42694	Q9BYJ9	400
O95389	Q92870	400
Q9Y2K5	O15234	400
Q92615	Q14444	400
Q6UB98	Q9NWT6	400
O60260	Q12959	400
O43707	P46940	400
P22087	Q96GQ7	400
P21333	Q6P4F7	400
O75564	O00534	400
Q96F86	Q8TEP8	400
Q9UJX0	Q9H0C5	400
P51813	Q5T0F9	400
Q9P2J8	Q9UDY6	400
P06396	Q9UM54	400
Q8NCL4	Q330K2	400
A6PVS8	O43639	400
P56817	P48730	400
Q9NRM7	A6NIX2	400
Q16644	O15264	400
P22694	O15534	400
P17987	O95166	400
O00746	P22392	400
Q96SB4	Q13601	400
Q9NS37	O00534	400
Q13283	Q5TC82	400
Q8N9B5	O95292	400
P04637	Q9HCE1	400
A6NEQ0	P38159	400
P48634	Q5TC82	400
P84103	Q01081	400
Q9Y3D8	Q86TJ2	400
P43405	P14317	400
O60941	O14936	400
Q9NWB7	Q8TD43	400
P01106	Q6PD62	400
P68104	P13929	400
Q8N5Y8	O75581	400
P31785	P23468	400
P62244	Q14498	400
P36896	P98170	400
Q13310	O95478	400
P35251	P38398	400
P48047	Q9NQC3	400
Q01484	Q9Y2D5	400
O14787	O00471	400
Q5TD97	Q9NR12	400
Q04725	P50990	400
P16278	P08134	400
P49368	Q96MX6	400
Q6NYC1	Q8N5F7	400
Q96A84	Q9BYJ9	401
P01024	Q8N9F7	401
Q9NYF3	P27348	401
O43639	Q96F07	401
P38398	O94776	401
Q9BZP6	Q9NY64	401
O15111	Q7Z406	401
Q15772	P63104	401
Q14498	P42766	401
O60551	Q96KN1	401
Q5JR59	P27449	401
P16383	P68400	401
P78362	Q14004	401
O95400	Q9Y2W2	401
O75147	Q92844	401
P38398	O75330	401
Q96HA8	P15531	401
Q9GZX3	Q9H4A5	401
P22681	P35579	401
Q8NI27	Q69YN4	401
P06400	Q13363	401
Q16854	P61266	401
P18124	Q9BVP2	401
Q8WWI1	Q04917	401
Q6UWT4	P55061	401
Q8WW24	O95980	401
Q86UY6	Q9Y5B9	401
Q14011	P09012	401
Q9HAY6	O14639	401
P51114	Q05655	401
P42696	O60832	401
Q8NI36	Q9BYG3	401
P37198	P62826	401
Q15172	P56704	401
P19525	Q9H0D6	401
P38398	Q69YH5	401
P16150	Q9NR50	401
Q9ULD2	Q13643	401
Q9NRJ4	Q93034	401
Q9Y3I0	Q53F19	401
Q8WWY3	P38159	401
P61247	Q14498	401
P10074	Q9Y291	401
Q9UNH7	Q9H0U9	401
P14678	Q8N954	401
P49746	Q8NB91	401
P11388	P38398	401
Q14683	P38398	401
Q9NTG7	Q9BX40	401
Q9UGP8	Q9Y4P3	401
P38398	Q13416	401
Q9H190	P05162	401
Q9BS91	O95271	401
Q16514	Q9UPT9	401
Q9Y2Q9	Q00839	402
P85037	Q12888	402
P11498	Q8NBA8	402
P85037	Q9BZK7	402
Q9UN70	Q12860	402
Q9NV06	O00410	402
P85037	O15084	402
Q9NQX5	Q9BW85	402
Q96HH9	Q9BTV4	402
Q9HCU9	P85037	402
Q8IW41	Q13541	402
Q9NV92	Q96J02	402
Q6I9Y2	Q8N9M1	402
Q6I9Y2	Q6ZUT6	402
Q9NZN8	O15027	402
O95782	O95630	402
Q96LI5	Q9UKV8	402
Q14498	P62269	402
P08631	P19174	402
P85037	O60268	402
Q9NQW6	O43707	402
O14964	A9UHW6	402
P34931	Q8WZ19	402
Q13188	F5GZY7	402
O95478	P82933	402
P08865	Q9NW07	402
O43167	P62917	402
Q9BRZ2	Q8N3C0	402
Q13573	Q9H307	402
Q8NB46	P85037	402
Q15154	Q6ZTW0	402
Q02878	O00567	402
P85037	Q5PSV4	402
O14863	Q9UFG5	402
Q13330	Q63HK5	402
Q8WYQ5	P78362	402
Q8WU39	Q9P2N7	402
P60709	P00533	402
P82675	Q96C28	402
Q9NZJ5	P85037	402
Q96EF6	O60551	402
Q9UHB6	O95425	402
P38159	Q96E29	402
Q15365	P57721	402
Q13263	Q9H0K1	402
Q96MC5	P61163	402
Q07002	Q00536	402
Q9NVR2	Q9BSK4	402
Q3MHD2	Q01804	402
Q9ULJ3	Q13643	402
O95478	Q96EY7	402
Q5TCZ1	P31946	402
Q96HH9	P40222	402
P11387	P62314	402
Q86V97	P60520	402
P20248	P19525	402
Q9Y6R4	O15264	402
F5GZY7	Q9UPU7	402
P02751	P07288	402
Q9H490	P04216	402
P59047	Q9NX02	402
P18583	Q16629	402
Q5TC82	P29558	402
O95166	O75323	402
Q8IY63	Q15561	402
Q14103	Q15365	402
Q14934	Q16539	402
Q03135	Q8N4V1	402
P19784	O14786	402
P09874	Q9Y6X9	402
Q9NPQ8	Q9UJW0	402
O95166	Q8TF40	402
Q6BDS2	P85037	402
Q8TCU4	Q5H9I0	402
O75147	P48448	402
P67809	Q8NC51	402
Q9H5K3	P27824	402
Q04864	P11021	402
Q8NEN9	Q5T2D2	402
P17040	P40121	402
Q8WZ74	P63167	402
Q8NC67	Q01113	402
Q96KM6	O94776	402
Q9NQW6	Q9P0K7	402
Q8IUE6	P17096	402
Q8IXJ6	Q13416	402
Q8WVZ9	O95166	402
Q63ZY3	P55345	402
Q9NZI8	Q8NC51	402
Q07020	O00567	402
O95395	Q13617	402
O95166	Q8TD19	402
P49917	Q96T60	402
P85037	P28749	402
P56537	Q9Y2X3	402
P45880	P04843	402
O75582	P15336	402
P85037	Q9H7L9	402
Q6UW10	Q8IUF1	402
Q9NUJ1	P85037	402
Q9NQP4	Q13164	402
Q6ZWI9	A5PL33	402
O00308	Q8N684	402
O95232	Q96JC9	402
Q92581	Q96T83	402
Q92871	Q2TAL8	402
P22455	P12034	402
Q9NQW6	Q86V48	402
Q8WV99	O75832	402
Q9BPY3	Q9GZU7	402
Q9NQW6	P28289	402
O43493	P62330	402
Q9NP66	O94776	402
Q13188	O95166	402
P85037	Q63ZY3	402
P85037	O75376	402
P03905	Q96LL9	402
Q5T4S7	P85037	402
Q13084	Q6XE24	402
Q9Y3P9	F5GZY7	402
P85037	Q4LE39	402
Q9Y383	Q8WXA9	402
P49841	Q14206	402
Q8NI35	Q8IY63	402
P15260	O60637	402
O60925	Q13164	402
P0C0S5	Q96KQ7	402
P25067	Q9NWM8	402
P41594	Q05513	402
P27824	Q15006	402
Q9NQ89	Q8NB37	402
Q8N556	Q9NQW6	402
Q7Z5L9	P15408	403
O60568	Q07092	403
O00308	Q5T6F2	403
P68032	Q92785	403
P01591	P43628	403
Q3KP66	O14907	403
Q9NWB7	O75506	403
O75110	Q7Z5B4	403
O75530	Q96JN0	403
P32969	Q92901	403
Q9UQE7	Q9UEE9	403
Q8NI35	Q8IX03	403
Q13303	P22459	403
P56537	P62701	403
Q6NT52	Q96F07	403
P16410	P51692	403
Q92569	P09619	403
Q9BXJ5	P20908	403
Q15050	Q12906	403
Q07960	Q6PJQ5	403
P62888	Q7L3S4	403
Q7Z6J8	O75344	403
P04626	P35070	403
Q9Y2R4	P50914	403
Q96AJ9	P46459	403
Q13555	P21333	403
Q8NFZ5	Q9UHD2	403
P49711	Q9UPW6	403
P13349	P41134	403
P30405	Q8IWZ8	403
Q8IWZ8	P11441	403
Q99747	P51809	403
P63167	Q6ZWK4	403
P53350	A1L170	403
P32189	Q14409	403
P41743	Q9Y5Q8	403
Q96EK2	Q86YI8	403
P09651	Q8IVS2	403
Q96LB3	P48307	403
P55072	O75477	403
Q92831	O15265	403
O43674	Q6UWR7	403
P43307	Q13557	403
Q9HC84	Q9BPX7	403
O15265	Q86TJ2	403
O43166	O75344	403
O15265	Q9HBM6	403
P55075	P21802	403
Q9NSN8	P46939	403
Q562F6	Q15172	403
Q14157	Q9Y224	403
Q86VR2	Q96D05	403
P25090	Q15041	403
Q9NX47	Q92667	403
P36542	P59542	403
Q5T5S1	Q49A88	403
Q9Y5U2	P14678	403
Q13601	Q9BXY0	403
O75947	P47900	403
Q6P1X5	P35249	403
O75953	Q5H9I0	403
Q8IW41	P45984	403
O75953	P34931	403
Q16740	O95299	403
P41743	O94887	403
P17252	P25445	403
Q9Y467	Q9Y2G2	403
P11142	P49257	403
Q8TCT7	P57103	403
P20930	P55851	403
D6RI10	Q5VSL9	403
Q14683	Q9UEE9	403
Q9NX20	P26373	403
P12034	P01133	403
Q96SA4	P27105	403
O14578	Q8IX03	403
P34903	Q9Y6A9	403
A7KAX9	P61758	403
Q9Y3A6	Q7Z7H5	403
P33992	O75533	403
P15509	P10721	403
P58658	O95476	403
Q96QD9	Q13769	403
Q9BTD8	Q96PU8	403
Q9Y3T9	O60832	403
P23443	Q15831	403
P61758	Q13164	404
O75398	P49840	404
Q8WVJ2	Q6P2Q9	404
O60907	Q01167	404
B9A064	P35219	404
P11908	P49643	404
Q14498	P60866	404
Q14839	Q96C55	404
Q9BWP8	Q6AZZ1	404
P26583	P62857	404
Q9NQW6	O95425	404
Q96F85	Q8N8Y5	404
P17987	P10398	404
Q9H9H4	Q96GM5	404
P00533	Q8IYI6	404
Q9C0C7	Q8TD19	404
P41250	P17980	404
Q14498	Q9Y3B4	404
O43896	P31946	404
Q6ZWI9	Q96DT7	404
Q01167	Q9Y618	404
Q9HC29	Q96RT1	404
Q9BVS5	Q15118	404
O75581	P49840	404
Q9NZN9	O76074	404
Q93062	P09234	404
Q9H4E7	Q9NXF7	404
Q15032	P31946	404
P27635	Q12873	404
P40227	Q9H492	404
Q9UPN7	O00221	404
Q3SYB3	Q96IT1	404
Q8IUF8	Q15527	404
Q96IY1	Q9UBG3	404
Q96RL7	O95292	404
P25445	Q8NFV4	404
P53350	P82094	404
Q14BN4	Q9UJ41	404
O75947	Q9Y6H1	404
P42696	Q71F23	404
P15173	Q96AJ1	404
O43159	Q9H9Y2	404
P14314	Q5JRX3	404
Q6NZI2	P00533	404
O75170	O00221	404
P38432	Q13895	404
P62081	P06748	404
Q9H4L4	P61964	404
Q01844	Q13114	404
Q16543	P52272	404
P68431	Q14566	404
P19387	O15160	404
Q9NR30	P78362	404
P21266	Q96KQ4	404
Q9Y2G8	P10321	404
O14777	Q15025	404
O94906	P35613	404
Q7L2J0	P27635	404
Q8IVT5	P31946	404
Q5T2D2	O60749	404
P49841	P67809	404
P49792	O43143	404
Q06587	P51668	404
O96018	Q9UHD2	404
Q8NB50	P62888	404
Q9NVM6	Q03431	404
Q9NX20	P62241	404
Q9UKB1	P57078	404
Q96EF6	P30419	404
Q96SI1	Q86UA1	404
P06493	Q16543	404
Q9UPQ9	A5YKK6	404
P27824	Q9UBS4	404
P20036	P21860	404
P31146	Q5JTD0	404
Q8IWL3	O95182	405
P01137	Q12841	405
P04264	P12830	405
P55055	P37231	405
O75380	Q8IWL3	405
P0DPH7	P30622	405
Q9UBD9	Q99523	405
P04155	O00481	405
P46527	Q15078	405
Q16864	P14866	405
Q14689	Q12841	405
Q8IWL3	Q16718	405
P46109	P08069	405
P01137	Q14689	405
P25054	Q14114	405
O75380	O75600	405
P30990	P39905	405
Q9NQ76	P78562	405
P20138	P41159	405
Q96NZ8	P12645	405
P46092	P60903	405
P80511	Q15109	405
Q13469	Q08209	405
Q8IWL3	Q9BU61	405
P25054	P04264	405
P01042	P07711	405
P28067	P04233	405
P32239	Q06124	405
Q9HAB8	Q96AT9	405
Q99523	O75462	405
Q9Y6Y9	P09429	405
P78504	P15529	405
P01137	P20908	405
Q71U36	O60260	405
Q76LX8	P00451	405
P20815	P00167	405
Q8TEU8	P12645	405
P01588	P52799	405
Q03181	Q13133	405
O43521	Q13323	405
P28300	P35555	405
P31371	P11362	405
P10767	P11362	405
P11226	Q07954	405
P06241	P04626	405
P19784	Q9H2G4	405
P23352	P35968	405
Q9H845	Q8IWL3	405
P12643	Q12841	405
Q9Y4D7	Q9H3S1	405
Q9NR30	Q9HCE1	405
P02545	Q71DI3	405
P10809	P12830	405
Q8WYJ6	Q9H672	405
P16885	Q9BZW8	405
P02462	O43405	405
P16410	Q9NZQ7	405
Q16795	Q96EY1	405
Q9NZI8	Q5TAX3	405
Q9Y467	Q9H8Y1	405
P06756	P05230	405
