protein1	protein2	score
9606.ENSP00000360577	9606.ENSP00000364883	501
9606.ENSP00000385725	9606.ENSP00000381984	501
9606.ENSP00000245620	9606.ENSP00000379651	501
9606.ENSP00000497641	9606.ENSP00000330349	501
9606.ENSP00000429834	9606.ENSP00000430024	501
9606.ENSP00000300026	9606.ENSP00000299767	501
9606.ENSP00000416706	9606.ENSP00000361883	501
9606.ENSP00000418232	9606.ENSP00000262741	501
9606.ENSP00000245620	9606.ENSP00000414635	501
9606.ENSP00000304283	9606.ENSP00000268182	501
9606.ENSP00000308236	9606.ENSP00000370936	501
9606.ENSP00000344724	9606.ENSP00000354842	501
9606.ENSP00000377218	9606.ENSP00000357981	501
9606.ENSP00000497406	9606.ENSP00000359549	501
9606.ENSP00000359557	9606.ENSP00000263925	501
9606.ENSP00000384273	9606.ENSP00000306245	501
9606.ENSP00000271373	9606.ENSP00000378368	501
9606.ENSP00000360689	9606.ENSP00000263433	501
9606.ENSP00000336894	9606.ENSP00000300131	501
9606.ENSP00000329715	9606.ENSP00000447001	501
9606.ENSP00000341843	9606.ENSP00000348099	501
9606.ENSP00000360035	9606.ENSP00000356489	501
9606.ENSP00000263925	9606.ENSP00000314543	501
9606.ENSP00000262506	9606.ENSP00000376767	501
9606.ENSP00000386226	9606.ENSP00000333920	501
9606.ENSP00000329715	9606.ENSP00000361076	501
9606.ENSP00000362107	9606.ENSP00000386892	501
9606.ENSP00000430684	9606.ENSP00000362994	501
9606.ENSP00000366998	9606.ENSP00000321021	501
9606.ENSP00000355192	9606.ENSP00000360689	501
9606.ENSP00000429344	9606.ENSP00000354294	501
9606.ENSP00000372924	9606.ENSP00000348461	501
9606.ENSP00000378856	9606.ENSP00000305988	501
9606.ENSP00000355396	9606.ENSP00000488838	501
9606.ENSP00000281938	9606.ENSP00000302476	501
9606.ENSP00000215909	9606.ENSP00000305988	501
9606.ENSP00000306920	9606.ENSP00000324741	501
9606.ENSP00000354859	9606.ENSP00000291295	501
9606.ENSP00000497406	9606.ENSP00000359546	501
9606.ENSP00000319831	9606.ENSP00000330148	501
9606.ENSP00000221978	9606.ENSP00000405453	501
9606.ENSP00000322396	9606.ENSP00000418082	502
9606.ENSP00000379836	9606.ENSP00000264649	502
9606.ENSP00000401371	9606.ENSP00000354649	502
9606.ENSP00000369681	9606.ENSP00000253108	502
9606.ENSP00000262450	9606.ENSP00000370800	502
9606.ENSP00000327467	9606.ENSP00000365162	502
9606.ENSP00000268383	9606.ENSP00000358495	502
9606.ENSP00000408598	9606.ENSP00000344609	502
9606.ENSP00000358022	9606.ENSP00000315011	502
9606.ENSP00000369681	9606.ENSP00000362688	502
9606.ENSP00000369681	9606.ENSP00000354125	502
9606.ENSP00000446007	9606.ENSP00000070846	502
9606.ENSP00000494957	9606.ENSP00000220514	502
9606.ENSP00000368648	9606.ENSP00000234160	502
9606.ENSP00000284382	9606.ENSP00000364782	502
9606.ENSP00000307292	9606.ENSP00000349541	502
9606.ENSP00000398824	9606.ENSP00000324422	502
9606.ENSP00000223129	9606.ENSP00000294119	502
9606.ENSP00000345629	9606.ENSP00000365048	502
9606.ENSP00000309555	9606.ENSP00000478887	502
9606.ENSP00000326649	9606.ENSP00000483562	502
9606.ENSP00000312385	9606.ENSP00000218436	502
9606.ENSP00000221452	9606.ENSP00000343701	502
9606.ENSP00000378702	9606.ENSP00000350266	502
9606.ENSP00000251412	9606.ENSP00000356785	502
9606.ENSP00000221452	9606.ENSP00000362728	502
9606.ENSP00000352295	9606.ENSP00000365312	502
9606.ENSP00000258484	9606.ENSP00000351490	502
9606.ENSP00000320821	9606.ENSP00000379287	502
9606.ENSP00000349723	9606.ENSP00000278823	502
9606.ENSP00000293872	9606.ENSP00000308546	502
9606.ENSP00000357304	9606.ENSP00000338030	502
9606.ENSP00000346437	9606.ENSP00000349785	502
9606.ENSP00000457411	9606.ENSP00000364398	502
9606.ENSP00000317376	9606.ENSP00000297071	502
9606.ENSP00000248975	9606.ENSP00000262948	502
9606.ENSP00000157812	9606.ENSP00000259335	502
9606.ENSP00000375892	9606.ENSP00000440485	502
9606.ENSP00000303482	9606.ENSP00000362863	502
9606.ENSP00000383402	9606.ENSP00000482335	502
9606.ENSP00000479953	9606.ENSP00000433102	502
9606.ENSP00000234831	9606.ENSP00000328133	502
9606.ENSP00000310110	9606.ENSP00000499786	502
9606.ENSP00000308750	9606.ENSP00000365042	502
9606.ENSP00000301764	9606.ENSP00000316496	502
9606.ENSP00000262177	9606.ENSP00000297185	502
9606.ENSP00000358089	9606.ENSP00000411613	502
9606.ENSP00000414920	9606.ENSP00000366474	502
9606.ENSP00000386458	9606.ENSP00000470185	502
9606.ENSP00000343701	9606.ENSP00000262982	502
9606.ENSP00000369611	9606.ENSP00000384084	502
9606.ENSP00000322396	9606.ENSP00000346037	502
9606.ENSP00000347451	9606.ENSP00000369328	502
9606.ENSP00000353246	9606.ENSP00000386226	502
9606.ENSP00000362441	9606.ENSP00000244537	502
9606.ENSP00000260102	9606.ENSP00000307863	502
9606.ENSP00000380252	9606.ENSP00000357256	502
9606.ENSP00000340330	9606.ENSP00000351490	502
9606.ENSP00000335153	9606.ENSP00000483825	502
9606.ENSP00000356416	9606.ENSP00000434359	502
9606.ENSP00000006526	9606.ENSP00000329200	502
9606.ENSP00000358089	9606.ENSP00000359804	502
9606.ENSP00000352069	9606.ENSP00000408005	502
9606.ENSP00000378856	9606.ENSP00000386710	502
9606.ENSP00000216190	9606.ENSP00000369681	502
9606.ENSP00000290158	9606.ENSP00000219169	502
9606.ENSP00000463334	9606.ENSP00000253108	502
9606.ENSP00000346088	9606.ENSP00000423276	502
9606.ENSP00000365959	9606.ENSP00000373669	502
9606.ENSP00000424198	9606.ENSP00000346667	502
9606.ENSP00000291842	9606.ENSP00000264414	502
9606.ENSP00000278823	9606.ENSP00000370800	502
9606.ENSP00000499786	9606.ENSP00000300433	502
9606.ENSP00000357087	9606.ENSP00000439128	502
9606.ENSP00000259526	9606.ENSP00000226574	503
9606.ENSP00000352798	9606.ENSP00000219070	503
9606.ENSP00000351856	9606.ENSP00000343535	503
9606.ENSP00000438949	9606.ENSP00000404232	503
9606.ENSP00000356030	9606.ENSP00000255409	503
9606.ENSP00000439800	9606.ENSP00000256429	503
9606.ENSP00000280377	9606.ENSP00000481021	503
9606.ENSP00000407586	9606.ENSP00000367123	503
9606.ENSP00000384160	9606.ENSP00000295899	503
9606.ENSP00000296930	9606.ENSP00000363018	503
9606.ENSP00000360525	9606.ENSP00000296215	503
9606.ENSP00000327801	9606.ENSP00000300289	503
9606.ENSP00000422907	9606.ENSP00000280362	503
9606.ENSP00000494965	9606.ENSP00000254799	503
9606.ENSP00000252037	9606.ENSP00000375821	503
9606.ENSP00000340883	9606.ENSP00000352069	503
9606.ENSP00000307636	9606.ENSP00000490942	503
9606.ENSP00000302625	9606.ENSP00000262320	503
9606.ENSP00000416158	9606.ENSP00000480853	503
9606.ENSP00000168216	9606.ENSP00000254799	503
9606.ENSP00000425961	9606.ENSP00000365883	503
9606.ENSP00000054666	9606.ENSP00000263864	503
9606.ENSP00000361892	9606.ENSP00000379366	503
9606.ENSP00000257192	9606.ENSP00000369129	503
9606.ENSP00000343690	9606.ENSP00000276569	503
9606.ENSP00000306080	9606.ENSP00000254799	503
9606.ENSP00000345837	9606.ENSP00000326519	503
9606.ENSP00000363817	9606.ENSP00000380159	503
9606.ENSP00000419494	9606.ENSP00000362592	503
9606.ENSP00000400646	9606.ENSP00000254799	503
9606.ENSP00000407586	9606.ENSP00000498587	503
9606.ENSP00000387286	9606.ENSP00000222008	503
9606.ENSP00000308717	9606.ENSP00000254799	503
9606.ENSP00000327070	9606.ENSP00000254799	503
9606.ENSP00000367872	9606.ENSP00000393333	503
9606.ENSP00000439800	9606.ENSP00000219905	503
9606.ENSP00000324729	9606.ENSP00000361027	503
9606.ENSP00000270708	9606.ENSP00000377814	503
9606.ENSP00000419494	9606.ENSP00000308750	503
9606.ENSP00000425587	9606.ENSP00000330959	503
9606.ENSP00000360162	9606.ENSP00000369424	503
9606.ENSP00000430432	9606.ENSP00000358862	503
9606.ENSP00000361930	9606.ENSP00000375711	503
9606.ENSP00000399751	9606.ENSP00000340373	503
9606.ENSP00000386226	9606.ENSP00000371858	503
9606.ENSP00000274289	9606.ENSP00000382379	503
9606.ENSP00000296145	9606.ENSP00000420875	503
9606.ENSP00000219479	9606.ENSP00000254799	503
9606.ENSP00000312356	9606.ENSP00000254799	503
9606.ENSP00000275493	9606.ENSP00000252934	503
9606.ENSP00000352021	9606.ENSP00000347648	503
9606.ENSP00000416951	9606.ENSP00000364639	503
9606.ENSP00000377690	9606.ENSP00000397073	503
9606.ENSP00000418944	9606.ENSP00000316357	503
9606.ENSP00000378856	9606.ENSP00000346112	504
9606.ENSP00000294119	9606.ENSP00000414095	504
9606.ENSP00000394085	9606.ENSP00000330188	504
9606.ENSP00000386895	9606.ENSP00000230321	504
9606.ENSP00000361667	9606.ENSP00000358784	504
9606.ENSP00000358635	9606.ENSP00000361949	504
9606.ENSP00000242351	9606.ENSP00000269844	504
9606.ENSP00000326128	9606.ENSP00000368856	504
9606.ENSP00000421544	9606.ENSP00000299299	504
9606.ENSP00000363746	9606.ENSP00000361010	504
9606.ENSP00000254101	9606.ENSP00000237642	504
9606.ENSP00000350815	9606.ENSP00000366030	504
9606.ENSP00000314029	9606.ENSP00000366934	504
9606.ENSP00000394085	9606.ENSP00000334538	504
9606.ENSP00000353203	9606.ENSP00000355631	504
9606.ENSP00000461388	9606.ENSP00000489597	504
9606.ENSP00000374455	9606.ENSP00000467024	504
9606.ENSP00000305133	9606.ENSP00000275493	504
9606.ENSP00000494831	9606.ENSP00000324122	504
