protein1	protein2	score
Q9Y4H2	Q9HBE4	711
P67870	P60709	711
P60568	P14784	711
P31751	P49841	711
P40259	Q8WV28	711
P05231	Q07889	711
P35222	Q9Y5I3	711
P35222	Q9HCS4	711
P63267	P16591	711
Q9UP38	P56703	711
Q9UN74	Q8NEV1	711
P12931	P55285	711
P25024	P05113	711
P60568	Q9H6Q3	711
Q9Y5H6	O60716	711
P13861	P10071	711
P60709	Q9Y5H9	711
P00533	P22223	711
P12931	P55286	711
Q9ULV1	O14905	711
P35568	P29353	711
Q9UQB3	Q9UN67	711
P63261	P55285	711
Q562R1	P55285	711
Q02750	P10398	711
Q8NEV1	Q9Y5E3	711
P42685	Q9Y5E2	711
Q14627	P25025	711
Q99665	P42336	711
Q9HCL0	P00533	711
P63267	Q9ULB4	711
P67870	Q8TDW7	711
Q14573	Q07889	711
P04626	Q9Y5E8	711
Q13261	P15248	711
Q07889	P29353	711
P60568	P42336	711
P13232	P25025	711
O00144	O00744	711
P68133	P55290	711
P00533	Q9Y5F1	711
Q562R1	Q14517	711
O00755	Q9ULW2	711
Q08334	P40933	711
Q9H6Q3	Q99665	711
Q9UP38	P56704	711
P26951	Q08334	711
Q9Y4H2	Q13261	711
O00329	P07948	711
P04626	P60709	711
P60568	Q9Y4H2	711
P35222	P55289	711
P35222	Q9Y5G3	711
Q07812	Q16611	711
Q04721	Q9BYC5	711
P68133	P35222	711
Q9Y5H6	Q15303	711
Q9NPF7	Q9HBE4	711
P16591	Q96JQ0	711
P63261	Q08174	711
P18031	P61160	711
P01111	Q8WV28	711
P12931	Q9Y5H5	711
P12931	Q9Y5F2	711
P63261	Q9Y5G5	711
P35568	P42701	711
Q9UBI6	P13945	711
P11912	P43405	711
P01112	P36507	711
Q9Y5I3	Q8NEV1	711
Q8NEV1	Q9Y5F7	711
P35568	Q99665	711
P17947	Q13164	711
Q9H158	Q15303	711
P00533	Q9Y5H5	711
P00533	Q9Y5F2	711
P68133	O60330	711
Q562R1	Q9Y5H3	711
P12830	Q8NEV1	711
P35222	Q9NPG1	711
P68133	Q9Y5H7	711
Q9Y5G8	Q9UQB3	711
Q93098	Q14332	711
Q9H461	Q9Y6F9	711
P01112	P04049	711
O95071	P10071	711
Q9HCL0	P60709	711
P67870	P19022	711
Q9Y5E6	Q8NEV1	711
P21860	Q96JQ0	711
P08887	P25025	711
Q15303	Q9ULB5	711
P63267	Q9BZA7	711
Q9Y297	Q9UMX1	711
Q9H6Q3	Q07889	711
P63267	Q9Y5E4	711
P15153	Q9Y2U5	711
P35222	P63267	711
P35222	Q08174	711
Q13651	P01583	711
Q13467	P56703	711
P27361	P01100	711
P12931	Q9Y5E7	711
P63261	Q9HCL0	711
P40189	P78552	711
Q9UHF4	P22301	711
P40259	Q06187	711
P62736	Q9Y5I4	711
P42685	Q8N6Y1	711
P19784	Q9UN72	711
Q8TDW7	P61160	711
Q8TAB3	O60716	711
P18031	Q9HBT6	711
P13232	Q9H6Q3	711
P78504	Q9NYJ7	711
Q15303	Q9Y6N8	711
P63261	Q9Y5E7	711
P05198	P42574	711
P60568	P29353	711
P42338	Q15628	711
Q14116	Q9H6Q3	711
P35222	Q9Y5H9	711
P08151	Q13635	711
Q99759	P45984	711
P35222	Q9Y5H6	711
P62736	Q9Y5E8	711
Q9Y5H8	P21860	711
P63000	Q99759	711
Q86UP0	P68133	711
Q9ULB5	P16591	711
Q14116	Q9NPF7	711
P68032	Q08174	711
P55286	Q9UQB3	711
P55291	P00533	711
P12931	Q9UN67	711
P78552	P42336	711
Q9H461	P41221	711
Q13546	P48736	711
P60709	O60245	711
P06241	Q9Y5I4	711
P19838	P25963	711
P24723	O14920	711
P60709	Q9Y5H5	711
P60709	Q9Y5F2	711
P00533	Q9Y6N8	711
Q9Y5G8	P42685	711
P62879	P51828	711
P12931	P55291	711
P51692	Q13164	711
P25025	Q13261	711
P06241	Q9Y5H2	711
P08887	P05113	711
P19022	P63267	711
P63261	Q9Y5H7	711
P68032	Q9Y5F8	711
P35568	Q01344	711
P08575	P07948	711
P62736	O75309	711
P35222	Q9HC56	711
Q07890	P42701	711
P19784	Q9UN71	711
P68032	Q9Y5E4	711
P06241	Q9Y5E8	711
P46734	Q99683	711
P62993	Q05655	711
P42338	O15530	711
O75084	O00755	711
P68133	Q9Y5F1	711
P00533	P55290	711
Q9Y5F6	P00533	711
P63267	Q8N6Y1	711
P08887	P10145	711
P13232	P25024	711
P18031	Q9Y5I4	711
P35225	P78552	711
P19438	Q06643	711
P05231	P52333	711
Q8NEV1	Q9Y5E2	711
P42685	Q9Y5E3	711
Q9NYQ6	P21860	711
Q9Y5G2	Q562R1	711
Q9NR61	Q04721	711
P31749	P42336	711
P60709	Q9UN71	711
Q9H158	Q9UQB3	711
Q12933	P17252	711
P19784	P55285	711
P25963	Q04864	711
P12931	Q9Y5I3	711
O60716	Q9UN72	711
P60568	Q08334	711
Q9Y5H4	Q9UQB3	711
P42685	Q9UJ99	711
O60716	O60330	711
P55286	P60709	711
Q9NPG4	P61160	711
Q9NYQ7	P60709	711
Q8NEV1	P22223	711
P35222	Q14332	711
P05231	P78552	711
Q9Y5F9	P00533	711
Q16611	O95831	711
Q9Y5G7	P16591	711
Q14627	P52333	711
O14654	P05019	711
P40189	P10145	711
P68133	Q9UN66	711
P12931	Q8N6Y1	711
Q9Y5H0	Q562R1	711
P68032	Q9Y5G2	711
P12931	Q9Y5F9	711
Q01344	P05113	711
P12931	P62736	711
P67870	Q9ULB4	711
Q9Y4H2	P20809	711
P62736	Q9P2E7	711
Q562R1	Q9Y5H2	711
O14904	Q13467	711
P63261	Q8NEV1	711
P62736	Q9Y5E9	711
P67870	Q14517	711
