protein1	protein2	score
9606.ENSP00000348573	9606.ENSP00000338796	601
9606.ENSP00000358994	9606.ENSP00000355865	601
9606.ENSP00000348632	9606.ENSP00000362994	601
9606.ENSP00000230321	9606.ENSP00000481675	601
9606.ENSP00000247668	9606.ENSP00000260187	601
9606.ENSP00000215057	9606.ENSP00000382015	601
9606.ENSP00000367900	9606.ENSP00000262506	601
9606.ENSP00000328327	9606.ENSP00000299163	601
9606.ENSP00000332247	9606.ENSP00000234396	601
9606.ENSP00000361927	9606.ENSP00000341826	601
9606.ENSP00000313050	9606.ENSP00000377245	601
9606.ENSP00000387286	9606.ENSP00000382341	601
9606.ENSP00000343223	9606.ENSP00000258648	601
9606.ENSP00000259808	9606.ENSP00000362994	601
9606.ENSP00000311825	9606.ENSP00000261438	601
9606.ENSP00000325919	9606.ENSP00000405388	601
9606.ENSP00000494538	9606.ENSP00000375730	601
9606.ENSP00000263025	9606.ENSP00000386135	601
9606.ENSP00000219548	9606.ENSP00000255631	601
9606.ENSP00000352676	9606.ENSP00000351619	601
9606.ENSP00000272638	9606.ENSP00000312615	601
9606.ENSP00000274140	9606.ENSP00000351157	601
9606.ENSP00000481570	9606.ENSP00000362994	601
9606.ENSP00000389103	9606.ENSP00000422626	601
9606.ENSP00000310861	9606.ENSP00000246646	601
9606.ENSP00000369592	9606.ENSP00000478927	601
9606.ENSP00000434024	9606.ENSP00000357315	601
9606.ENSP00000398610	9606.ENSP00000360540	601
9606.ENSP00000311430	9606.ENSP00000339145	601
9606.ENSP00000372155	9606.ENSP00000309474	601
9606.ENSP00000398495	9606.ENSP00000340019	601
9606.ENSP00000471299	9606.ENSP00000339109	601
9606.ENSP00000438483	9606.ENSP00000393963	601
9606.ENSP00000265565	9606.ENSP00000354476	601
9606.ENSP00000424896	9606.ENSP00000354947	601
9606.ENSP00000481733	9606.ENSP00000369666	601
9606.ENSP00000234310	9606.ENSP00000378207	601
9606.ENSP00000263847	9606.ENSP00000369860	601
9606.ENSP00000448696	9606.ENSP00000392395	601
9606.ENSP00000321711	9606.ENSP00000364801	601
9606.ENSP00000365682	9606.ENSP00000331791	601
9606.ENSP00000279146	9606.ENSP00000335153	601
9606.ENSP00000417610	9606.ENSP00000364008	601
9606.ENSP00000442053	9606.ENSP00000352021	601
9606.ENSP00000306397	9606.ENSP00000285093	601
9606.ENSP00000355865	9606.ENSP00000363041	601
9606.ENSP00000307078	9606.ENSP00000248975	601
9606.ENSP00000336931	9606.ENSP00000478754	601
9606.ENSP00000342262	9606.ENSP00000394791	601
9606.ENSP00000423541	9606.ENSP00000263202	601
9606.ENSP00000341198	9606.ENSP00000337014	601
9606.ENSP00000427684	9606.ENSP00000411506	601
9606.ENSP00000242719	9606.ENSP00000363019	601
9606.ENSP00000263339	9606.ENSP00000330959	601
9606.ENSP00000005340	9606.ENSP00000328720	601
9606.ENSP00000377043	9606.ENSP00000343690	601
9606.ENSP00000433623	9606.ENSP00000335076	601
9606.ENSP00000357323	9606.ENSP00000320188	601
9606.ENSP00000222005	9606.ENSP00000435412	601
9606.ENSP00000359910	9606.ENSP00000355865	601
9606.ENSP00000264712	9606.ENSP00000354848	601
9606.ENSP00000296257	9606.ENSP00000342262	601
9606.ENSP00000354111	9606.ENSP00000359793	601
9606.ENSP00000362153	9606.ENSP00000352021	601
9606.ENSP00000426654	9606.ENSP00000263181	601
9606.ENSP00000264110	9606.ENSP00000382805	601
9606.ENSP00000379156	9606.ENSP00000263246	601
9606.ENSP00000263092	9606.ENSP00000308546	601
9606.ENSP00000218348	9606.ENSP00000238628	601
9606.ENSP00000363787	9606.ENSP00000217244	601
9606.ENSP00000360034	9606.ENSP00000484056	601
9606.ENSP00000274764	9606.ENSP00000279873	601
9606.ENSP00000156109	9606.ENSP00000326031	601
9606.ENSP00000358737	9606.ENSP00000236137	601
9606.ENSP00000324287	9606.ENSP00000346733	601
9606.ENSP00000480853	9606.ENSP00000318016	601
9606.ENSP00000437968	9606.ENSP00000287152	601
9606.ENSP00000495360	9606.ENSP00000252699	601
9606.ENSP00000363642	9606.ENSP00000322396	601
9606.ENSP00000387471	9606.ENSP00000274695	601
9606.ENSP00000416951	9606.ENSP00000416959	601
9606.ENSP00000269305	9606.ENSP00000498999	601
9606.ENSP00000346120	9606.ENSP00000322396	601
9606.ENSP00000371308	9606.ENSP00000287482	601
9606.ENSP00000237530	9606.ENSP00000246117	601
9606.ENSP00000295171	9606.ENSP00000261303	601
9606.ENSP00000266735	9606.ENSP00000434359	601
9606.ENSP00000290341	9606.ENSP00000356669	601
9606.ENSP00000311083	9606.ENSP00000373964	601
9606.ENSP00000439856	9606.ENSP00000303015	601
9606.ENSP00000323795	9606.ENSP00000321546	601
9606.ENSP00000227524	9606.ENSP00000248553	601
9606.ENSP00000361725	9606.ENSP00000378324	601
9606.ENSP00000265069	9606.ENSP00000341826	601
