protein1	protein2	score
Q02790	O95433	607
Q96RS6	P84085	619
Q02790	P08238	623
P84085	O75154	625
Q02790	P04150	629
Q8NEV1	P63261	711
P00533	Q9H158	711
Q9UK32	Q16659	711
P25024	P05113	711
P28482	Q02750	711
P11717	Q9Y4H2	711
Q14790	O95429	711
Q16659	P17947	711
Q16659	P51812	711
P55287	Q9UQB3	711
P01374	Q99558	711
O14733	P45984	711
P55291	P21860	711
Q12933	P48736	711
P63267	Q9HCL0	711
P00533	O60245	711
P27361	P51692	711
P68032	Q9UN73	711
P62736	Q9Y5G3	711
P04626	P55287	711
Q15628	P17252	711
Q16659	P52630	711
P26951	P42338	711
P60568	P42338	711
P27361	Q02750	711
Q9BYE9	P12931	711
Q9BYE9	P61160	711
P04628	O75084	711
P10071	Q9NRP7	711
P55286	P00533	711
Q9Y5H3	P42685	711
Q9Y5I4	P35222	711
P56705	O00144	711
Q562R1	Q9BYE9	711
P19784	Q9Y5H5	711
P99999	Q07812	711
P25024	P05112	711
P42701	Q01344	711
P55291	O60716	711
P63261	O95206	711
O75309	P12931	711
Q9UN67	P06241	711
Q9Y5E8	P62736	711
Q9Y5E5	P60709	711
O00144	P56704	711
P28482	P18848	711
P00533	Q9Y5F3	711
Q9H1J7	Q13467	711
Q9UER7	Q99683	711
P35222	Q9UN72	711
P35222	P19022	711
Q99665	P24394	711
P61160	Q9Y5G2	711
Q9Y5E9	O60716	711
P68032	Q9Y5G7	711
P68032	Q9UN75	711
P68032	P18031	711
P42685	Q9UN71	711
Q8TDW7	Q9UQB3	711
Q08174	Q15303	711
P42338	P31751	711
P68032	Q9Y5E3	711
Q08174	P06241	711
P24723	P78560	711
P60568	P01589	711
Q07889	P08887	711
P35222	Q8N6Y1	711
Q9Y5I1	P62736	711
P63267	Q9Y5H0	711
P04626	Q9Y5E3	711
P42685	P12830	711
Q9ULV1	P04628	711
Q02156	Q13546	711
Q9Y5F9	P16591	711
P04626	O75309	711
P21860	P22223	711
P16591	Q9UN71	711
P48023	Q13158	711
Q562R1	Q9Y5G3	711
P04626	Q9Y5H0	711
Q9P2E7	P63261	711
P10145	Q9NPF7	711
Q8WXG6	Q06643	711
P68032	Q9Y5E7	711
Q15303	Q9UN67	711
Q9Y5I4	P42685	711
Q9UN70	P04626	711
Q9Y5I1	P12931	711
P05412	P28482	711
P61160	Q9Y5I2	711
P60709	Q9UN71	711
Q8TDW7	P67870	711
P42685	Q9Y5H5	711
Q07889	P22301	711
P63267	Q9Y5G2	711
Q8NEV1	P55290	711
Q9Y5H1	P42685	711
O75309	P35222	711
P63261	Q9Y5F0	711
Q9UJ99	P42685	711
Q9Y5F8	P42685	711
P01583	P42336	711
P10071	P49841	711
Q13546	P19438	711
Q13467	O00755	711
P42226	Q8TD08	711
Q9Y5I3	Q9UQB3	711
Q9HC56	P68133	711
