protein1	protein2	score
Q02790	Q92990	836
Q02790	P07900	857
Q02790	P42345	900
P20645	Q9NZ52	960
Q8NEV1	P63261	878
P00533	Q9H158	878
P28482	Q02750	878
P25024	P05113	878
Q9UK32	Q16659	878
P11717	Q9Y4H2	878
Q14790	O95429	878
Q16659	P17947	878
Q16659	P51812	878
P55287	Q9UQB3	878
P01374	Q99558	878
O14733	P45984	878
P55291	P21860	878
Q12933	P48736	878
P63267	Q9HCL0	878
P00533	O60245	878
P27361	P51692	878
P68032	Q9UN73	878
P62736	Q9Y5G3	878
P04626	P55287	878
Q15628	P17252	878
Q16659	P52630	878
P26951	P42338	878
P60568	P42338	878
P27361	Q02750	878
Q9BYE9	P12931	878
Q9BYE9	P61160	878
P04628	O75084	878
P10071	Q9NRP7	878
P55286	P00533	878
Q9Y5H3	P42685	878
Q9Y5I4	P35222	878
P56705	O00144	878
Q562R1	Q9BYE9	878
P19784	Q9Y5H5	878
P99999	Q07812	878
P25024	P05112	878
P42701	Q01344	878
P55291	O60716	878
P63261	O95206	878
O75309	P12931	878
Q9UN67	P06241	878
Q9Y5E8	P62736	878
Q9Y5E5	P60709	878
O00144	P56704	878
P28482	P18848	878
P00533	Q9Y5F3	878
Q9H1J7	Q13467	878
Q9UER7	Q99683	878
P35222	Q9UN72	878
P35222	P19022	878
Q99665	P24394	878
P61160	Q9Y5G2	878
Q9Y5E9	O60716	878
P68032	Q9Y5G7	878
P68032	Q9UN75	878
P68032	P18031	878
P42685	Q9UN71	878
Q8TDW7	Q9UQB3	878
Q08174	Q15303	878
P42338	P31751	878
P68032	Q9Y5E3	878
Q08174	P06241	878
P24723	P78560	878
P60568	P01589	878
Q07889	P08887	878
P35222	Q8N6Y1	878
Q9Y5I1	P62736	878
P63267	Q9Y5H0	878
P04626	Q9Y5E3	878
P42685	P12830	878
Q9ULV1	P04628	878
Q02156	Q13546	878
Q9Y5F9	P16591	878
P04626	O75309	878
P21860	P22223	878
P16591	Q9UN71	878
P48023	Q13158	878
Q562R1	Q9Y5G3	878
P04626	Q9Y5H0	878
Q9P2E7	P63261	878
P10145	Q9NPF7	878
Q8WXG6	Q06643	878
P68032	Q9Y5E7	878
Q15303	Q9UN67	878
Q9Y5I4	P42685	878
Q9UN70	P04626	878
Q9Y5I1	P12931	878
P05412	P28482	878
P61160	Q9Y5I2	878
P60709	Q9UN71	878
Q8TDW7	P67870	878
P42685	Q9Y5H5	878
Q07889	P22301	878
P63267	Q9Y5G2	878
Q8NEV1	P55290	878
Q9Y5H1	P42685	878
O75309	P35222	878
P63261	Q9Y5F0	878
Q9UJ99	P42685	878
Q9Y5F8	P42685	878
P01583	P42336	878
P10071	P49841	878
Q13546	P19438	878
Q13467	O00755	878
P42226	Q8TD08	878
Q9Y5I3	Q9UQB3	878
Q9HC56	P68133	878
O60716	Q9HBT6	878
Q9BZA7	P63261	878
P27361	P05412	878
P35222	Q9Y5I2	878
Q562R1	Q9HC56	878
