protein1	protein2
9606.ENSP00000262866	9606.ENSP00000226730
9606.ENSP00000473553	9606.ENSP00000355645
9606.ENSP00000428924	9606.ENSP00000419260
9606.ENSP00000450565	9606.ENSP00000304915
9606.ENSP00000450565	9606.ENSP00000216223
9606.ENSP00000360242	9606.ENSP00000330237
9606.ENSP00000495360	9606.ENSP00000435300
9606.ENSP00000386857	9606.ENSP00000406229
9606.ENSP00000314976	9606.ENSP00000263339
9606.ENSP00000359675	9606.ENSP00000343782
9606.ENSP00000384849	9606.ENSP00000500582
9606.ENSP00000382004	9606.ENSP00000477314
9606.ENSP00000370698	9606.ENSP00000263967
9606.ENSP00000345491	9606.ENSP00000342235
9606.ENSP00000382004	9606.ENSP00000441802
9606.ENSP00000365016	9606.ENSP00000319635
9606.ENSP00000476145	9606.ENSP00000428288
9606.ENSP00000365230	9606.ENSP00000307786
9606.ENSP00000477314	9606.ENSP00000262506
9606.ENSP00000253807	9606.ENSP00000495360
9606.ENSP00000290378	9606.ENSP00000231134
9606.ENSP00000281092	9606.ENSP00000406229
9606.ENSP00000495360	9606.ENSP00000268603
9606.ENSP00000367220	9606.ENSP00000381594
9606.ENSP00000355645	9606.ENSP00000224721
9606.ENSP00000355645	9606.ENSP00000262738
9606.ENSP00000301061	9606.ENSP00000286201
9606.ENSP00000360683	9606.ENSP00000436042
9606.ENSP00000416706	9606.ENSP00000231130
9606.ENSP00000497915	9606.ENSP00000319635
9606.ENSP00000304915	9606.ENSP00000357470
9606.ENSP00000262150	9606.ENSP00000476145
9606.ENSP00000362680	9606.ENSP00000434655
9606.ENSP00000231173	9606.ENSP00000275493
9606.ENSP00000290378	9606.ENSP00000268613
9606.ENSP00000287934	9606.ENSP00000225512
9606.ENSP00000346671	9606.ENSP00000436426
9606.ENSP00000351605	9606.ENSP00000340677
9606.ENSP00000263025	9606.ENSP00000366182
9606.ENSP00000307134	9606.ENSP00000381611
9606.ENSP00000431083	9606.ENSP00000362680
9606.ENSP00000367220	9606.ENSP00000477314
9606.ENSP00000280357	9606.ENSP00000360730
9606.ENSP00000421710	9606.ENSP00000501053
9606.ENSP00000215832	9606.ENSP00000265372
9606.ENSP00000429018	9606.ENSP00000495360
9606.ENSP00000450565	9606.ENSP00000231449
9606.ENSP00000296545	9606.ENSP00000501150
9606.ENSP00000231134	9606.ENSP00000355645
9606.ENSP00000497915	9606.ENSP00000327890
9606.ENSP00000281092	9606.ENSP00000429273
9606.ENSP00000346671	9606.ENSP00000378077
9606.ENSP00000345785	9606.ENSP00000285018
9606.ENSP00000407586	9606.ENSP00000376345
9606.ENSP00000239444	9606.ENSP00000269571
9606.ENSP00000403495	9606.ENSP00000351908
9606.ENSP00000462701	9606.ENSP00000224784
9606.ENSP00000458162	9606.ENSP00000362186
9606.ENSP00000226730	9606.ENSP00000360730
9606.ENSP00000239449	9606.ENSP00000355645
9606.ENSP00000164024	9606.ENSP00000476145
9606.ENSP00000364163	9606.ENSP00000474725
9606.ENSP00000295683	9606.ENSP00000304895
9606.ENSP00000365016	9606.ENSP00000262345
9606.ENSP00000307134	9606.ENSP00000231130
9606.ENSP00000495360	9606.ENSP00000312070
9606.ENSP00000365042	9606.ENSP00000194152
9606.ENSP00000262717	9606.ENSP00000476145
NA	9606.ENSP00000275493
9606.ENSP00000252085	9606.ENSP00000224784
9606.ENSP00000362680	9606.ENSP00000239446
9606.ENSP00000323901	9606.ENSP00000380379
9606.ENSP00000346671	9606.ENSP00000494750
9606.ENSP00000216223	9606.ENSP00000226730
9606.ENSP00000290378	9606.ENSP00000381058
9606.ENSP00000382004	9606.ENSP00000380517
9606.ENSP00000267101	9606.ENSP00000253807
9606.ENSP00000261769	9606.ENSP00000365042
9606.ENSP00000458162	9606.ENSP00000365042
9606.ENSP00000307134	9606.ENSP00000253807
9606.ENSP00000436426	9606.ENSP00000476145
9606.ENSP00000222462	9606.ENSP00000495360
9606.ENSP00000360683	9606.ENSP00000287008
9606.ENSP00000239444	9606.ENSP00000262506
9606.ENSP00000412237	9606.ENSP00000228534
9606.ENSP00000403495	9606.ENSP00000259808
9606.ENSP00000290378	9606.ENSP00000381589
9606.ENSP00000306245	9606.ENSP00000394560
9606.ENSP00000406229	9606.ENSP00000355645
9606.ENSP00000027335	9606.ENSP00000367220
9606.ENSP00000386857	9606.ENSP00000239450
9606.ENSP00000401303	9606.ENSP00000327890
9606.ENSP00000281092	9606.ENSP00000224721
9606.ENSP00000231454	9606.ENSP00000263967
9606.ENSP00000290378	9606.ENSP00000164024
9606.ENSP00000345785	9606.ENSP00000264634
9606.ENSP00000275493	9606.ENSP00000477314
9606.ENSP00000306512	9606.ENSP00000412209
9606.ENSP00000410481	9606.ENSP00000341268
9606.ENSP00000271332	9606.ENSP00000224784
9606.ENSP00000381058	9606.ENSP00000355645
9606.ENSP00000275493	9606.ENSP00000441802
9606.ENSP00000424565	9606.ENSP00000269571
9606.ENSP00000362680	9606.ENSP00000436042
9606.ENSP00000231173	9606.ENSP00000367220
9606.ENSP00000355082	9606.ENSP00000476145
9606.ENSP00000429018	9606.ENSP00000367220
9606.ENSP00000348461	9606.ENSP00000224337
9606.ENSP00000360683	9606.ENSP00000253812
9606.ENSP00000450565	9606.ENSP00000412237
9606.ENSP00000367220	9606.ENSP00000264360
9606.ENSP00000386857	9606.ENSP00000307234
9606.ENSP00000355645	9606.ENSP00000429273
9606.ENSP00000367220	9606.ENSP00000436557
9606.ENSP00000307134	9606.ENSP00000271332
9606.ENSP00000226730	9606.ENSP00000227752
