protein1	protein2	score
Q02790	O00443	100
Q02790	O60341	102
P20648	P20645	103
Q96F15	P20645	109
P20645	P21964	115
P04843	P84085	120
Q02790	Q15468	126
P63000	P84085	126
Q02790	P51617	127
P55072	Q02790	127
Q02790	P53671	127
Q02790	P10398	127
P84085	Q71U36	128
Q02790	Q9BXA7	128
Q02790	Q86UX6	128
P57078	Q02790	128
O43318	Q02790	128
Q8TD08	Q02790	128
Q96PF2	Q02790	128
Q9NR20	Q02790	128
Q02790	P22612	128
Q02790	Q15746	128
Q13418	Q02790	128
O14576	Q02790	129
Q02790	P61163	129
Q02790	Q8IVD9	129
P07437	Q02790	130
Q02790	P05412	131
Q02790	Q92667	133
Q02790	P68366	135
Q3ZAQ7	P84085	137
Q96GX1	P84085	138
Q02156	Q02790	140
Q02790	Q6P2Q9	140
Q13409	Q02790	142
Q9NS69	P20645	143
Q02790	Q13137	143
Q02790	P33991	148
O75078	P84085	150
Q96KC2	P84085	150
P20645	O43169	161
P35222	Q02790	161
Q02790	Q10713	161
O95881	Q02790	161
Q9H0M0	P84085	162
P55290	P84085	162
P20645	P57105	162
P84085	P51452	162
Q02790	P49841	162
P62993	Q02790	162
Q99459	P84085	163
P0DN37	P84085	163
Q02790	A0A1W2PQS6	163
Q02790	Q9UK45	163
Q02790	Q9UBE0	164
P84085	Q9BY78	164
P20645	Q9H5K3	164
Q96CS3	P84085	164
P84085	Q9H3S3	165
Q02790	Q13952	165
P53004	P84085	165
Q96KN2	P84085	165
Q8TCT1	Q02790	166
Q02790	Q86UY6	166
Q01844	Q02790	166
Q99608	Q02790	166
Q02790	O00182	166
P84085	O95994	166
Q9Y2Z0	Q02790	166
Q16740	P84085	166
Q02790	O60260	166
P41002	Q02790	166
Q02790	O95994	166
Q02790	Q16543	166
Q15165	P20645	167
Q8N9I9	P84085	168
Q8WXA2	P20645	174
P20645	Q8N3H0	174
Q9NR46	Q02790	175
Q96EP5	P84085	176
Q8WVK2	P84085	176
P84085	P00338	179
Q02790	O60346	183
Q02790	Q9NX05	188
Q02790	Q9Y572	188
P04626	P84085	188
Q02790	P54619	189
P27824	P20645	190
P84085	P02545	190
P20645	P17987	191
P78380	P20645	191
P98164	P20645	191
O15400	P20645	193
P00533	Q02790	193
P09923	P84085	193
Q15831	Q02790	194
O14579	P84085	195
Q02790	O14920	195
P53621	P84085	196
P35606	P84085	197
Q02790	Q86Y82	197
Q7Z5A9	P20645	198
Q86UP2	P20645	198
P35414	P84085	198
P56559	P84085	199
Q02790	Q9BVG9	201
P36405	P20645	204
P84085	P51649	205
Q02878	P20645	205
P61513	P20645	205
P20645	Q9HC77	208
P84085	P07864	208
P84085	Q9Y5M8	209
Q9BYZ2	P84085	210
Q9Y617	P84085	210
Q15067	P20645	213
O95168	P20645	214
P61020	P84085	214
O43237	Q02790	214
P84085	Q9NU53	214
Q96EU6	P84085	217
Q96IR7	P20645	218
Q6ZMR3	P84085	219
Q02790	P06753	220
Q02790	P25205	220
O60502	Q02790	220
Q15366	P84085	220
P67870	P12830	221
Q8TDW7	P00533	221
Q9Y5F7	P16591	221
P55283	P35222	221
Q9UBC1	O14920	221
Q562R1	Q9Y5E3	221
P12931	Q9UN74	221
P63261	Q9Y5E3	221
P68133	P19784	221
Q13546	P01375	221
P62736	O60245	221
Q07889	Q01344	221
P55290	Q9UQB3	221
P63261	P55289	221
Q9Y5F0	O60716	221
Q08334	Q9NPF7	221
P04626	Q9Y5E3	221
Q9UM47	Q86X95	221
P25024	P42336	221
Q562R1	P22223	221
Q13546	Q12851	221
Q8TD08	Q15418	221
P09544	Q9H461	221
Q9H6Q3	Q08334	221
P16591	Q9BYE9	221
Q15303	Q9ULB4	221
Q16659	P42229	221
P51828	O14775	221
Q9H251	P16591	221
Q02156	Q13546	221
Q9UHF4	P05112	221
P18031	Q9Y5G2	221
Q9UN74	P04626	221
Q9Y618	Q04721	221
Q9Y5G7	O60716	221
P19784	Q96JP9	221
Q9HCU4	Q8NEV1	221
P26951	Q07890	221
P63261	Q9Y5F8	221
P00533	Q9HC56	221
Q9Y5G6	P16591	221
Q9Y5H0	P00533	221
P31751	P46527	221
P13232	P42336	221
Q9UN70	P42685	221
Q86UP0	P42685	221
P49674	Q9UMX1	221
P60568	P25025	221
P35225	P42338	221
Q8TAB3	Q562R1	221
Q9Y5H4	P60709	221
Q99466	Q06330	221
P01374	P19438	221
P04626	Q9Y5E5	221
Q15628	Q04759	221
Q9Y5E8	Q9UQB3	221
P04626	P12830	221
Q13651	P05231	221
Q9UP38	P56706	221
Q9BZA7	P21860	221
P13232	Q9Y4H2	221
Q9ULB4	P16591	221
Q14116	Q08334	221
P19022	Q9UQB3	221
Q8TAB3	P63267	221
P12931	O95206	221
P18031	Q9Y5E9	221
P01112	Q8WV28	221
Q9UN74	P60709	221
Q13489	P42574	221
P18031	Q9HCL0	221
Q14116	P42701	221
P06241	Q9Y5H1	221
Q9Y5F9	Q9UQB3	221
Q9H159	P61160	221
Q9Y5G8	P19784	221
Q9UN70	P00533	221
P01374	Q13546	221
P11717	P20718	221
Q15303	Q9Y5E2	221
Q9H461	O00744	221
Q16659	P42226	221
P35222	Q9UJU2	221
Q9UN73	Q15303	221
P22301	P29353	221
Q9UHF4	Q9Y4H2	221
Q9Y5E3	O60716	221
P25024	P40933	221
Q9UN74	P35222	221
P35222	Q9ULB5	221
P42685	O60330	221
