protein1	protein2	score
P53365	P84085	510
Q00613	Q02790	510
P20645	O60664	510
Q9BS26	P84085	531
Q02790	O95433	607
Q96RS6	P84085	619
Q02790	P08238	623
P67870	P12830	625
Q8TDW7	P00533	625
Q9Y5F7	P16591	625
P55283	P35222	625
Q9UBC1	O14920	625
Q562R1	Q9Y5E3	625
P12931	Q9UN74	625
P63261	Q9Y5E3	625
P68133	P19784	625
Q13546	P01375	625
P62736	O60245	625
Q07889	Q01344	625
P55290	Q9UQB3	625
P63261	P55289	625
Q9Y5F0	O60716	625
Q08334	Q9NPF7	625
P04626	Q9Y5E3	625
Q9UM47	Q86X95	625
P25024	P42336	625
Q562R1	P22223	625
Q13546	Q12851	625
Q8TD08	Q15418	625
P09544	Q9H461	625
Q9H6Q3	Q08334	625
P16591	Q9BYE9	625
Q15303	Q9ULB4	625
Q16659	P42229	625
P51828	O14775	625
Q9H251	P16591	625
Q02156	Q13546	625
Q9UHF4	P05112	625
P18031	Q9Y5G2	625
Q9UN74	P04626	625
Q9Y618	Q04721	625
Q9Y5G7	O60716	625
P19784	Q96JP9	625
Q9HCU4	Q8NEV1	625
P26951	Q07890	625
P63261	Q9Y5F8	625
P00533	Q9HC56	625
Q9Y5G6	P16591	625
Q9Y5H0	P00533	625
P31751	P46527	625
P13232	P42336	625
Q9UN70	P42685	625
Q86UP0	P42685	625
P49674	Q9UMX1	625
P60568	P25025	625
P35225	P42338	625
Q8TAB3	Q562R1	625
Q9Y5H4	P60709	625
Q99466	Q06330	625
P01374	P19438	625
P04626	Q9Y5E5	625
Q15628	Q04759	625
Q9Y5E8	Q9UQB3	625
P04626	P12830	625
Q13651	P05231	625
Q9UP38	P56706	625
Q9BZA7	P21860	625
P13232	Q9Y4H2	625
Q9ULB4	P16591	625
Q14116	Q08334	625
P19022	Q9UQB3	625
Q8TAB3	P63267	625
P12931	O95206	625
P18031	Q9Y5E9	625
P01112	Q8WV28	625
Q9UN74	P60709	625
Q13489	P42574	625
P18031	Q9HCL0	625
Q14116	P42701	625
P06241	Q9Y5H1	625
Q9Y5F9	Q9UQB3	625
Q9H159	P61160	625
Q9Y5G8	P19784	625
Q9UN70	P00533	625
P01374	Q13546	625
P11717	P20718	625
Q15303	Q9Y5E2	625
Q9H461	O00744	625
Q16659	P42226	625
P35222	Q9UJU2	625
Q9UN73	Q15303	625
P22301	P29353	625
Q9UHF4	Q9Y4H2	625
Q9Y5E3	O60716	625
P25024	P40933	625
Q9UN74	P35222	625
P35222	Q9ULB5	625
P42685	O60330	625
P68032	Q9UJ99	625
P63261	Q9Y5H1	625
P68032	Q8NEV1	625
Q9Y4H2	P01583	625
P62736	Q9Y5H9	625
P42685	Q9UN72	625
P19784	Q8N6Y1	625
Q9Y5F6	P04626	625
P21860	Q9UN72	625
P35222	Q15303	625
Q9Y5G7	P19784	625
P46531	Q06330	625
Q9Y4H2	Q9HBE4	625
P67870	P60709	625
P60568	P14784	625
P31751	P49841	625
P40259	Q8WV28	625
P05231	Q07889	625
P35222	Q9Y5I3	625
P35222	Q9HCS4	625
P63267	P16591	625
Q9UP38	P56703	625
Q9UN74	Q8NEV1	625
P12931	P55285	625
P25024	P05113	625
P60568	Q9H6Q3	625
Q9Y5H6	O60716	625
P13861	P10071	625
P60709	Q9Y5H9	625
P00533	P22223	625
P12931	P55286	625
Q9ULV1	O14905	625
P35568	P29353	625
Q9UQB3	Q9UN67	625
P63261	P55285	625
Q562R1	P55285	625
Q02750	P10398	625
Q8NEV1	Q9Y5E3	625
P42685	Q9Y5E2	625
Q14627	P25025	625
Q99665	P42336	625
Q9HCL0	P00533	625
P63267	Q9ULB4	625
P67870	Q8TDW7	625
Q14573	Q07889	625
P04626	Q9Y5E8	625
Q13261	P15248	625
Q07889	P29353	625
P60568	P42336	625
P13232	P25025	625
O00144	O00744	625
P68133	P55290	625
P00533	Q9Y5F1	625
Q562R1	Q14517	625
O00755	Q9ULW2	625
Q08334	P40933	625
Q9H6Q3	Q99665	625
Q9UP38	P56704	625
P26951	Q08334	625
Q9Y4H2	Q13261	625
O00329	P07948	625
P04626	P60709	625
P60568	Q9Y4H2	625
P35222	P55289	625
P35222	Q9Y5G3	625
Q07812	Q16611	625
Q04721	Q9BYC5	625
P68133	P35222	625
Q9Y5H6	Q15303	625
Q9NPF7	Q9HBE4	625
P16591	Q96JQ0	625
P63261	Q08174	625
P18031	P61160	625
P01111	Q8WV28	625
P12931	Q9Y5H5	625
P12931	Q9Y5F2	625
P63261	Q9Y5G5	625
P35568	P42701	625
Q9UBI6	P13945	625
P11912	P43405	625
P01112	P36507	625
Q9Y5I3	Q8NEV1	625
Q8NEV1	Q9Y5F7	625
P35568	Q99665	625
P17947	Q13164	625
Q9H158	Q15303	625
P00533	Q9Y5H5	625
P00533	Q9Y5F2	625
P68133	O60330	625
Q562R1	Q9Y5H3	625
P12830	Q8NEV1	625
P35222	Q9NPG1	625
P68133	Q9Y5H7	625
Q9Y5G8	Q9UQB3	625
Q93098	Q14332	625
Q9H461	Q9Y6F9	625
P01112	P04049	625
O95071	P10071	625
Q9HCL0	P60709	625
P67870	P19022	625
Q9Y5E6	Q8NEV1	625
P21860	Q96JQ0	625
P08887	P25025	625
Q15303	Q9ULB5	625
P63267	Q9BZA7	625
Q9Y297	Q9UMX1	625
Q9H6Q3	Q07889	625
P63267	Q9Y5E4	625
P15153	Q9Y2U5	625
P35222	P63267	625
P35222	Q08174	625
Q13651	P01583	625
Q13467	P56703	625
P27361	P01100	625
P12931	Q9Y5E7	625
P63261	Q9HCL0	625
P40189	P78552	625
Q9UHF4	P22301	625
P40259	Q06187	625
P62736	Q9Y5I4	625
P42685	Q8N6Y1	625
P19784	Q9UN72	625
Q8TDW7	P61160	625
Q8TAB3	O60716	625
P18031	Q9HBT6	625
P13232	Q9H6Q3	625
P78504	Q9NYJ7	625
Q15303	Q9Y6N8	625
P63261	Q9Y5E7	625
P05198	P42574	625
P60568	P29353	625
P42338	Q15628	625
Q14116	Q9H6Q3	625
P35222	Q9Y5H9	625
P08151	Q13635	625
Q99759	P45984	625
P35222	Q9Y5H6	625
P62736	Q9Y5E8	625
Q9Y5H8	P21860	625
P63000	Q99759	625
Q86UP0	P68133	625
Q9ULB5	P16591	625
Q14116	Q9NPF7	625
P68032	Q08174	625
P55286	Q9UQB3	625
P55291	P00533	625
P12931	Q9UN67	625
