protein1	protein2	score
Q02790	Q9BVG9	201
P36405	P20645	204
P84085	P51649	205
Q02878	P20645	205
P61513	P20645	205
P20645	Q9HC77	208
P84085	P07864	208
P84085	Q9Y5M8	209
Q9BYZ2	P84085	210
Q9Y617	P84085	210
Q15067	P20645	213
O95168	P20645	214
P61020	P84085	214
O43237	Q02790	214
P84085	Q9NU53	214
Q96EU6	P84085	217
Q96IR7	P20645	218
Q6ZMR3	P84085	219
Q02790	P06753	220
Q02790	P25205	220
O60502	Q02790	220
Q15366	P84085	220
P84085	P45880	221
O43181	P20645	221
P46059	P84085	221
P49792	P20645	221
P84085	P30550	222
P84085	Q12907	224
Q92797	Q02790	225
P84085	O95931	225
Q02790	O75323	225
P20645	P62857	225
P84085	O00746	225
P84085	P11310	225
O94955	P84085	225
P25445	P84085	225
P84085	P54219	225
Q9UL12	Q02790	226
Q16594	Q02790	226
P13804	P84085	227
P14854	P84085	228
Q02790	Q53GS7	229
Q02790	Q9BRZ2	229
Q9UHF4	P84085	229
Q02790	Q9Y478	229
P20645	Q9UJY4	230
O43301	P20645	230
Q02790	Q14651	230
Q9UNA3	P84085	232
P20645	Q9UNI6	236
Q02790	Q9GZZ9	238
Q96HD9	P84085	238
Q02790	Q9BSB4	238
P61923	P84085	240
O43524	Q02790	240
P67870	P12830	292
Q8TDW7	P00533	292
Q9Y5F7	P16591	292
P55283	P35222	292
Q9UBC1	O14920	292
Q562R1	Q9Y5E3	292
P12931	Q9UN74	292
P63261	Q9Y5E3	292
P68133	P19784	292
Q13546	P01375	292
P62736	O60245	292
Q07889	Q01344	292
P55290	Q9UQB3	292
Q9Y5F0	O60716	292
Q08334	Q9NPF7	292
P04626	Q9Y5E3	292
Q9UM47	Q86X95	292
P25024	P42336	292
Q562R1	P22223	292
Q13546	Q12851	292
Q8TD08	Q15418	292
P09544	Q9H461	292
Q9H6Q3	Q08334	292
P16591	Q9BYE9	292
Q15303	Q9ULB4	292
Q16659	P42229	292
P51828	O14775	292
Q9H251	P16591	292
Q02156	Q13546	292
Q9UHF4	P05112	292
P18031	Q9Y5G2	292
Q9UN74	P04626	292
Q9Y618	Q04721	292
Q9Y5G7	O60716	292
P19784	Q96JP9	292
Q9HCU4	Q8NEV1	292
P26951	Q07890	292
P63261	Q9Y5F8	292
P00533	Q9HC56	292
Q9Y5G6	P16591	292
Q9Y5H0	P00533	292
P31751	P46527	292
P13232	P42336	292
Q9UN70	P42685	292
Q86UP0	P42685	292
P49674	Q9UMX1	292
P60568	P25025	292
P35225	P42338	292
Q8TAB3	Q562R1	292
Q9Y5H4	P60709	292
Q99466	Q06330	292
P01374	P19438	292
P04626	Q9Y5E5	292
Q15628	Q04759	292
Q9Y5E8	Q9UQB3	292
P04626	P12830	292
Q13651	P05231	292
Q9UP38	P56706	292
Q9BZA7	P21860	292
P13232	Q9Y4H2	292
Q9ULB4	P16591	292
Q14116	Q08334	292
P19022	Q9UQB3	292
Q8TAB3	P63267	292
P12931	O95206	292
P18031	Q9Y5E9	292
P01112	Q8WV28	292
Q9UN74	P60709	292
Q13489	P42574	292
P18031	Q9HCL0	292
Q14116	P42701	292
P06241	Q9Y5H1	292
Q9Y5F9	Q9UQB3	292
Q9H159	P61160	292
Q9Y5G8	P19784	292
Q9UN70	P00533	292
P01374	Q13546	292
P11717	P20718	292
Q15303	Q9Y5E2	292
Q9H461	O00744	292
Q16659	P42226	292
P35222	Q9UJU2	292
Q9UN73	Q15303	292
P22301	P29353	292
Q9UHF4	Q9Y4H2	292
Q9Y5E3	O60716	292
P25024	P40933	292
Q9UN74	P35222	292
Q02790	Q9GZT9	292
P35222	Q9ULB5	292
P42685	O60330	292
P68032	Q9UJ99	292
P63261	Q9Y5H1	292
P68032	Q8NEV1	292
Q9Y4H2	P01583	292
P62736	Q9Y5H9	292
P42685	Q9UN72	292
P19784	Q8N6Y1	292
Q9Y5F6	P04626	292
P21860	Q9UN72	292
P35222	Q15303	292
Q9Y5G7	P19784	292
P46531	Q06330	292
Q9Y4H2	Q9HBE4	292
P67870	P60709	292
P60568	P14784	292
P31751	P49841	292
P40259	Q8WV28	292
P05231	Q07889	292
P35222	Q9Y5I3	292
P35222	Q9HCS4	292
P63267	P16591	292
Q9UP38	P56703	292
Q9UN74	Q8NEV1	292
P12931	P55285	292
P25024	P05113	292
P60568	Q9H6Q3	292
Q9Y5H6	O60716	292
P13861	P10071	292
P60709	Q9Y5H9	292
P00533	P22223	292
P12931	P55286	292
Q9ULV1	O14905	292
P35568	P29353	292
Q9UQB3	Q9UN67	292
P63261	P55285	292
Q562R1	P55285	292
Q02750	P10398	292
Q8NEV1	Q9Y5E3	292
P42685	Q9Y5E2	292
Q14627	P25025	292
Q99665	P42336	292
Q9HCL0	P00533	292
P63267	Q9ULB4	292
Q86VQ0	Q02790	292
P67870	Q8TDW7	292
Q14573	Q07889	292
P04626	Q9Y5E8	292
Q13261	P15248	292
Q07889	P29353	292
P60568	P42336	292
P13232	P25025	292
O00144	O00744	292
P68133	P55290	292
P00533	Q9Y5F1	292
Q562R1	Q14517	292
O00755	Q9ULW2	292
Q08334	P40933	292
Q9H6Q3	Q99665	292
Q9UP38	P56704	292
P26951	Q08334	292
Q9Y4H2	Q13261	292
O00329	P07948	292
Q69YN4	Q02790	292
P04626	P60709	292
P60568	Q9Y4H2	292
P35222	P55289	292
P35222	Q9Y5G3	292
Q07812	Q16611	292
Q04721	Q9BYC5	292
P68133	P35222	292
Q9Y5H6	Q15303	292
Q9NPF7	Q9HBE4	292
P16591	Q96JQ0	292
P63261	Q08174	292
P18031	P61160	292
P01111	Q8WV28	292
P12931	Q9Y5H5	292
P12931	Q9Y5F2	292
P63261	Q9Y5G5	292
P35568	P42701	292
Q9UBI6	P13945	292
P11912	P43405	292
P01112	P36507	292
Q9Y5I3	Q8NEV1	292
Q8NEV1	Q9Y5F7	292
P35568	Q99665	292
P17947	Q13164	292
Q9H158	Q15303	292
P00533	Q9Y5H5	292
P00533	Q9Y5F2	292
P68133	O60330	292
Q562R1	Q9Y5H3	292
P12830	Q8NEV1	292
P35222	Q9NPG1	292
P68133	Q9Y5H7	292
Q9Y5G8	Q9UQB3	292
Q93098	Q14332	292
Q9H461	Q9Y6F9	292
P01112	P04049	292
Q02790	P61081	292
O95071	P10071	292
Q9HCL0	P60709	292
P67870	P19022	292
Q9Y5E6	Q8NEV1	292
P21860	Q96JQ0	292
P08887	P25025	292
Q15303	Q9ULB5	292
P63267	Q9BZA7	292
Q9Y297	Q9UMX1	292
Q9H6Q3	Q07889	292
P63267	Q9Y5E4	292
P15153	Q9Y2U5	292
P35222	P63267	292
P35222	Q08174	292
Q13651	P01583	292
Q13467	P56703	292
P27361	P01100	292
P12931	Q9Y5E7	292
P63261	Q9HCL0	292
P40189	P78552	292
Q9UHF4	P22301	292
P40259	Q06187	292
P62736	Q9Y5I4	292
P42685	Q8N6Y1	292
P84085	P31943	292
P19784	Q9UN72	292
Q8TDW7	P61160	292
Q8TAB3	O60716	292
P18031	Q9HBT6	292
P13232	Q9H6Q3	292
P78504	Q9NYJ7	292
Q15303	Q9Y6N8	292
P63261	Q9Y5E7	292
P05198	P42574	292
P60568	P29353	292
P42338	Q15628	292
Q14116	Q9H6Q3	292
P35222	Q9Y5H9	292
P08151	Q13635	292
Q99759	P45984	292
P35222	Q9Y5H6	292
P62736	Q9Y5E8	292
Q9Y5H8	P21860	292
P63000	Q99759	292
Q86UP0	P68133	292
Q9ULB5	P16591	292
Q14116	Q9NPF7	292
P68032	Q08174	292
P55286	Q9UQB3	292
P55291	P00533	292
P12931	Q9UN67	292
P78552	P42336	292
Q9H461	P41221	292
Q13546	P48736	292
P60709	O60245	292
P06241	Q9Y5I4	292
P19838	P25963	292
P24723	O14920	292
P60709	Q9Y5H5	292
P60709	Q9Y5F2	292
P00533	Q9Y6N8	292
Q9Y5G8	P42685	292
P12931	P55291	292
P51692	Q13164	292
P62879	P51828	292
P25025	Q13261	292
P06241	Q9Y5H2	292
P19022	P63267	292
P63261	Q9Y5H7	292
P08887	P05113	292
P68032	Q9Y5F8	292
P35568	Q01344	292
P08575	P07948	292
P62736	O75309	292
P35222	Q9HC56	292
Q07890	P42701	292
P19784	Q9UN71	292
P68032	Q9Y5E4	292
P06241	Q9Y5E8	292
P46734	Q99683	292
P62993	Q05655	292
P42338	O15530	292
O75084	O00755	292
P68133	Q9Y5F1	292
P00533	P55290	292
Q9Y5F6	P00533	292
P63261	Q9Y5G3	292
P63267	Q8N6Y1	292
P08887	P10145	292
P13232	P25024	292
P18031	Q9Y5I4	292
P35225	P78552	292
P19438	Q06643	292
P05231	P52333	292
Q8NEV1	Q9Y5E2	292
P42685	Q9Y5E3	292
Q9NYQ6	P21860	292
Q9Y5G2	Q562R1	292
Q9NR61	Q04721	292
P31749	P42336	292
P60709	Q9UN71	292
Q02790	Q9UBN4	292
Q9H158	Q9UQB3	292
Q12933	P17252	292
P19784	P55285	292
P25963	Q04864	292
P12931	Q9Y5I3	292
O60716	Q9UN72	292
P60568	Q08334	292
Q9Y5H4	Q9UQB3	292
P42685	Q9UJ99	292
O60716	O60330	292
P55286	P60709	292
Q9NPG4	P61160	292
Q9NYQ7	P60709	292
Q8NEV1	P22223	292
P35222	Q14332	292
P05231	P78552	292
Q9Y5F9	P00533	292
Q16611	O95831	292
Q9Y5G7	P16591	292
Q14627	P52333	292
O14654	P05019	292
P40189	P10145	292
P68133	Q9UN66	292
P12931	Q8N6Y1	292
Q9Y5H0	Q562R1	292
P68032	Q9Y5G2	292
P12931	Q9Y5F9	292
Q01344	P05113	292
P12931	P62736	292
P67870	Q9ULB4	292
Q9Y4H2	P20809	292
P62736	Q9P2E7	292
Q562R1	Q9Y5H2	292
O14904	Q13467	292
P63261	Q8NEV1	292
P62736	Q9Y5E9	292
P67870	Q14517	292
Q969H0	Q9UM47	292
P25025	Q9NPF7	292
Q9Y5F1	Q9UQB3	292
P31323	P08151	292
Q14643	Q07889	292
P35222	Q9Y5G7	292
Q8IVH8	Q15628	292
Q9Y5H1	P60709	292
P40189	P05113	292
P18031	P19022	292
Q9Y5F6	P19784	292
P68133	Q8NEV1	292
P29353	Q08334	292
P05112	P52333	292
Q9Y4H2	P06213	292
Q9UN75	P06241	292
Q9Y5H8	Q8NEV1	292
P10145	P42336	292
Q9UM47	P49757	292
P67870	Q9Y5G6	292
P27361	P51812	292
P04626	Q9Y5F3	292
P63267	Q9Y6N8	292
P42701	Q9HBE4	292
P06241	Q9P2E7	292
P01589	P40933	292
Q14626	P40933	292
P10415	Q16611	292
P62879	Q08462	292
P48736	P15391	292
Q562R1	Q9Y5F3	292
Q9UJ99	P61160	292
Q15303	P22223	292
O96014	Q9ULW2	292
P28482	P17947	292
P26951	P05112	292
Q8TDW7	Q562R1	292
Q9NYQ7	P04626	292
P67870	P61160	292
P35222	Q9HCL0	292
P35222	Q9Y5E5	292
P35568	P05112	292
P04626	Q9UN72	292
Q9H251	P63267	292
P35222	Q9Y5E9	292
Q9Y5E6	P35222	292
P04626	O60330	292
P25024	P10145	292
P19022	Q15303	292
P13232	P08887	292
Q562R1	Q9UN72	292
P78504	P80370	292
P18031	Q9P2E7	292
Q9Y5E6	P62736	292
P63267	P19784	292
Q14626	P42701	292
P42338	Q13261	292
Q9UKB1	P10071	292
O60716	Q9Y5F1	292
P68032	Q9Y5H1	292
P63261	Q9UJ99	292
P35222	Q9UBV4	292
Q9Y5E5	P16591	292
P40189	P25025	292
P35222	Q9Y5H3	292
Q14626	P52333	292
P42701	P15248	292
Q04721	Q9H488	292
Q9Y5G7	Q9UQB3	292
P62993	Q07890	292
P25963	O14920	292
P36507	P04049	292
P55291	Q15303	292
P55291	Q8NEV1	292
O75084	Q9UBV4	292
P42685	Q9ULB4	292
P67870	Q8TAB3	292
P20809	Q13261	292
Q07890	Q14643	292
Q99558	P20333	292
Q9NYQ7	Q8NEV1	292
Q9Y5H6	P16591	292
P49674	P10071	292
P21860	Q9Y5E9	292
P67870	Q96QU1	292
P29353	P10145	292
P68032	P55287	292
P17252	Q15628	292
Q9Y618	Q99466	292
P48729	Q9UMX1	292
P62736	Q9Y5I2	292
Q9Y5I4	P60709	292
P13945	P50150	292
Q9NYQ6	P68133	292
P78317	P84085	292
P31323	P10071	292
O95206	P61160	292
P68032	Q9NYQ8	292
P42685	Q9NYQ8	292
Q04721	P49757	292
Q14627	P40189	292
Q9Y5G5	Q8NEV1	292
P84085	P61006	292
P19022	O60716	292
Q9Y5E7	P21860	292
Q9H6Q3	P42701	292
Q9Y5E7	P42685	292
Q16659	P01106	292
Q9UN74	P63267	292
P67870	Q9Y5H8	292
Q07890	Q13261	292
Q9Y5F1	P21860	292
P55290	P61160	292
Q08462	P50150	292
Q13261	P52333	292
P60709	Q9UN66	292
P12830	P19784	292
P62736	Q9UQB3	292
Q9UM47	Q9UBG7	292
Q9HC56	P16591	292
Q9ULB4	Q9UQB3	292
P67870	P63261	292
P04626	Q9Y5H3	292
P40189	P05112	292
P29353	P15248	292
Q8NEV1	Q9ULB4	292
P18031	Q96JP9	292
Q99665	Q13261	292
Q13546	Q14790	292
Q9Y4H2	Q9NPF7	292
Q562R1	Q9NYQ8	292
P35222	Q9Y5G5	292
P42338	Q9NPF7	292
P68133	Q9UN71	292
P63267	P22223	292
P35222	P55285	292
O60353	O00755	292
Q07889	P16885	292
P12931	Q9Y5H0	292
Q9Y4H2	Q01344	292
Q9Y5H5	P21860	292
Q9Y5F2	P21860	292
Q9UHF4	Q9H6Q3	292
Q9Y618	P46531	292
P11912	Q8WV28	292
Q9Y5F6	P60709	292
Q9NYQ7	P35222	292
P35222	Q96JQ0	292
Q9Y5G2	Q9UQB3	292
Q15303	P55285	292
P63261	Q9UN73	292
Q9H251	Q9UQB3	292
P35222	P22223	292
P67870	P55283	292
Q13261	P40933	292
Q9Y5E6	P04626	292
Q562R1	Q9HBT6	292
P63000	Q9Y2U5	292
Q9Y5F0	Q9UQB3	292
Q9UHF4	P60568	292
P19784	Q9Y5H2	292
Q9Y5H6	Q9UQB3	292
P67870	Q9UN73	292
P62993	Q14573	292
Q9ULV1	P56705	292
P42229	Q8TD08	292
P04626	Q9Y5H0	292
Q16659	Q15418	292
P19784	Q9HC56	292
Q9Y5F0	P04626	292
P68133	Q96JQ0	292
Q9UP38	Q9H1J7	292
Q14627	P05113	292
Q9UN73	P61160	292
P35222	Q9Y5F3	292
P12931	Q9UN70	292
P68133	Q9UJ99	292
Q07890	Q9Y4H2	292
P60709	P55287	292
Q9NPF7	P52333	292
P51828	P59768	292
Q9UN74	P16591	292
Q07890	P40189	292
P55283	Q15303	292
Q9NRJ7	P42685	292
P68133	Q9H158	292
O60716	Q12864	292
P68133	P00533	292
P55286	P21860	292
P60568	Q01344	292
P01589	P20809	292
Q02156	P78560	292
O14905	Q9ULW2	292
Q8TAB3	P00533	292
P04626	Q9HBT6	292
P29353	Q9NPF7	292
O14733	Q99683	292
P55285	P21860	292
O60353	Q9H1J7	292
Q9Y5G2	P42685	292
P41970	Q13164	292
P12931	Q8TAB3	292
Q86UP0	P16591	292
Q13634	P21860	292
Q13634	P63267	292
Q9UN70	P19784	292
Q9Y5H3	Q9UQB3	292
P99999	O14727	292
P04626	Q9ULB4	292
Q02790	Q01995	292
Q9Y5F9	O60716	292
P08887	Q07889	292
P08151	O95071	292
Q93097	O00144	292
Q9UN74	Q15303	292
P40933	Q9NPF7	292
P68032	P00533	292
P42701	P78552	292
Q05655	O15111	292
Q9Y5E7	P16591	292
Q9Y5E4	P16591	292
O60716	Q9HBT6	292
P12931	Q9ULB4	292
P16591	Q9Y5F1	292
P63261	Q9Y5I2	292
P18031	Q9H159	292
P20809	P42701	292
Q9NRJ7	P63267	292
Q02790	Q13263	292
P55287	Q9UQB3	292
Q9Y4H2	P05231	292
P06241	Q96JQ0	292
Q99665	Q07889	292
P55283	Q8NEV1	292
Q9H251	P04626	292
P60709	Q9Y5I0	292
P18031	Q9Y5E3	292
Q9Y5E7	P61160	292
P35222	O00744	292
P63261	Q14517	292
O14654	P11717	292
P00533	Q562R1	292
P16591	Q9UN67	292
P63261	P00533	292
O00468	P20645	292
P63000	P15498	292
Q9Y5H1	P00533	292
O96014	Q14332	292
O95206	P21860	292
P06241	Q9Y5E7	292
P10071	P31321	292
P67870	Q9Y5I3	292
P00533	Q9Y5I0	292
P05412	P53778	292
P17252	O15111	292
P35568	P24394	292
Q9Y6F9	Q9ULW2	292
P63267	P33151	292
Q9Y243	P42336	292
P06241	Q9UN66	292
Q9Y5I4	P19784	292
Q06187	P01112	292
Q07890	P05231	292
Q9Y5I3	P61160	292
Q13651	P29353	292
P05412	O15264	292
P12931	Q9NRJ7	292
P63261	Q96JP9	292
Q9UHF4	P40933	292
Q9NYQ6	Q9UQB3	292
Q9Y5G5	P16591	292
Q13467	Q9H1J7	292
Q9Y5E8	P19784	292
O95819	P78560	292
P28482	P18846	292
P67870	Q9Y5E7	292
P04626	Q9Y5E4	292
P40189	P24394	292
P40189	Q9NPF7	292
Q8NEV1	Q9Y5H2	292
P35222	P04626	292
P20809	P29353	292
Q13158	Q14790	292
Q9UM47	Q9BYC5	292
Q15628	P42336	292
P68133	Q9Y5H9	292
P13232	Q01344	292
Q02790	Q9UL62	292
P01112	P16885	292
P61160	Q9Y5I1	292
Q96QU1	P42685	292
O75084	O14905	292
Q9UN74	P21860	292
P67870	P68133	292
Q9HCL0	Q562R1	292
P42338	Q08334	292
P42338	P35568	292
P63261	Q9Y5E9	292
P27361	P05412	292
Q562R1	Q9Y5E9	292
P55286	P16591	292
P26951	P42701	292
Q14627	Q9Y4H2	292
P63261	Q9P2E7	292
Q14517	Q8NEV1	292
P19784	Q9Y5I0	292
P20809	P25025	292
Q02790	O60885	292
Q15759	P01100	292
P56706	O60353	292
P35222	Q9Y5F9	292
P62736	Q9ULB5	292
P35225	Q9H6Q3	292
Q15303	Q9Y5H2	292
O60716	P61160	292
Q9Y5H4	O60716	292
Q99558	Q13546	292
P55287	P61160	292
P68032	Q9Y5H4	292
Q14626	P01583	292
Q9Y5H1	P19784	292
P15153	Q8WV28	292
Q9Y5G2	P63267	292
P01583	P78552	292
P60709	Q9ULB5	292
P68133	Q96JP9	292
P67870	Q9Y5E2	292
Q07890	P35568	292
P33151	P61160	292
P19784	Q9P2E7	292
P05113	Q9NPF7	292
Q9Y5F0	P63267	292
P12931	Q9Y5F6	292
Q8TD08	P19419	292
Q9NYQ7	P19784	292
Q8TD08	Q9HBH9	292
Q13634	O60716	292
P55291	P04626	292
Q99683	P01375	292
P12931	Q9HBT6	292
P06241	Q9Y5G7	292
P35222	Q9Y5G6	292
Q9NYQ6	Q15303	292
Q99466	P80370	292
P25024	P05231	292
Q9NRJ7	Q8NEV1	292
P18031	Q8TAB3	292
Q14627	P29353	292
Q9H1J5	Q9H461	292
O60716	Q9HC56	292
Q13286	P84085	292
Q9Y5I4	P21860	292
Q12933	Q12851	292
