protein1	protein2	score
O95926	Q9HCG8	800
P00395	Q9NX14	800
Q6P1X5	Q9BTT4	800
Q9Y6A4	Q96E40	800
Q15269	Q96G21	800
O95168	O00217	800
Q92979	P62241	800
Q9Y2W2	Q15393	800
P47813	P62273	800
Q12788	Q8IWA0	800
O60870	Q9UNP9	800
Q9NSI2	P08865	800
Q7Z7F7	Q96DV4	800
Q8WUQ7	P62314	800
Q9Y3U8	P63220	800
P31930	P03901	800
P46782	P20042	800
P62979	Q9UNX3	800
P55735	P35658	800
A0A3B3ISS9	P61769	800
Q9HAW4	Q9Y248	800
P15954	Q9NX14	800
Q9H009	P61011	800
Q9BRD0	P09661	800
Q8TAE8	Q9HC36	800
Q96RN5	P21675	800
P36578	H3BNC9	800
Q99835	A0A0C4DH30	800
P23396	Q9Y450	800
P56282	Q14566	800
O14492	P35568	800
P62318	Q8WUQ7	800
Q9BSC4	P08708	800
Q9NXE8	Q9NW64	800
Q15544	Q9Y2X0	800
Q71U36	Q8N300	800
Q9NX20	Q9HC36	800
Q9BWJ5	Q9NW64	800
P62807	Q5QNW6	800
Q96EY4	P62891	800
P46776	Q9BZE4	800
Q9Y4Z0	Q8WVK2	800
P00156	P17568	800
Q9Y6A4	Q6P656	800
P63272	P04908	800
O43677	P03923	800
Q96EY4	P26373	800
P62987	P61964	800
P62701	Q9NQZ2	800
Q7Z7F7	Q9NWU5	800
P46779	O60524	800
P62877	P33992	800
P37108	P83731	800
Q9Y5J1	P62241	800
P10606	O75438	800
Q9UQ35	Q9BWG6	800
O75586	Q6P1X5	800
Q9BSC4	Q15061	800
Q9Y676	I3L0E3	800
Q96G21	P55769	800
Q9BQC6	Q92552	800
P28331	O43677	800
Q9NYH9	Q9H6R4	800
P62851	P60059	800
Q96E40	Q99932	800
P19447	P20226	800
P61313	P61619	800
Q92917	P62316	800
Q9Y5B8	Q96E40	800
P62913	P12830	800
P62805	Q6P2C8	800
P62917	P61221	800
P62987	P62266	800
P27635	P62861	800
Q969X6	Q9BVJ6	800
Q9Y3D5	Q9BZE1	800
O15514	Q75QN2	800
Q9P013	Q14331	800
Q96EY4	P18077	800
Q9NX58	P50914	800
P62857	Q86WX3	800
P62269	Q969Q0	800
Q9UM00	P62899	800
P49458	P61927	800
Q5VTH2	Q71U36	800
Q9UL16	Q96M98	800
P62979	P20042	800
Q9UNQ2	P46781	800
P29084	O60244	800
Q9NRP0	P43307	800
O60783	Q9NP92	800
P60006	Q16763	800
P62979	P62910	800
P62277	O43583	800
O15213	P39019	800
P62277	P20042	800
A4QMS7	Q8TC29	800
Q8WYA6	Q8NAV1	800
Q9H6R4	Q8IWA0	800
P39023	Q96D46	800
P60842	P47813	800
Q969X6	P08708	800
Q13823	P62910	800
Q9NSI2	P15880	800
A0A0A6YYL6	P62851	800
O95168	P03923	800
Q9Y3D5	Q7Z2W9	800
O00303	P62249	800
P53803	Q16594	800
Q9NYH9	Q9NRX1	800
Q9NVC6	P29084	800
H0YHX9	P42766	800
P46781	Q9BRX2	800
P62308	O14776	800
Q96A72	Q8N5F7	800
P07437	P05388	800
Q9UQ35	Q12874	800
Q9NX20	P51398	800
Q9GZU8	Q9HCG8	800
P24311	O75306	800
P62263	P83881	800
P62979	P60866	800
Q15393	O43447	800
P62854	Q96T21	800
P55769	Q5QJE6	800
Q9HAW4	Q13617	800
Q9Y2R9	Q9BYC9	800
P82675	Q9BYD3	800
P46782	P61221	800
Q02221	O75438	800
O14949	P03901	800
Q9H6R4	Q9BVI4	800
P46779	Q96T21	800
O43818	P62241	800
P62829	Q96T21	800
P25205	Q14691	800
P17861	P62249	800
P82675	Q4U2R6	800
O15235	Q15070	800
Q9NY61	Q8NDD1	800
Q9UNQ2	P62861	800
Q9NUL7	Q8IXM3	800
Q9NRX1	Q86WX3	800
Q5JTH9	P42677	800
P62829	P62861	800
Q99879	P33778	800
P57772	P61927	800
Q8NI36	P62241	800
Q8TCC3	Q9Y291	800
Q9NQZ2	Q9BVI4	800
P62861	P61619	800
Q969X6	Q9Y2P8	800
Q9UQ35	Q9BW85	800
P63241	Q8NC51	800
O75691	Q9H583	800
P62266	Q96T21	800
P62081	Q8IWA0	800
P00156	P15954	800
Q8N7H5	Q7KZ85	800
P42677	P61254	800
Q9H583	Q9Y3A4	800
Q6ZQR2	Q5VTT2	800
O43818	Q13895	800
Q12962	P52435	800
Q8N983	P82673	800
P42677	P61927	800
P62277	Q9UQ80	800
Q7L2H7	P46782	800
O00303	P23396	800
P62266	P61011	800
P0DP04	Q14213	800
Q9UNP9	O15234	800
Q9Y2P8	Q9H6R4	800
P49207	O60524	800
