id	uniprot	string	ensembl
TNFAIP3	P21580	9606.ENSP00000481570	ENSG00000118503
LY96	Q9Y6Y9	9606.ENSP00000284818	ENSG00000154589
ECSIT	Q9BQ95	9606.ENSP00000270517	ENSG00000130159
ELK1	P19419	9606.ENSP00000366182	ENSG00000126767
TANK	Q92844	9606.ENSP00000259075	ENSG00000136560
IKBKB	O14920	9606.ENSP00000430684	ENSG00000104365
MAPK9	P45984	9606.ENSP00000394560	ENSG00000050748
MAPK8	P45983	9606.ENSP00000378974	ENSG00000107643
TBK1	Q9UHD2	9606.ENSP00000329967	ENSG00000183735
IRAK1	P51617	9606.ENSP00000358997	ENSG00000184216
UBE2NL	Q5JXB2	NA	ENSG00000292243
MAP3K8	P41279	9606.ENSP00000263056	ENSG00000107968
CD14	P08571	9606.ENSP00000385519	ENSG00000170458
MAP3K7	O43318	9606.ENSP00000358335	ENSG00000135341
IKBKE	Q14164	9606.ENSP00000464030	ENSG00000263528
MAPK3	P27361	9606.ENSP00000263025	ENSG00000102882
MAP2K3	P46734	9606.ENSP00000345083	ENSG00000034152
MAP2K1	Q02750	9606.ENSP00000302486	ENSG00000169032
JUN	P05412	9606.ENSP00000360266	ENSG00000177606
MAP2K2	P36507	9606.ENSP00000262948	ENSG00000126934
TICAM2	Q86XR7	9606.ENSP00000415139	ENSG00000243414
CHUK	O15111	9606.ENSP00000359424	ENSG00000213341
IRAK3	Q9Y616	9606.ENSP00000261233	ENSG00000090376
IRAK4	Q9NWZ3	9606.ENSP00000479889	ENSG00000198001
MAPK14	Q16539	9606.ENSP00000229795	ENSG00000112062
TICAM1	Q8IUC6	9606.ENSP00000248244	ENSG00000127666
TIRAP	P58753	9606.ENSP00000376445	ENSG00000150455
NFKBIA	P25963	9606.ENSP00000216797	ENSG00000100906
IRF3	Q14653	9606.ENSP00000471896	ENSG00000126456
TRAF6	Q9Y4K3	9606.ENSP00000433623	ENSG00000175104
TOLLIP	Q9H0E2	9606.ENSP00000314733	ENSG00000078902
TOLLIP	Q9H0E2	9606.ENSP00000314733	ENSG00000291426
UBE2N	P61088	9606.ENSP00000316176	ENSG00000177889
TLR9	Q9NR96	9606.ENSP00000353874	ENSG00000239732
TLR8	Q9NR97	9606.ENSP00000312082	ENSG00000101916
TLR10	Q9BXR5	9606.ENSP00000308925	ENSG00000174123
TLR7	Q9NYK1	9606.ENSP00000370034	ENSG00000196664
UBE2V1	Q13404	NA	ENSG00000244687
TAB1	Q15750	9606.ENSP00000216160	ENSG00000100324
TLR6	Q9Y2C9	9606.ENSP00000389600	ENSG00000174130
NFKBIE	O00221	9606.ENSP00000275015	ENSG00000146232
TLR4	O00206	9606.ENSP00000363089	ENSG00000136869
MYD88	Q99836	9606.ENSP00000498321	ENSG00000172936
TLR3	O15455	9606.ENSP00000296795	ENSG00000164342
TLR2	O60603	9606.ENSP00000260010	ENSG00000137462
