id	uniprot	string	ensembl
SNAP25	P60880	9606.ENSP00000254976	ENSG00000132639
ACHE	P22303	9606.ENSP00000303211	ENSG00000087085
SLC44A3	Q8N4M1	9606.ENSP00000271227	ENSG00000143036
SNAP23	O00161	9606.ENSP00000249647	ENSG00000092531
ACTG2	P63267	9606.ENSP00000386857	ENSG00000163017
ACTB	P60709	9606.ENSP00000494750	ENSG00000075624
ACTG1	P63261	9606.ENSP00000458162	ENSG00000184009
ACTG1	P63261	9606.ENSP00000458162	ENSG00000291420
ACTR1A	P61163	9606.ENSP00000358921	ENSG00000138107
ACTR1B	P42025	9606.ENSP00000289228	ENSG00000115073
ACTR1B	P42025	9606.ENSP00000289228	ENSG00000291597
MYO18B	Q8IUG5	9606.ENSP00000386096	ENSG00000133454
MYO18A	Q92614	9606.ENSP00000437073	ENSG00000196535
SNAP29	O95721	9606.ENSP00000215730	ENSG00000099940
SLC18A3	Q16572	9606.ENSP00000363229	ENSG00000187714
CHRNB2	P17787	9606.ENSP00000357461	ENSG00000160716
CHRNB1	P11230	9606.ENSP00000304290	ENSG00000170175
CHRNB1	P11230	9606.ENSP00000304290	ENSG00000283946
CHRNB4	P30926	9606.ENSP00000261751	ENSG00000117971
CHRNB3	Q05901	9606.ENSP00000289957	ENSG00000147432
MYH15	Q9Y2K3	9606.ENSP00000273353	ENSG00000144821
MYO7B	Q6PIF6	9606.ENSP00000415090	ENSG00000169994
MYO7A	Q13402	9606.ENSP00000386331	ENSG00000137474
VAMP8	Q9BV40	9606.ENSP00000263864	ENSG00000118640
ACTA2	P62736	9606.ENSP00000224784	ENSG00000107796
MYH1	P12882	9606.ENSP00000226207	NA
ACTA1	P68133	9606.ENSP00000355645	NA
STX1B	P61266	9606.ENSP00000215095	NA
SLC5A7	Q9GZV3	NA	NA
MYH2	Q9UKX2	NA	NA
MYH3	P11055	NA	NA
ACTBL2	Q562R1	NA	NA
MYO3B	Q8WXR4	NA	NA
CTAGE4	Q8IX94	NA	NA
MYO3A	Q8NEV4	NA	NA
MYH8	P13535	NA	NA
CTAGE9	A4FU28	NA	NA
VAMP1	P23763	NA	NA
MYH9	P35579	NA	NA
MYH4	Q9Y623	NA	NA
MYH6	P13533	NA	NA
VAMP2	P63027	NA	NA
STX1A	Q16623	NA	NA
VAMP3	Q15836	NA	NA
MYH7	P12883	NA	NA
CTAGE15	A4D2H0	NA	NA
CHRNA1	P02708	NA	NA
CHRNA3	P32297	NA	NA
PLEKHH3	Q7Z736	NA	NA
CHRNA2	Q15822	NA	NA
CHRNA5	P30532	NA	NA
STX16	O14662	NA	NA
CHRNA4	P43681	NA	NA
STX19	Q8N4C7	NA	NA
CHRNA7	P36544	NA	NA
CHAT	P28329	NA	NA
CHRNA6	Q15825	NA	NA
CHRNA9	Q9UGM1	NA	NA
STX11	O75558	NA	NA
CHRND	Q07001	NA	NA
CHRNG	P07510	NA	NA
CHRNE	Q04844	NA	NA
MYO6	Q9UM54	NA	NA
MYH13	Q9UKX3	NA	NA
CHRNA10	Q9GZZ6	NA	NA
MYH14	Q7Z406	NA	NA
MYH11	P35749	NA	NA
STX4	Q12846	NA	NA
MYH10	P35580	NA	NA
MYH7B	A7E2Y1	NA	NA
BCHE	P06276	NA	NA
MYO10	Q9HD67	NA	NA
MYO5A	Q9Y4I1	NA	NA
MYO19	Q96H55	NA	NA
MYO9A	B2RTY4	NA	NA
MYO16	Q9Y6X6	NA	NA
MYO1D	O94832	NA	NA
MYO1E	Q12965	NA	NA
MYO1B	O43795	NA	NA
ACTC1	P68032	NA	NA
MYO1C	O00159	NA	NA
SLC6A8	P48029	NA	NA
MYO1A	Q9UBC5	NA	NA
MYO15A	Q9UKN7	NA	NA
MYO5B	Q9ULV0	NA	NA
MYO5C	Q9NQX4	NA	NA
CHRFAM7A	Q494W8	NA	NA
MYO1F	O00160	NA	NA
MYO1G	B0I1T2	NA	NA
