id	uniprot	string	ensembl
ATF1	P18846	9606.ENSP00000262053	ENSG00000123268
SRF	P11831	9606.ENSP00000265354	ENSG00000112658
HSPB1	P04792	9606.ENSP00000248553	ENSG00000106211
ELK1	P19419	9606.ENSP00000366182	ENSG00000126767
RPS6KA4	O75676	9606.ENSP00000333896	ENSG00000162302
DUSP10	Q9Y6W6	9606.ENSP00000355866	ENSG00000143507
RPS6KA5	O75582	9606.ENSP00000479667	ENSG00000100784
EEF2K	O00418	9606.ENSP00000263026	ENSG00000103319
MKNK1	Q9BUB5	9606.ENSP00000498083	ENSG00000079277
MKNK2	Q9HBH9	9606.ENSP00000250896	ENSG00000099875
EIF4E	P06730	9606.ENSP00000425561	ENSG00000151247
MEF2D	Q14814	9606.ENSP00000271555	ENSG00000116604
MEF2D	Q14814	9606.ENSP00000271555	ENSG00000291761
MAP3K7	O43318	9606.ENSP00000358335	ENSG00000135341
MAP3K4	Q9Y6R4	9606.ENSP00000375986	ENSG00000085511
MAP2K6	P52564	9606.ENSP00000468348	ENSG00000108984
MAP3K5	Q99683	9606.ENSP00000351908	ENSG00000197442
MAP2K4	P45985	9606.ENSP00000410402	ENSG00000065559
MEF2C	Q06413	9606.ENSP00000340874	ENSG00000081189
MEF2B	Q02080	9606.ENSP00000402154	ENSG00000213999
DUSP1	P28562	9606.ENSP00000239223	ENSG00000120129
IL1R1	P14778	9606.ENSP00000386380	ENSG00000115594
GADD45A	P24522	9606.ENSP00000360025	ENSG00000116717
MAPK14	Q16539	9606.ENSP00000229795	ENSG00000112062
MAPK12	P53778	9606.ENSP00000215659	ENSG00000188130
MAPK13	O15264	9606.ENSP00000211287	ENSG00000156711
MAPK11	Q15759	9606.ENSP00000333685	ENSG00000185386
MAPKAPK3	Q16644	9606.ENSP00000396467	ENSG00000114738
TRAF6	Q9Y4K3	9606.ENSP00000433623	ENSG00000175104
MAPKAPK2	P49137	9606.ENSP00000356070	ENSG00000162889
MAP3K10	Q02779	9606.ENSP00000253055	ENSG00000130758
TAB2	Q9NYJ8	9606.ENSP00000356426	ENSG00000055208
TAB1	Q15750	9606.ENSP00000216160	ENSG00000100324
