protein1	protein2	score
9606.ENSP00000312709	9606.ENSP00000347168	800
9606.ENSP00000250784	9606.ENSP00000416429	800
9606.ENSP00000354961	9606.ENSP00000287490	800
9606.ENSP00000221859	9606.ENSP00000252996	800
9606.ENSP00000493805	9606.ENSP00000341826	800
9606.ENSP00000417602	9606.ENSP00000320567	800
9606.ENSP00000378163	9606.ENSP00000472469	800
9606.ENSP00000404232	9606.ENSP00000356951	800
9606.ENSP00000386593	9606.ENSP00000462355	800
9606.ENSP00000261245	9606.ENSP00000359531	800
9606.ENSP00000307940	9606.ENSP00000449328	800
9606.ENSP00000362105	9606.ENSP00000370589	800
9606.ENSP00000390331	9606.ENSP00000382250	800
9606.ENSP00000367721	9606.ENSP00000310668	800
9606.ENSP00000484841	9606.ENSP00000441273	800
9606.ENSP00000296417	9606.ENSP00000325612	800
9606.ENSP00000443017	9606.ENSP00000319104	800
9606.ENSP00000327268	9606.ENSP00000425759	800
9606.ENSP00000254803	9606.ENSP00000470560	800
9606.ENSP00000385000	9606.ENSP00000220429	800
9606.ENSP00000320567	9606.ENSP00000252602	800
9606.ENSP00000498791	9606.ENSP00000375809	800
9606.ENSP00000345957	9606.ENSP00000416429	800
9606.ENSP00000441126	9606.ENSP00000306397	800
9606.ENSP00000265038	9606.ENSP00000342889	800
9606.ENSP00000339835	9606.ENSP00000476136	800
9606.ENSP00000312709	9606.ENSP00000259895	800
9606.ENSP00000357320	9606.ENSP00000473980	800
9606.ENSP00000342538	9606.ENSP00000233336	800
9606.ENSP00000328023	9606.ENSP00000309334	800
9606.ENSP00000357320	9606.ENSP00000423399	800
9606.ENSP00000339063	9606.ENSP00000472469	800
9606.ENSP00000358554	9606.ENSP00000360464	800
9606.ENSP00000230354	9606.ENSP00000362948	800
9606.ENSP00000377969	9606.ENSP00000484789	800
9606.ENSP00000339495	9606.ENSP00000414237	800
9606.ENSP00000363384	9606.ENSP00000311430	800
9606.ENSP00000236273	9606.ENSP00000261308	800
9606.ENSP00000356785	9606.ENSP00000331044	800
9606.ENSP00000476742	9606.ENSP00000222728	800
9606.ENSP00000356541	9606.ENSP00000451129	800
9606.ENSP00000367034	9606.ENSP00000362948	800
9606.ENSP00000362105	9606.ENSP00000470560	800
9606.ENSP00000259915	9606.ENSP00000244537	800
9606.ENSP00000436049	9606.ENSP00000470972	800
9606.ENSP00000449884	9606.ENSP00000259873	800
9606.ENSP00000366135	9606.ENSP00000321449	800
9606.ENSP00000230354	9606.ENSP00000415536	800
9606.ENSP00000411010	9606.ENSP00000297990	800
9606.ENSP00000339001	9606.ENSP00000339795	800
9606.ENSP00000373312	9606.ENSP00000310668	800
9606.ENSP00000362068	9606.ENSP00000385479	800
9606.ENSP00000156471	9606.ENSP00000318861	800
9606.ENSP00000399982	9606.ENSP00000272645	800
9606.ENSP00000282892	9606.ENSP00000479106	800
9606.ENSP00000461930	9606.ENSP00000264995	800
9606.ENSP00000498019	9606.ENSP00000470560	800
9606.ENSP00000375632	9606.ENSP00000297990	800
9606.ENSP00000495273	9606.ENSP00000492441	800
9606.ENSP00000373404	9606.ENSP00000263629	800
9606.ENSP00000276689	9606.ENSP00000389160	800
9606.ENSP00000499044	9606.ENSP00000463379	800
9606.ENSP00000248342	9606.ENSP00000346050	800
9606.ENSP00000364813	9606.ENSP00000364289	800
9606.ENSP00000355541	9606.ENSP00000386134	800
9606.ENSP00000478783	9606.ENSP00000389103	800
9606.ENSP00000355541	9606.ENSP00000264279	800
9606.ENSP00000348849	9606.ENSP00000364119	800
9606.ENSP00000222247	9606.ENSP00000328023	800
9606.ENSP00000326767	9606.ENSP00000265963	800
9606.ENSP00000385479	9606.ENSP00000482438	800
9606.ENSP00000310723	9606.ENSP00000271628	800
9606.ENSP00000333277	9606.ENSP00000265963	800
