Node Name	Set type	Intersection
LMNA	1	True
CTCF	0	False
EGFR	0	False
STUB1	0	False
S100A6	0	False
S100A4	2	True
EP300	0	True
COL1A2	2	True
HMGA1	0	False
hsa-mir-29a	0	False
NFKB1	0	False
TP53	0	True
GPNMB	2	True
SP1	0	True
IGFBP4	2	True
MAOB	2	True
FHL1	1	True
VIM	2	True
T	0	True
ACTN1	0	False
ITGB1	0	False
CEBPA	0	True
EMD	1	True
EGF	0	False
DNAJB6	1	True
KRT18	0	False
LGALS3BP	2	True
FHL2	0	False
RUNX1	2	True
RELA	0	True
YWHAG	0	False
EPB41L3	2	True
PLEC	1	True
PML	0	False
ANXA11	2	True
MYOT	1	True
RARA	0	False
BGN	2	True
DISC1	0	True
DMD	2	True
PDGFB	0	False
SPARC	2	True
COL3A1	2	True
DAG1	1	True
MAP2K4	0	False
MAP3K3	0	False
hsa-mir-122	0	False
SYNE2	1	True
HNRNPDL	1	True
CLIC4	2	True
COL6A1	1	True
FLNC	0	True
TTN	1	True
TRIM32	1	True
SYNE1	1	True
SGCG	1	True
S	0	True
