id	uniprot	string	ensembl
ATF1	P18846	9606.ENSP00000262053	ENSG00000123268
ATF2	P15336	9606.ENSP00000264110	ENSG00000115966
ATF7	P17544	9606.ENSP00000399465	ENSG00000170653
TP53	P04637	9606.ENSP00000269305	ENSG00000141510
ATF6	P18850	9606.ENSP00000356919	ENSG00000118217
ATF3	P18847	9606.ENSP00000344352	ENSG00000162772
ATF4	P18848	9606.ENSP00000336790	ENSG00000128272
CREM	Q03060	9606.ENSP00000265372	ENSG00000095794
JUN	P05412	9606.ENSP00000360266	ENSG00000177606
NFKB1	P19838	9606.ENSP00000226574	ENSG00000109320
NFKB2	Q00653	9606.ENSP00000358983	ENSG00000077150
REL	Q04864	9606.ENSP00000295025	ENSG00000162924
FOS	P01100	9606.ENSP00000306245	ENSG00000170345
JDP2	Q8WYK2	9606.ENSP00000267569	ENSG00000140044
ATF6B	Q99941	9606.ENSP00000364349	ENSG00000213676
RELA	Q04206	9606.ENSP00000384273	ENSG00000173039
RELB	Q01201	9606.ENSP00000221452	ENSG00000104856
