	Node1_Uniprot	Node2_Uniprot
0	Q07889	P01112
1	Q07889	P01116
2	Q07889	P01111
3	Q07890	P01112
4	Q07890	P01116
5	Q07890	P01111
6	P62993	Q07889
7	P62993	Q07890
8	O14511	P21860
9	P01112	P10398
10	P01112	P04049
11	P01112	P15056
12	P01116	P10398
13	P01116	P04049
14	P01116	P15056
15	P01111	P10398
16	P01111	P04049
17	P01111	P15056
18	P10398	Q02750
19	P10398	P36507
20	P04049	Q02750
21	P04049	P36507
22	P15056	Q02750
23	P15056	P36507
24	O14511	Q15303
25	Q02750	P28482
26	Q02750	P27361
27	P36507	P28482
28	P36507	P27361
29	P28482	P01106
30	P27361	P01106
31	P56975	Q15303
32	P28482	P19419
33	P27361	P19419
34	Q15303	P42229
35	Q15303	P51692
36	Q8WWG1	Q15303
37	P62993	Q13480
38	Q13480	P42336
39	Q13480	P42338
40	Q13480	O00329
41	Q13480	P27986
42	Q13480	O00459
43	Q13480	Q92569
44	Q9Y243	P42345
45	P31749	P42345
46	P31751	P42345
47	P42345	P23443
48	P42345	Q9UBS0
49	P42345	Q13541
50	P00533	P98077
51	P00533	Q6S5L8
52	P00533	Q92529
53	P00533	P29353
54	Q9Y243	Q92934
55	P31749	Q92934
56	P31751	Q92934
57	Q9Y243	P49841
58	P31749	P49841
59	P31751	P49841
60	Q9Y243	P46527
61	P31749	P46527
62	P31751	P46527
63	P00533	P19174
64	P00533	P16885
65	Q9Y243	P38936
66	P31749	P38936
67	P31751	P38936
68	P00533	P42229
69	P00533	P51692
70	P00533	P46108
71	P00533	P46109
72	P19174	Q9UQM7
73	P19174	Q13554
74	P19174	Q13557
75	P19174	Q13555
76	P16885	Q9UQM7
77	P16885	Q13554
78	P16885	Q13557
79	P16885	Q13555
80	P00533	P98077
81	P00533	Q6S5L8
82	P00533	Q92529
83	P00533	P29353
84	P19174	P17252
85	P19174	P05771
86	P19174	P05129
87	P16885	P17252
88	P16885	P05771
89	P16885	P05129
90	P00533	P12931
91	P42336	Q9Y243
92	P42336	P31749
93	P42336	P31751
94	P42338	Q9Y243
95	P42338	P31749
96	P42338	P31751
97	O00329	Q9Y243
98	O00329	P31749
99	O00329	P31751
100	P27986	Q9Y243
101	P27986	P31749
102	P27986	P31751
103	O00459	Q9Y243
104	O00459	P31749
105	O00459	P31751
106	Q92569	Q9Y243
107	Q92569	P31749
108	Q92569	P31751
109	P00533	P62993
110	P01133	P00533
111	P00533	P62993
112	P01135	P00533
113	P15514	P00533
114	P35070	P00533
115	P21860	P42336
116	P21860	P42338
117	P21860	O00329
118	P21860	P27986
119	P21860	O00459
120	P21860	Q92569
121	P35070	Q15303
122	Q99075	P00533
123	Q99075	Q15303
124	P12931	Q05397
125	O14944	P00533
126	P46108	P00519
127	P46108	P42684
128	P46109	P00519
129	P46109	P42684
130	P16333	O96013
131	P16333	Q9NQU5
132	P16333	Q13153
133	P16333	Q13177
134	P16333	O75914
135	P16333	Q9NQU5
136	P16333	Q9P286
137	O43639	O96013
138	O43639	Q9NQU5
139	O43639	Q13153
140	O43639	Q13177
141	O43639	O75914
142	O43639	Q9NQU5
143	O43639	Q9P286
144	O14944	Q15303
145	O96013	O14733
146	O96013	P45985
147	Q9NQU5	O14733
148	Q9NQU5	P45985
149	Q13153	O14733
150	Q13153	P45985
151	Q13177	O14733
152	Q13177	P45985
153	O75914	O14733
154	O75914	P45985
155	Q9NQU5	O14733
156	Q9NQU5	P45985
157	Q9P286	O14733
158	Q9P286	P45985
159	O14733	P45983
160	O14733	P45984
161	O14733	P53779
162	P45985	P45983
163	P45985	P45984
164	P45985	P53779
165	Q02297	P21860
166	P45983	P05412
167	P45984	P05412
168	P53779	P05412
169	P45983	P19419
170	P45984	P19419
171	P53779	P19419
172	Q02297	Q15303
173	P98077	P62993
174	Q6S5L8	P62993
175	Q92529	P62993
176	P29353	P62993
