alpha_value	best_score_threshold	interactome_edge_size	pathway_edge_size
0.1	985	3710	10
0.2	985	3710	10
0.3	508	73442	18
0.4	508	73442	18
0.5	508	73442	18
0.6	508	73442	18
0.7	508	73442	18
0.8	508	73442	18
0.9	290	250599	19
