alpha_value	best_score_threshold	interactome_edge_size	pathway_edge_size
0.1	999	1018	1017
0.2	991	4007	1057
0.3	991	4007	1057
0.4	991	4007	1057
0.5	966	6506	1063
0.6	966	6506	1063
0.7	455	80451	1139
0.8	349	102746	1154
0.9	230	267854	1223
