alpha_value	best_score_threshold	interactome_edge_size	pathway_edge_size
0.1	989	3338	84
0.2	807	27479	121
0.3	508	73486	157
0.4	508	73486	157
0.5	508	73486	157
0.6	508	73486	157
0.7	508	73486	157
0.8	239	256911	179
0.9	229	273821	180
