alpha_value	best_score_threshold	interactome_edge_size	pathway_edge_size
0.1	999	1759	1758
0.2	999	1759	1758
0.3	999	1759	1758
0.4	999	1759	1758
0.5	999	1759	1758
0.6	994	2988	1761
0.7	994	2988	1761
0.8	985	5461	1763
0.9	985	5461	1763
