id	uniprot	string	ensembl
IL5RA	Q01344	9606.ENSP00000412209	ENSG00000091181
IL13RA2	Q14627	9606.ENSP00000361004	ENSG00000123496
IL6R	P08887	9606.ENSP00000357470	ENSG00000160712
IL13RA1	P78552	9606.ENSP00000360730	ENSG00000131724
IL15RA	Q13261	9606.ENSP00000380421	ENSG00000134470
IL4R	P24394	9606.ENSP00000379111	ENSG00000077238
IL11RA	Q14626	9606.ENSP00000450565	ENSG00000137070
IL3RA	P26951	9606.ENSP00000327890	ENSG00000185291
IL3RA	P26951	9606.ENSP00000327890	ENSG00000292332
IL6ST	P40189	9606.ENSP00000370698	ENSG00000134352
IL20RA	Q9UHF4	9606.ENSP00000314976	ENSG00000016402
CXCR1	P25024	9606.ENSP00000295683	ENSG00000163464
CXCR2	P25025	9606.ENSP00000319635	ENSG00000180871
IL12RB1	P42701	9606.ENSP00000470788	ENSG00000096996
IL12RB2	Q99665	9606.ENSP00000262345	ENSG00000081985
IL10RB	Q08334	9606.ENSP00000290200	ENSG00000243646
IL10RA	Q13651	9606.ENSP00000227752	ENSG00000110324
IL2RA	P01589	9606.ENSP00000369293	ENSG00000134460
IL2RB	P14784	9606.ENSP00000216223	ENSG00000100385
