From	Entry	Entry Name
ENSG00000104447	Q9UHF7	TRPS1_HUMAN
ENSG00000103495	P56270	MAZ_HUMAN
ENSG00000148826	Q9C056	NKX62_HUMAN
ENSG00000119508	Q92570	NR4A3_HUMAN
ENSG00000255009	P0CB47	UBFL1_HUMAN
ENSG00000172216	P17676	CEBPB_HUMAN
ENSG00000169131	O60765	Z354A_HUMAN
ENSG00000221869	P49716	CEBPD_HUMAN
ENSG00000176293	P52742	ZN135_HUMAN
ENSG00000119919	Q8TAU0	NKX23_HUMAN
ENSG00000181449	P48431	SOX2_HUMAN
ENSG00000185022	Q9ULX9	MAFF_HUMAN
ENSG00000119574	Q96K62	ZBT45_HUMAN
ENSG00000197808	Q8TAF7	ZN461_HUMAN
ENSG00000167182	Q02086	SP2_HUMAN
ENSG00000103199	O60304	ZN500_HUMAN
ENSG00000119715	O95718	ERR2_HUMAN
ENSG00000171291	Q8NDP4	ZN439_HUMAN
ENSG00000106410	O60393	NOBOX_HUMAN
ENSG00000171425	Q9P0T4	ZN581_HUMAN
ENSG00000189190	Q6ZNG1	ZN600_HUMAN
ENSG00000125812	Q9H116	GZF1_HUMAN
ENSG00000278129	P17098	ZNF8_HUMAN
ENSG00000105991	P49639	HXA1_HUMAN
ENSG00000178665	Q8N859	ZN713_HUMAN
ENSG00000196233	Q96JN0	LCOR_HUMAN
ENSG00000112242	O00716	E2F3_HUMAN
ENSG00000137265	Q15306	IRF4_HUMAN
ENSG00000186272	P17021	ZNF17_HUMAN
ENSG00000135638	Q04741	EMX1_HUMAN
ENSG00000198440	Q96ND8	ZN583_HUMAN
ENSG00000167157	Q99811	PRRX2_HUMAN
ENSG00000137270	Q9NP62	GCM1_HUMAN
ENSG00000198517	O60675	MAFK_HUMAN
ENSG00000121297	Q63HK5	TSH3_HUMAN
ENSG00000099326	P28698	MZF1_HUMAN
ENSG00000122386	O95201	RHIT_HUMAN
ENSG00000171161	Q499Z4	ZN672_HUMAN
ENSG00000118495	Q9UM63	PLAL1_HUMAN
ENSG00000258405	Q96N58	ZN578_HUMAN
ENSG00000197497	Q9H7R5	ZN665_HUMAN
ENSG00000101412	Q01094	E2F1_HUMAN
ENSG00000179627	B2RXF5	ZBT42_HUMAN
ENSG00000234444	B4DX44	ZN736_HUMAN
ENSG00000196946	Q6ZN79	Z705A_HUMAN
ENSG00000253293	P31260	HXA10_HUMAN
ENSG00000112182	Q9BYV9	BACH2_HUMAN
ENSG00000198146	Q6IQ21	ZN770_HUMAN
ENSG00000164683	Q9Y5J3	HEY1_HUMAN
ENSG00000083838	Q9NWS9	ZN446_HUMAN
ENSG00000180479	Q7Z3V5	ZN571_HUMAN
ENSG00000111049	P13349	MYF5_HUMAN
ENSG00000106536	P78424	PO6F2_HUMAN
ENSG00000122515	Q8NF64	ZMIZ2_HUMAN
ENSG00000268480	A0A5F9ZHS7	NFILZ_HUMAN
ENSG00000170954	Q09FC8	ZN415_HUMAN
ENSG00000152443	Q68DI1	ZN776_HUMAN
ENSG00000171872	Q5JT82	KLF17_HUMAN
ENSG00000125878	Q12870	TCF15_HUMAN
ENSG00000121406	Q6P9A3	ZN549_HUMAN
ENSG00000166823	Q9BRJ9	MESP1_HUMAN
ENSG00000143194	Q96JY0	MAEL_HUMAN
ENSG00000153814	Q86VZ6	JAZF1_HUMAN
ENSG00000007372	P26367	PAX6_HUMAN
ENSG00000176472	Q86XF7	ZN575_HUMAN
ENSG00000180626	Q96JF6	ZN594_HUMAN
ENSG00000117595	O14896	IRF6_HUMAN
ENSG00000163132	P28360	MSX1_HUMAN
ENSG00000197013	Q86V71	ZN429_HUMAN
ENSG00000250312	Q3SXZ3	ZN718_HUMAN
ENSG00000196247	Q9UII5	ZN107_HUMAN
ENSG00000182568	Q01826	SATB1_HUMAN
ENSG00000101126	Q9H2P0	ADNP_HUMAN
ENSG00000197062	Q16670	ZSC26_HUMAN
ENSG00000072736	Q12968	NFAC3_HUMAN
ENSG00000187098	O75030	MITF_HUMAN
ENSG00000067082	Q99612	KLF6_HUMAN
ENSG00000175832	P43268	ETV4_HUMAN
ENSG00000107175	O43889	CREB3_HUMAN
ENSG00000136535	Q16650	TBR1_HUMAN
ENSG00000059728	Q05195	MAD1_HUMAN
ENSG00000197037	Q6NSZ9	ZSC25_HUMAN
ENSG00000164256	Q9NQV7	PRDM9_HUMAN
ENSG00000198740	Q9Y2D9	ZN652_HUMAN
ENSG00000175105	Q8IZM8	ZN654_HUMAN
ENSG00000149922	O95947	TBX6_HUMAN
ENSG00000108001	Q9H4W6	COE3_HUMAN
ENSG00000198040	P51523	ZNF84_HUMAN
ENSG00000168874	Q96SQ7	ATOH8_HUMAN
ENSG00000184659	Q8WXT5	FX4L4_HUMAN
ENSG00000169926	Q9Y2Y9	KLF13_HUMAN
ENSG00000225614	Q96JG9	ZN469_HUMAN
ENSG00000236104	O15209	ZBT22_HUMAN
ENSG00000009709	P23759	PAX7_HUMAN
ENSG00000152433	Q8IVP9	ZN547_HUMAN
ENSG00000188171	Q68DY1	ZN626_HUMAN
ENSG00000122145	Q9Y458	TBX22_HUMAN
ENSG00000188868	Q8TA94	ZN563_HUMAN
ENSG00000106031	P31271	HXA13_HUMAN
ENSG00000198342	Q9H7R0	ZN442_HUMAN
ENSG00000184895	Q05066	SRY_HUMAN
ENSG00000189420	A6NM28	ZFP92_HUMAN
ENSG00000105516	Q10586	DBP_HUMAN
ENSG00000004848	Q96QS3	ARX_HUMAN
ENSG00000174306	Q9H4I2	ZHX3_HUMAN
ENSG00000067646	P08048	ZFY_HUMAN
ENSG00000157613	Q96BA8	CR3L1_HUMAN
ENSG00000130182	Q96SZ4	ZSC10_HUMAN
ENSG00000122877	P11161	EGR2_HUMAN
ENSG00000196456	Q96BV0	ZN775_HUMAN
