Node Name	Set type	Intersection
FHL1	1	True
EP300	0	True
SRF	0	False
VIM	2	True
T	0	True
SYNE2	1	True
BIN1	0	False
MAOB	2	True
EPB41L3	2	True
S100A4	2	True
EMD	1	True
CTNNB1	0	False
SGCG	1	True
FLNC	0	True
DNAJB6	1	True
BRMS1	0	False
LGALS3BP	2	True
DMD	2	True
SPARC	2	True
TRIM32	1	True
TP53	0	True
MYOT	1	True
ANXA11	2	True
USP25	0	False
INPPL1	0	False
SYNE1	1	True
DISC1	0	True
GPNMB	2	True
MYC	0	False
HSA-MIR-122	0	False
HSA-MIR-29A	0	False
HSA-MIR-29B	0	False
HSA-MIR-29C	0	False
IGFBP4	2	True
COL6A1	1	True
PDIA3	0	False
HNRNPDL	1	True
ERG	0	False
SYK	0	False
TTN	1	True
TRIM63	0	False
HSPA4	0	False
RUNX1	2	True
LMNA	1	True
ATF5	0	False
COL1A2	2	True
SP1	0	True
INSR	0	False
STAT3	0	False
SATB1	0	False
COL3A1	2	True
CEBPA	0	True
CLIC4	2	True
RELA	0	True
SMAD2	0	False
BGN	2	True
DAG1	1	True
GRB2	0	False
HDAC2	0	False
HSA-MIR-27A	0	False
PTPN1	0	False
PLEC	1	True
S	0	True
